,Density,Tau,Na/Na+Ca,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2
FI45MI02a,2804.7999806375105,0.6399267811126632,0.262653656342697,61.3962937038543,7.17435165949623,29.113680274149516,8.239322618043543,347.40042920269536,15.188334658761452
FI45MI02b,2804.617908898368,0.6399267811126632,0.262653656342697,61.3962937038543,7.17435165949623,29.113680274149516,8.239322618043543,347.40042920269536,15.188334658761452
FI45MI02c,2806.621904006146,0.6399267811126632,0.262653656342697,61.3962937038543,7.17435165949623,29.113680274149516,8.239322618043543,347.40042920269536,15.188334658761452
FI45MI08a,2824.018716241178,0.6342027964394652,0.25069895215616983,60.987780410424094,7.144342322505453,28.40247212189685,8.20371676671832,351.64680348968204,14.898920899200833
FI45MI08b,2770.3299632389326,0.6342027964394652,0.25069895215616983,60.987780410424094,7.144342322505453,28.40247212189685,8.20371676671832,351.64680348968204,14.898920899200833
FI45MI10a,2788.2780961107055,0.6559066306738109,0.43744041771479925,62.536754649410334,7.2584031882101225,31.09918511536179,8.338329584551182,285.31524519348943,19.08401263562281
FI45MI10b,2787.8774200335884,0.6559066306738109,0.43744041771479925,62.536754649410334,7.2584031882101225,31.09918511536179,8.338329584551182,285.31524519348943,19.08401263562281
FR01MI02a,2837.2198839195053,0.6285618048799789,0.2391699878065173,60.58519022688151,7.1148196541337665,27.701575908341184,8.168552610403689,355.74195273018967,14.616145924093441
FR01MI02b,2837.056027277822,0.6285618048799789,0.2391699878065173,60.58519022688151,7.1148196541337665,27.701575908341184,8.168552610403689,355.74195273018967,14.616145924093441
FR01MI02c,2837.1656061695107,0.6285618048799789,0.2391699878065173,60.58519022688151,7.1148196541337665,27.701575908341184,8.168552610403689,355.74195273018967,14.616145924093441
FR01MI03a,2741.508714721213,0.6571728598626738,0.3960992304029122,62.62712376912547,7.2650802858264605,31.256514768244386,8.346150353881331,299.9998540349644,18.209123072753876
FR01MI03b,2743.0652235067455,0.6571728598626738,0.3960992304029122,62.62712376912547,7.2650802858264605,31.256514768244386,8.346150353881331,299.9998540349644,18.209123072753876
FR01MI03c,2745.23266640989,0.6571728598626738,0.3960992304029122,62.62712376912547,7.2650802858264605,31.256514768244386,8.346150353881331,299.9998540349644,18.209123072753876
FR01MI04a,2718.658497178686,0.66921372751373,0.3891133974938451,63.4864647318856,7.328695953007862,32.75259900371144,8.420344285781175,302.4812589091795,18.058874077830765
FR01MI04b,2719.448815699892,0.66921372751373,0.3891133974938451,63.4864647318856,7.328695953007862,32.75259900371144,8.420344285781175,302.4812589091795,18.058874077830765
FR01MI04c,2720.3185104264617,0.66921372751373,0.3891133974938451,63.4864647318856,7.328695953007862,32.75259900371144,8.420344285781175,302.4812589091795,18.058874077830765
FR02MI01a,2658.4536502961705,0.686791758577838,0.5756068967934834,64.74098579928832,7.421952591508396,34.93667875009545,8.528099533295258,236.23777954240165,21.862200239340876
FR02MI01b,2653.714434151554,0.686791758577838,0.5756068967934834,64.74098579928832,7.421952591508396,34.93667875009545,8.528099533295258,236.23777954240165,21.862200239340876
FR02MI01c,2656.717856854549,0.686791758577838,0.5756068967934834,64.74098579928832,7.421952591508396,34.93667875009545,8.528099533295258,236.23777954240165,21.862200239340876
FR02MI02a,2763.3931311912634,0.6501710486320669,0.4470643442726649,62.12741366696795,7.228189135759851,30.386535983874282,8.302859563151632,281.89677547332474,19.284401530294843
FR02MI02b,2763.721225342102,0.6501710486320669,0.4470643442726649,62.12741366696795,7.228189135759851,30.386535983874282,8.302859563151632,281.89677547332474,19.284401530294843
