,PH_3550_M,PH_3550_STD,PH1635_BP,PH1635_BP_STD,PH1515_BP,PH1515_BP_STD,PH1430_BP,PH1430_BP_STD
FI45MI02a,1.98962132783021,0.001965843689416794,0.3834383677754184,0.003564410349158069,0.0010000000000000002,0.002123079675065583,0.0012897631950938534,0.002361161510749774
FI45MI02b,1.9928274591800692,0.002911853045150502,0.38269447013909763,0.0035667194978763615,0.002636459302618545,0.0025455822943929274,0.0012045854364113734,0.002230202548825377
FI45MI02c,1.9575611556424242,0.0028421106794701005,0.3836239154835353,0.0035395524178826448,0.0015732004891275075,0.002312693733051244,0.0010971804737561967,0.002217828422768309
FI45MI08a,2.4234216533003767,0.004332532144414474,0.4790246220642039,0.0029320607239884423,0.0010000000000000002,0.0005505540980338888,0.03477778526114696,0.00316631270765198
FI45MI08b,3.6526584197698795,0.004252465410908053,0.47549882845318253,0.002994920771902613,0.0010000000000000002,0.0005169916839381476,0.03047293442157498,0.0030948682494730344
FI45MI10a,1.9804661058093862,0.00024833022237303015,0.29778862072533646,0.0036371517305374625,0.027496371928792215,0.004558203315895011,0.028564944475875254,0.005088891942732501
FI45MI10b,1.991947041971187,0.0001781398744059436,0.29834112497854576,0.0036858372657185418,0.026691520645209698,0.004359685624021453,0.027436580675101636,0.004803366753891416
FR01MI02a,0.8714313774266745,0.00010184613123269843,0.13195385777084542,0.0036898271138154494,0.2563885215986484,0.0051797714527408115,0.2540571655194923,0.006507781139570227
FR01MI02b,0.8735676808108855,0.0003664890883806367,0.1263874841984382,0.0035859251427030284,0.2522205907028892,0.005437206467839757,0.25016992243436537,0.006603458777061948
FR01MI02c,0.8721390053087145,0.00024977381823847384,0.1257227651281659,0.0037030475543567503,0.2518611981366644,0.005365446930583646,0.25304094179188075,0.006497696306119648
FR01MI03a,1.7467206012934902,0.0007383481779009791,0.3542636945002063,0.0035824368875249616,0.0983221205564359,0.00486969417978887,0.10184332998660224,0.005088455917531858
FR01MI03b,1.717347003842858,0.0003195380014266822,0.34963238561723325,0.0035928312391512386,0.09716796582343097,0.0047081298065394595,0.10035925356302909,0.005091874774717803
FR01MI03c,1.6765004364024356,0.0007116815335834182,0.33997100839986594,0.0036577111102707137,0.0881352634558752,0.004809438408577621,0.09631423232293494,0.0050662894520022705
FR01MI04a,2.1730118034732757,0.0022677541235567762,0.5658533415736773,0.0031091282808857184,0.20474960573666084,0.004260547499239379,0.18745658565024367,0.0047495760964986
FR01MI04b,2.1589806416694883,0.0024564166683298705,0.5633023801302861,0.00316732464018109,0.2072369536954917,0.004478712218014407,0.18985929820837266,0.004823218527583362
FR01MI04c,2.1435500782728116,0.0027082772775098205,0.5618915738870917,0.0031664825320769857,0.21085053249426364,0.004471475935089468,0.1937095334513251,0.004817426609444167
FR02MI01a,1.831900611264233,9.164370065854983e-06,0.5619920307112939,0.003650935598034187,0.04734846100908987,0.004523416652007765,0.04863223858582578,0.005586458025654324
FR02MI01b,1.9232002898884115,0.00018044402337319068,0.5699230456184815,0.003739074803298296,0.0495901802217816,0.004557331750719864,0.052348378014878974,0.005359266330030543
FR02MI01c,1.8652991566368404,4.103820691055903e-05,0.5660231105027936,0.003650729342602483,0.048055595655984246,0.004519601991885675,0.0486953272785367,0.005544240026735567
FR02MI02a,1.8629632054608551,5.597410809546435e-05,0.4886213136759699,0.0037049177686530486,0.03530263967402915,0.004509244983887025,0.0369817383640897,0.004806446798599255
FR02MI02b,1.8573040392312166,4.9615808223938397e-05,0.48380062123068357,0.0036149445929249896,0.03376378934640285,0.004505347160069755,0.04001877685001962,0.0049198002071041665
FR02MI02c,1.784139047682215,5.3430137724732364e-05,0.47618471094177656,0.003686697554219295,0.0359114361342571,0.004338623364305545,0.04004163140823696,0.004514772814070052
FR02MI03a,0.9325624767730814,0.0009074323982711687,0.19545379576529837,0.0037049207059662113,0.04354313911866873,0.004268332092962927,0.03985913846315435,0.0044141697802574315
FR02MI03b,0.9681927730144283,0.00374235946691154,0.21157711072966726,0.0036367107895393432,0.04388399720662224,0.004404279867391436,0.03987343303358378,0.004409865699597496
FR02MI03c,0.9863151550427748,0.004135076880300369,0.2163667054966327,0.003695372642153646,0.04713276006912142,0.0045962044348518225,0.03975200243757413,0.0048744631335965564
FR02MI04a,1.5586059150021858,0.00025278262997857723,0.41196331365348227,0.0036584653672519837,0.07472950261245795,0.004688504895306355,0.07179182187154373,0.005175827664164666
FR02MI04b,1.543288667050584,0.0002833459851044397,0.41027348738361985,0.003665613593644919,0.07678178266135742,0.004702481016387865,0.07356064939384495,0.005219684544047351
FR02MI04c,1.540023507224545,0.0002601430590949443,0.4123122460023071,0.0037817136871966983,0.07664530828452418,0.004662660017499513,0.07283922547434814,0.0051296804946852495
FR02MI05a,0.9294098690613176,3.867350821453362e-05,0.22671059342983857,0.0036694874355700288,0.0659455062888826,0.004513398241245486,0.06892449285318426,0.004999405555538984
FR02MI05b,1.0936758368757058,0.00014913048123418063,0.24124946425472502,0.003641738331781392,0.07090902464427534,0.004507314014585023,0.07187475441006679,0.005088492347868601
FR02MI05c,0.9265275062836889,0.00015070922958338405,0.22106728027168296,0.00364544384445272,0.06290949994530154,0.004484092867936675,0.06565074264432227,0.005100223052134762
FR02MI05d,1.0684850143158175,0.00030076653610130625,0.23449939279114335,0.003660625799408174,0.06905300990658128,0.004590482816831236,0.06647125731856642,0.0052168744472905855
FR02MI06a,1.8927499094952245,2.4408076730416638e-05,0.42134951799276404,0.003657876389118709,0.06290294260169532,0.00481504566945123,0.061412409798769364,0.005255737244473011
FR02MI06b,1.8803501419028368,1.9670690617403773e-05,0.4180036332078721,0.003658030933710071,0.06328229438134608,0.004864189965074408,0.06162168411408547,0.005330071225268843
FR02MI06c,1.8222245959213426,1.4225424915618706e-05,0.41064405122054987,0.0037022025326933442,0.056891564861740525,0.0046150960219613025,0.05662915587017631,0.005181005074357451
FR02MI07a,1.6052383953165739,0.0004907038178119757,0.31574836492328273,0.003659556461292747,0.02747835621168801,0.0046131912196492025,0.03638471105732873,0.005078692156620793
FR02MI07b,1.6312883006932257,0.0004604837912637334,0.3177704123818376,0.003650456243590221,0.027234566212228715,0.0047602940821762,0.03714384505737044,0.005198941455142597
FR02MI07c,1.6462534988528936,0.00045841928475630843,0.31737642009878037,0.003617985132758893,0.026784410973760563,0.004710371133359352,0.036827163320544753,0.005147724813539303
FR02MI08a,1.5563704739389193,0.0025566091517364273,0.35875492357754685,0.00366718206125334,0.0506243742138036,0.004458413506111432,0.06343988630473425,0.004842817028122373
FR02MI08b,1.5788180624616317,0.0024535862439385835,0.3593890688448815,0.0036774504519040264,0.05312124313577268,0.004470204370140699,0.061884658932049204,0.004798147626280936
FR02MI08c,1.585447268442147,0.0022221616177654207,0.35602409754441267,0.003631056673516181,0.04859447753119134,0.004557377461682015,0.06350912165312993,0.0048227028518543534
FR02MI09a,1.3212412884863585,0.0033610868906111136,0.1698252746712403,0.003625176444475457,0.09061190636404692,0.004677718289173349,0.07967005973854176,0.0053436129083585405
FR02MI09b,1.308553453228445,0.0035538571862555345,0.1676759434470676,0.0036698793709023353,0.09144439889118179,0.004374483320466339,0.08049744918494481,0.005124045834117449
FR02MI09c,1.3435542712610367,0.003962718022581977,0.16730438263827888,0.0036770272308503382,0.09328059476228384,0.004533901917932392,0.082679997071156,0.005161248587462889
FR02MI10a,1.580764945416002,0.0022034526231051407,0.3538389662711323,0.0036592953222550034,0.22994169661111327,0.004628186349464204,0.2255246186574116,0.005421764591145858
FR02MI10b,1.531985539280581,0.0015777111276772276,0.351153227537448,0.0036174038393939245,0.2268733533856821,0.004758230389860591,0.2176257023641479,0.0054963943187978015
FR02MI10c,1.5089496109064988,0.0015208450962820865,0.35459980348874426,0.0036914065261715243,0.23076141296600053,0.004703928833438482,0.2268581668729287,0.005290620125252557
FR04MI01a,1.418083790580847,0.0035260312858788685,0.26931302036134286,0.00370070185259577,0.08176846827176716,0.00457786619798808,0.08180475391573999,0.005255853851323281
FR04MI01b,1.3734038976302745,0.003388957187878276,0.25769776496517066,0.003695392441367863,0.084337590427528,0.004680757278185641,0.09104172106458834,0.005283910523023252
FR04MI01c,1.3903516111136998,0.00184079603385293,0.25934420586296375,0.003766558022976344,0.07764521835074503,0.004501108504589399,0.08605525487306162,0.005080209886104425
FR04MI02a,1.4747968323614575,0.00415869191301264,0.31694460116183937,0.003621302237190049,0.039450328500845816,0.0043535828028394225,0.0380185382193091,0.0047513226261990515
FR04MI02b,1.349578481620238,0.0033356687939415357,0.2902521594776024,0.003678606445072049,0.061669141387732815,0.004565452956309656,0.07345627560838665,0.005082517093907003
FR04MI02c,1.4109597216959244,0.0037211328514264214,0.30043040856469205,0.0036884947160018304,0.049460448381422335,0.004682273242624207,0.0519434880299678,0.005321058623026858
FR04MI03a,0.7332912169249108,0.003020918104674714,0.09627309941755817,0.0036427474892227795,0.03251067046824287,0.004167507969273569,0.02110767715059753,0.00448974428275796
FR04MI03b,0.7367744993900788,0.0014898761338867814,0.09686082895827466,0.003625014121694869,0.029513679683375954,0.004150399340086632,0.024453589563350444,0.004474455921211975
FR04MI03c,0.7411329580848394,0.002553069718082855,0.09788101446303636,0.003684714315783037,0.03009243192731703,0.004223242505940586,0.023627468067536166,0.004473245990787081
FR04MI04a,0.9182156474593232,0.0008939637846086876,0.19457327667098478,0.0035067641615588565,0.01987310434838108,0.003996603760355555,0.012557358226000223,0.00413132577459969
FR04MI04b,0.8869049793083027,0.0006037813984903444,0.19633466407777153,0.003599068388092055,0.018934905996566994,0.003810366446227435,0.010531015454292917,0.0039349950242963125
FR04MI04c,0.9011250665489507,0.00194572775882284,0.1987615957236304,0.003696291387875434,0.02084353967238773,0.003845157556187197,0.012209797798901795,0.003998175436488621
FR04MI05a,0.9508985208014563,0.001254747725119421,0.2039419260173489,0.0037266092291442076,0.04545665052983826,0.00446875548372958,0.0490840917169811,0.004903526927214698
FR04MI05b,0.9457399721923535,0.0015654175699765798,0.20171134611102506,0.003600192388908265,0.04894864895181777,0.004515264363713701,0.053368451673986815,0.0049422139676444715
FR04MI05c,0.9499740752759852,0.00171659746167242,0.2023489316703204,0.0036830709721408176,0.05052095058125036,0.0046174479040303204,0.058929643067456204,0.005133113867775444
FR04MI07a,0.6221390330162936,8.483549139603024e-05,0.10967722343068022,0.0033756925946225123,0.0010000000000000002,0.000608056830419566,0.0016010688582939908,0.001742315844297684
FR04MI07b,0.6330338130886802,0.00012111613025798297,0.11683175452734276,0.0034023702943814745,0.0010000000000000002,0.0008196775301936773,0.0018566970275186024,0.0019553326688459393
FR04MI07c,0.6692146012888416,0.0022501857165690203,0.10656515145027545,0.0034700232418215463,0.002321884682676031,0.001814106996377396,0.0010000000000000002,0.001188153864871049
FR04MI08a,1.1961001260905797,0.007173295893445467,0.23548135873953754,0.0036190595874084843,0.060808640694202186,0.004527657218304133,0.05977203459561854,0.005149154143790876
FR04MI08b,1.1561368546288635,0.007154363359065472,0.22391286956143164,0.0036076848455113253,0.05499188082736903,0.004625705696559392,0.05697865434325908,0.005179846360227643
FR04MI08c,1.1483078463829879,0.007644540037448469,0.22543500165594868,0.0036745197994002897,0.05681461514572751,0.004593178209730325,0.05587564032061817,0.005232547170904096
FR04MI08d,1.1443304680846025,0.0070706128334291265,0.2244097022690823,0.003587746580803391,0.05395510484883752,0.004610319546381893,0.05502237585488262,0.005136940828821061
FR06MI01a,1.2820328538250232,0.0012345159081465502,0.2848532056010168,0.003730717431288773,0.10612066652228978,0.004683258754116777,0.10428373263415924,0.005398067975342464
FR06MI01b,1.3391434471946304,0.0016304637501136795,0.3008824427410347,0.003682267086449041,0.14017064337781548,0.004494805588020886,0.12591860604337465,0.0049805265793781955
FR06MI01c,1.3381123278977916,0.0017927405087047534,0.3050186782047385,0.00357040716703727,0.14043582952292513,0.004658264833244554,0.1266751501337304,0.0051636514638375595
FR06MI02a,1.5400687929576875,0.001240762290893483,0.3683232089506078,0.0036041935318796717,0.06966906112044441,0.004776548472868102,0.06870062018290651,0.005152063400565087
FR06MI02b,1.4868993427735517,0.0017673916161138176,0.36813728268189355,0.00364381621005854,0.06751259440093672,0.004577330958435075,0.06773612512678295,0.005197481619860718
FR06MI02c,1.465773481251868,0.0010951580830603734,0.36841178251008977,0.003685642329018307,0.06767025774267309,0.004584549816984885,0.06787061357709295,0.005180350324528167
FR06MI03a,0.7033047110242756,4.304107820038974e-05,0.13765361353140249,0.003543300901758033,0.062090174635865074,0.004643573751434348,0.0605482464028866,0.004860770805587515
FR06MI03b,0.6521907204063632,4.8662440592937815e-05,0.1270138747317962,0.0035165527285436547,0.05188692157576212,0.004478203640326868,0.05464705719159462,0.004809923322443059
FR06MI03c,0.6982309333314193,4.310719218430548e-05,0.14126454044611308,0.0035549670657025584,0.06448016782091653,0.004447325252047291,0.0640344757265648,0.004762990020911268
FR06MI04a,1.0446820488801234,0.0020570077695749433,0.12061540926741389,0.0036490776885259703,0.03777438173308936,0.004449083198522236,0.03304689830545676,0.004896275470248773
FR06MI04b,1.0579643156414795,0.0019933269343559205,0.123477579899076,0.0036301025094976954,0.04313101604779337,0.004498196874663985,0.036526856931587685,0.004868710758865904
FR06MI04c,1.057585806361643,0.0020897569981054255,0.12387234592506176,0.0036360066747695105,0.03974763551800172,0.004325290572351137,0.03392289463825768,0.004933065970376717
FR06MI05a,0.8006959967967789,0.0002316250238265422,0.202669459563385,0.003640742694944776,0.11950506718073794,0.004866210230093159,0.11052093610310944,0.005595259106271135
FR06MI05b,0.8007108564717861,0.0001277504453310203,0.20757871353535953,0.003635469413370743,0.12210273070832475,0.004982396133576343,0.11267605680949055,0.0057390223379833105
