Wavenumber,Average_Baseline,PCA_1,PCA_2,PCA_3,PCA_4
1251.596,0.5,6.38E-19,-8.48E-17,2.87E-16,-6.88E-17
1253.524,0.45931937,0.003722005,0.020472991,0.020554518,0.018438428
1255.453,0.420815316,0.007150329,0.038650506,0.038869548,0.034425914
1257.381,0.384406405,0.010299893,0.054649055,0.055059301,0.048089234
1259.31,0.350011206,0.013185615,0.068585143,0.069237989,0.059555164
1261.238,0.317548288,0.015822417,0.080575278,0.081519822,0.068950482
1263.167,0.286936219,0.018225217,0.090735969,0.092019012,0.076401964
1265.095,0.258093567,0.020408935,0.099183721,0.100849769,0.082036386
1267.024,0.230938901,0.022388492,0.106035042,0.108126305,0.085980526
1268.952,0.20539079,0.024178807,0.111406441,0.11396283,0.08836116
1270.88,0.181367801,0.0257948,0.115414424,0.118473556,0.089305065
1272.809,0.158788503,0.027251392,0.118175498,0.121772694,0.088939017
1274.738,0.137571465,0.028563501,0.119806171,0.123974454,0.087389793
1276.666,0.117635255,0.029746048,0.12042295,0.125193048,0.08478417
1278.594,0.098898441,0.030813952,0.120142344,0.125542687,0.081248925
1280.523,0.081279593,0.031782134,0.119080858,0.125137582,0.076910833
1282.452,0.064793557,0.032602177,0.117188759,0.123927792,0.071869929
1284.38,0.049049474,0.033485998,0.115132097,0.122459284,0.066639719
1286.308,0.034035854,0.034362346,0.112929723,0.120812408,0.061239898
1288.237,0.019687893,0.035208282,0.110658172,0.119188082,0.0555636
1290.166,0.006034718,0.036039317,0.108264328,0.117730259,0.049661917
1292.094,-0.007011965,0.036852257,0.105817553,0.116235743,0.043848849
1294.022,-0.019460335,0.03763983,0.103328271,0.114720374,0.038142371
1295.951,-0.031363646,0.038411889,0.10080254,0.113150312,0.032490077
1297.88,-0.042745157,0.039171412,0.098223989,0.111415206,0.026979301
1299.808,-0.0536529,0.039926406,0.095615248,0.109501345,0.021666855
1301.736,-0.064091839,0.040673945,0.092989838,0.107510387,0.016476285
1303.665,-0.074101819,0.041415812,0.090350402,0.105384552,0.011423899
1305.594,-0.083688615,0.042133395,0.087694121,0.103176043,0.006487324
1307.522,-0.092882596,0.042827794,0.085032652,0.10093049,0.001651419
1309.45,-0.101700009,0.043500546,0.08237211,0.098667131,-0.003046208
1311.379,-0.110172015,0.044147912,0.079714597,0.096387357,-0.007596808
1313.307,-0.118299367,0.044773111,0.077073244,0.09416598,-0.012049087
1315.236,-0.126106967,0.045379761,0.074449894,0.091945499,-0.016388828
1317.164,-0.133608898,0.045961413,0.07184271,0.0897125,-0.020577231
1319.093,-0.140828142,0.046518949,0.069258602,0.087499994,-0.024618569
1321.021,-0.147773246,0.047049094,0.06670218,0.085294131,-0.028499719
1322.95,-0.154460764,0.047558336,0.064182143,0.083068073,-0.032233561
1324.878,-0.160893999,0.048046934,0.061702744,0.080829673,-0.035825869
1326.807,-0.167089788,0.048511944,0.059265803,0.078563192,-0.039254065
1328.735,-0.173050347,0.04895737,0.056879523,0.076310185,-0.042545075
1330.664,-0.178792586,0.049389617,0.054543144,0.074082826,-0.045708811
1332.592,-0.184324632,0.049806013,0.052259709,0.071907497,-0.048725537
1334.521,-0.18965814,0.05020836,0.050033241,0.069807537,-0.05158752
1336.449,-0.194791274,0.050597379,0.047869354,0.067761402,-0.054315796
1338.378,-0.199738232,0.050972474,0.045770345,0.065720737,-0.056904302
1340.307,-0.204504484,0.051336247,0.043733643,0.06369341,-0.05935002
1342.235,-0.209096456,0.051691806,0.041758199,0.061691395,-0.061671352
1344.163,-0.213520483,0.052036236,0.039843129,0.059701232,-0.063834985
1346.092,-0.217794136,0.052369682,0.037986656,0.057661293,-0.065791263
1348.021,-0.221912178,0.052690386,0.036196868,0.055585639,-0.06758707
1349.949,-0.225874895,0.053002297,0.034478877,0.053507834,-0.069290241
