,H2OT_3550_M,H2OT_3550_STD,H2Om_1635_BP,H2Om_1635_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD
AC4_EUH102_030920_256s_15x20_a,2.7112115364269433,0.26663476678451054,1.033318461254384,0.17260426201834295,240.1494737120704,52.90206920566757,280.2282095752867,54.46485233749475
AC4_EUH102_030920_256s_15x20_b,2.716610333653695,0.2667591474938328,1.0367200172142903,0.17306307714054,283.02964390410267,52.66234595571881,298.5117246817659,54.423393024616836
AC4_EUH102_030920_256s_15x20_c,2.74079641058044,0.2701154050349014,1.0355388058199826,0.17308529261303926,265.7901716876954,51.20714738023452,259.9333590004422,52.266640450300535
AC4_EUH33_030920_256s_20x20_a,1.3867883969771082,0.13106727550178135,0.2381258476290512,0.03958022268300044,19.286074489429907,22.393203681373908,106.94794085232218,44.16831839909559
AC4_EUH33_030920_256s_20x20_b,1.3913747657878834,0.13154080321334188,0.24049992717712682,0.04004917191582354,18.676864503956654,21.76804259732075,105.34165762758053,44.954405789560354
AC4_EUH33_030920_256s_20x20_c,1.389102172503413,0.13122945579186124,0.2382700796732428,0.03966024797134716,14.579184782514503,20.727488609132767,102.81160245179264,43.754217087615096
AC4_OL21_012821_256s_20x20_a,2.78474861942548,0.34028277181640365,1.054371968161617,0.19152563074919216,381.0395204852466,95.96007916445792,379.48626540098417,99.88237291262254
AC4_OL21_012821_256s_20x20_b,2.7706719820732237,0.3399074391680229,1.08305546083747,0.1968408503462957,588.2191032572041,106.0303972211279,512.4074322229117,109.93482759559286
AC4_OL21_012821_256s_20x20_c,2.803687436959628,0.3440139410592575,1.066630016296758,0.19359525759609902,432.7386883532003,96.7442733379839,428.48688641400275,102.99918116112403
AC4_OL21_012821_256s_20x25_a,2.7123668460947563,0.33193094829934405,1.021351646733377,0.18560240829266217,18.705342806729213,18.676010867917736,421.04365632671994,80.29790211710647
AC4_OL21_012821_256s_20x25_b,2.7098960149721316,0.3312093852210373,1.0158578985320474,0.18433352511129672,18.70487634798253,19.584344077274487,427.9521011819991,80.96493405723271
AC4_OL21_012821_256s_20x25_c,2.713197041030079,0.3328986529174621,1.0179411510189842,0.18501704682279035,18.70549953079279,19.476752744678407,436.9308332820111,81.34737272474712
AC4_OL24_020320_256s_25x25_CO2_a,2.2357391198004923,0.19276116570230606,1.2831784830644835,0.19327686613391304,459.7883591046793,56.461202160087694,371.28549537617226,57.86977256645076
AC4_OL24_020320_256s_25x25_CO2_b,2.2132651790475104,0.19076590205208752,1.2774220866756474,0.19226126488335168,466.29339684648386,56.978170863846955,367.1170709099374,56.53469177382732
AC4_OL24_020320_256s_25x25_CO2_c,2.20253625838029,0.190091546529399,1.2763559847892736,0.192363789937376,469.8744718415683,57.26517172319416,372.1133939234813,58.42202491015289
AC4_OL24_020320_256s_25x30_H2O_a,2.743312588547073,0.2367226706350853,1.2167591033110783,0.1831301127761218,580.9189761941547,62.93946320331024,609.6457547915201,68.98549748436085
AC4_OL24_020320_256s_25x30_H2O_b,2.7937929586722325,0.24060549250969301,1.2517335869659116,0.18818468217365128,607.9232885247131,65.04270918679994,590.2533487753619,68.4703059923638
AC4_OL24_020320_256s_25x30_H2O_c,2.7985697849940636,0.24159568580562618,1.2399216197215714,0.1862739083403796,609.2669182179175,64.0891896553593,606.2259381335006,68.06666092015514
AC4_OL27_020520_256s_20x25_a,2.4905568999129413,0.2024263313448292,1.2159549444898579,0.1854488575699945,505.52117858411475,47.88370089365501,443.45380093939264,48.70275313365485
AC4_OL27_020520_256s_20x25_b,2.3761965558711955,0.19269264052947105,1.1855030498520356,0.18046414768247787,391.82335607258153,44.07136387981402,365.55620191045386,45.4011370339644
AC4_OL27_020520_256s_20x25_c,2.3848537378384624,0.19352276674986726,1.1818693855480695,0.17997614317366858,412.1078460139781,44.127336080712865,365.2271199137859,45.17962386895387
AC4_OL29_012821_256s_10x12_a,2.4902869632973537,0.22455104482289426,1.0454971712179124,0.1629564736532677,11.319413398087189,12.00270437982254,13.241867396150198,17.16026759887509
AC4_OL29_012821_256s_12x22_a,2.443453361088539,0.22015337878074773,1.0860366407030293,0.16915047148416784,11.314151352617879,13.037907898338283,202.60545178127614,43.66090786874444
AC4_OL29_012821_256s_12x22_b,2.459708130159316,0.22139736661610926,1.0527642109046527,0.16402752446404412,11.315978239900547,10.165196158190147,76.85292052210298,33.04559942451508
AC4_OL29_012821_256s_12x22_c,2.434130053981334,0.2193631060451531,1.071986778729026,0.167309466810608,11.313103227846012,11.239118511287348,62.96666881230502,29.043385683250555
AC4_OL32_MI1_021420_256s_25x30_a,2.243048108031431,0.1811993161329523,0.9124806580786154,0.13527872561123863,34.35870485728806,17.386213168811235,132.9813167742331,27.5917630831118
AC4_OL32_MI1_021420_256s_25x30_b,2.239699318115805,0.18094796576034716,0.9103997029898029,0.13504691245765757,34.7205807316072,18.150258053917604,135.11451446293017,27.921391768727073
AC4_OL32_MI1_021420_256s_25x30_c,2.225168900904346,0.17960969362681672,0.9080987624629092,0.13476071818113503,29.553039198923003,17.911818435796963,132.849265976774,28.210509807157063
AC4_OL32_MI2_021220_20x35_256s_a,2.4053840477499735,0.19444439773960956,1.2463042173223629,0.18781837356678321,394.5648755074107,43.09612838365284,389.46417610547684,46.79500820720372
AC4_OL32_MI2_021220_20x35_256s_b,2.403153121919283,0.19420804415483556,1.2407640747900641,0.18685763465771343,413.75814244725086,43.11568143184668,409.1635936958707,47.16718069507716
AC4_OL32_MI2_021220_20x35_256s_c,2.410540258083942,0.19482259895040666,1.2362075314067464,0.1862448133488756,392.25130552466453,42.02487587840582,391.8667202639622,46.07639150024666
AC4_OL36_MI1_021420_256s_20x25_H2O_a,2.4683738759848604,0.23738648777574067,1.0275595458879665,0.16795329088309502,186.67540460691106,50.15382411545812,187.1985440288884,53.183870072341904
AC4_OL36_MI1_021420_256s_20x25_H2O_b,2.7900964464758076,0.2690183571321757,1.081766918980293,0.1766998917279983,197.9626814517162,53.132477350421,257.6432415796178,57.37499634436587
AC4_OL36_MI1_021420_256s_20x25_H2O_c,2.4437288110155873,0.23545104216559806,1.0150168665753956,0.166130111937241,180.324157372895,49.96158196751203,192.00409784413878,53.34305971957852
AC4_OL36_MI2_021420_256s_15x20_a,2.698326894616173,0.26005159979827935,1.0630761892768006,0.17580867951292356,143.86825523907024,51.65719584948256,326.9971728894344,55.60778717614092
AC4_OL36_MI2_021420_256s_15x20_b,2.696405843533338,0.2597385614069713,1.070582093307868,0.17698993105138644,131.3540984285068,48.157915102226305,317.5436902116983,54.16607287881493
AC4_OL36_MI2_021420_256s_15x20_c,2.5441271315069254,0.24499636426068877,1.026536048813717,0.16984011908771732,104.7925582072323,46.18474053091665,276.57872847761405,51.600840749528984
AC4_OL3_101220_256s_30x30_a,2.4066271364233742,0.22797799091167073,0.5515091593604644,0.08867231140442308,284.0473298775853,67.57435786210723,426.34208189334754,78.8668033639804
