,P_H5200_M,P_H4500_M,P_H5200_STD,P_H4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500
AC4_EUH102_030920_256s_15x20_a,0.009916210575381916,0.010582876064877884,0.00030738842434584624,0.0009488498564016897,5.067716338727289,6.810505932982275,-,-
AC4_EUH102_030920_256s_15x20_b,0.011683875550308564,0.010768651649307369,0.0007259499111213745,0.0004637593037493531,4.691192973610843,8.864997984509355,-,-
AC4_EUH102_030920_256s_15x20_c,0.012771717799758277,0.0125509119847041,0.0016325152597757324,0.0009566449462451877,4.772855129010358,5.593922063908188,-,-
AC4_EUH33_030920_256s_20x20_a,0.004575643811537816,0.011181689541258859,0.00042350666929310426,0.0003921751265770469,2.8448799928665482,7.261573609756378,*,-
AC4_EUH33_030920_256s_20x20_b,0.00428400421496519,0.01085901025373303,0.00033352307105052523,0.0005834633058868127,2.0559941659560392,8.696239081665773,*,-
AC4_EUH33_030920_256s_20x20_c,0.004064426561533371,0.011654035661930006,0.0002868398175876863,0.0009843744850066114,2.4773180164660333,8.765387976945915,*,-
AC4_OL21_012821_256s_20x20_a,0.004850192057338228,0.0076003745308261044,9.136563212452627e-05,0.0002746416974289947,1.5609351767186925,5.03103896943432,*,-
AC4_OL21_012821_256s_20x20_b,0.005811568793934456,0.0067380610496127905,1.627142780764791e-06,0.00025412590845829786,1.6560655608462966,5.878309388525545,*,-
AC4_OL21_012821_256s_20x20_c,0.006782434158380274,0.007317556867721782,0.00036869684364299174,0.0006518218137121224,2.9598710245233932,3.5217220837493364,*,*
AC4_OL21_012821_256s_20x25_a,0.007891781540031664,0.006486026809593463,0.0009298971070402887,0.00026907006932576474,4.881439968034543,4.558319245439692,-,-
AC4_OL21_012821_256s_20x25_b,0.007397107756686591,0.007344844442918211,0.00011621645245432151,0.0007519514868971225,2.500380899297564,3.362320327015844,*,*
AC4_OL21_012821_256s_20x25_c,0.006327127806384121,0.007512072961863683,0.0005049588854449521,0.00021146102352240226,2.139550402634572,3.1528834792396587,*,*
AC4_OL24_020320_256s_25x25_CO2_a,0.014690148376311626,0.011648464490936643,3.500808986093062e-05,4.346918651618292e-05,6.617009844290588,7.735916824332736,-,-
AC4_OL24_020320_256s_25x25_CO2_b,0.014575862312771385,0.0099292885350035,0.0008797791772800243,0.00014388805159376477,7.700502976723812,8.12868275524942,-,-
AC4_OL24_020320_256s_25x25_CO2_c,0.015431735503939668,0.010060199230514957,0.00023492941424667596,0.00011965672053059417,5.179531210637144,11.5833914869921,-,-
