,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,H2OT_3550_SAT?,P_H1635_BP,P_H1635_STD,H2Om_1635_MAX,P_H1635_PCA1_BP,P_H1635_PCA1_STD,P_H1635_PCA2_BP,P_H1635_PCA2_STD,P_G1515_BP,P_G1515_STD,STD_G1515_BP,STD_G1515_STD,AMP_G1515_BP,AMP_G1515_STD,P_G1430_BP,P_G1430_STD,STD_G1430_BP,STD_G1430_STD,AMP_G1430_BP,AMP_G1430_STD,AVG_BL_BP,AVG_BL_STD,PCA1_BP,PCA1_STD,PCA2_BP,PCA2_STD,PCA3_BP,PCA3_STD,PCA4_BP,PCA4_STD,m_BP,m_STD,b_BP,b_STD
AC4_EUH102_030920_256s_15x20_a,1.210389030871488,2.3000116874518957e-05,1.524134,-,0.24795695842337434,0.00365438534069336,0.4542057,0.04292968166213352,0.019219561453495466,-0.12101116836653578,0.01504120201449832,1516.6230242884596,4.520947953304106,34.99999999999999,3.287574416841361,0.02003669138192938,0.0040648711376717475,1432.3741348421122,3.404629143163607,24.002155332883493,3.0219853626262716,0.02338063067547099,0.0040956681621907845,0.5138873344897711,0.14344553950791708,-1.2062531523852764,1.6175712366478814,0.5030769383308351,0.061368789734172445,-0.2087620549374315,0.20830933974465088,0.208054422011219,0.11562181154613611,-0.000389193945577161,0.00027457228409083056,0.8605925032880459,0.08471516087102804
AC4_EUH102_030920_256s_15x20_b,1.2127329319800075,1.3630560894988375e-05,1.520704,-,0.24875959620676624,0.0035730782738098623,0.46154459999999997,0.04557230438409331,0.019058943471712046,-0.10973409700034845,0.015086663277821844,1512.852454827521,4.3540565192739695,34.99999999999999,3.218711106093864,0.023613074750999344,0.003921580968888943,1432.1437229685444,3.1960994848369526,22.72137157372886,2.8704135742434516,0.024904739912503908,0.004036385828020709,0.4406088089340733,0.12703593432004828,-1.9491929733563926,1.426358109659995,0.4875515794688993,0.058710391033965026,-0.2938507294831254,0.18606377924606335,0.28623417216338093,0.1028327710135224,-0.0005170694535935231,0.00024146108622170948,0.9043692902299761,0.07512568421754073
AC4_EUH102_030920_256s_15x20_c,1.2232303197006564,1.590217630891787e-05,1.5151569999999999,-,0.2484153196528023,0.003592158326231863,0.45516530000000005,0.04456265998341905,0.01901381371049705,-0.11794271592034185,0.014794784229800843,1519.3736123323563,4.03070007807625,34.99999999999999,2.8357624550395903,0.022169360843833398,0.0038405684777324026,1434.7142929124454,3.198156565207882,23.71112375980775,2.9753711947205956,0.021680848446877565,0.003954588395900137,0.521214045325752,0.13716475224081323,-1.0176230845651277,1.5303592441587153,0.5058391617806217,0.06155162202394714,-0.18804125453276832,0.1961440007659836,0.20102694280414984,0.11115863901310975,-0.00036277647113950077,0.00026077470126188886,0.8549902146631235,0.0801280994944741
AC4_EUH33_030920_256s_20x20_a,0.6832148392622659,4.5907798795790214e-05,0.8172756,-,0.06570181788544598,0.0034725302075807904,0.29246609999999995,0.03482765103209653,0.018143066892064127,-0.03461562664584628,0.012893702938567612,1524.9999999999998,5.384090266100411,22.500000000000004,3.5206862416447806,0.0014909950393664768,0.0017129624516996008,1420.0000000000002,3.7019257387741664,22.50000000000024,3.5018003410228724,0.008268082204528774,0.003318541298366542,1.1891426975005956,0.09369170559366695,4.497488017540206,0.9974245733963967,-0.38917611543958003,0.05265160289792296,0.47530079277695486,0.1271359327909528,-0.03405277500624802,0.07776488002076895,0.0005460723572829966,0.00017125396998898766,0.44057328666302475,0.05268941461542446
AC4_EUH33_030920_256s_20x20_b,0.6854429271112573,4.38796341787645e-05,0.8181513000000001,-,0.06635381260582027,0.003561805007551224,0.2916764,0.03747304681540204,0.018052557706548313,-0.03341349456140337,0.012980777672990716,1524.9999999999998,5.4566678773922845,22.500000000000004,3.564835034302754,0.0014438311668600265,0.0016611143337637187,1420.0000000000002,3.8885067651928007,22.500000000000004,3.478475046836242,0.008143527968475537,0.003377335322079935,1.2212972187742248,0.09114179762370732,4.752930549601077,0.9219844051356682,-0.38422928856398975,0.05175252313947312,0.5030046503268712,0.11642924841904397,-0.05645512822410785,0.0761587737469942,0.000598708223012513,0.00016100026875647707,0.4289814343304491,0.04828963877333121
AC4_EUH33_030920_256s_20x20_c,0.6843389116676514,4.315379315983992e-05,0.8196414000000001,-,0.06574009241087705,0.003570747903762632,0.29334970000000005,0.039350464546656375,0.017985058068771886,-0.036809734783876516,0.013040852413875951,1524.9999999999998,5.466697938443244,22.500000000000004,3.592214117504151,0.0011270820991053725,0.0015830047167039838,1420.0000000000002,4.092954788854687,22.500000000000004,3.5047786772434484,0.007948120449281249,0.003285054619593421,1.2244126941604627,0.09192353835512744,4.9128303174260095,0.9455728577800777,-0.37508479877164785,0.05134907131249568,0.5267720472420563,0.11913273899893359,-0.06684616744329118,0.07665474362906713,0.0006182380153159036,0.0001642111236296693,0.4190015564704069,0.04951385009229086
AC4_OL21_012821_256s_20x20_a,0.8617046256637985,0.001207911894190337,0.9665232,-,0.17801701687449684,0.003610334697318614,0.19378370000000003,-0.0016335986562635695,0.019097592842481494,0.031134744016736052,0.014759261611605049,1515.8242435494235,4.284256016018325,23.367679937930628,3.0584213196802024,0.020355765779861756,0.004524115733509742,1420.2891685503294,3.383718834725909,34.99999999999999,3.4819560008440797,0.02027278830641921,0.004765275054963145,0.42834660117097867,0.12949650149161318,-1.3144279704920918,1.4597082372033638,-0.3123277923113387,0.059555926766148175,-0.18295825711937294,0.1912482996685636,0.10499184733455678,0.10393208793137301,-0.00030212815150265854,0.0002476714227803239,0.4984637793458244,0.07716596617720227
AC4_OL21_012821_256s_20x20_b,0.8574703590057885,0.0008279036060053031,0.9566054,-,0.18288578076928255,0.003600819920810449,0.1932838,-0.008259819046928806,0.019247622641059028,0.06886899887190465,0.015415563597026975,1516.6325622753152,3.3864471280235837,28.74122682097734,3.121901289766323,0.03142809984554033,0.00440548295458584,1423.5243618661016,3.9529458173733096,34.99999999999999,3.1184739786143236,0.027377539852623575,0.004955930210159517,0.31145645747370826,0.1245827866072787,-1.7624787096032957,1.4586950945139183,-0.33031300808064495,0.061924538070571036,-0.10088354012105734,0.197219472160919,0.1946674811494222,0.09998082567251676,-0.0004375677253899714,0.000244563391126886,0.5030171590801052,0.07839222972347962
AC4_OL21_012821_256s_20x20_c,0.8673996025323006,0.0019688940075202224,0.9680783000000002,-,0.18005229661551553,0.0036398787344480445,0.193986,-0.003027229754297633,0.019143034013039635,0.04256369937603443,0.015072742306716373,1517.232912094782,3.9085258622509325,25.59192773166827,3.125855279146149,0.02311321418108064,0.004416455845536932,1420.1531654217279,3.26112969537423,34.99999999999999,3.3472656567277954,0.022886119143079333,0.004804651704738796,0.4684237408546973,0.1375188117692286,-0.7867732280544285,1.5787058124426565,-0.33413314482824863,0.06161316867703718,-0.08609162232907056,0.20746995149748904,0.08586197892311603,0.10938563260798034,-0.00022498923646058767,0.000266686396372324,0.4694394349586634,0.08373264216240084
AC4_OL21_012821_256s_20x25_a,0.839919683958854,0.001659944461692592,0.94686,-,0.1725678413223532,0.0034942796814031413,0.19416989999999998,0.019357259247486134,0.01807239445842783,0.008382467033041149,0.013135120210889854,1512.1358782445607,5.702508303107054,22.500000000000004,3.476047419514178,0.0010000000000000002,0.0009746001435908295,1420.0000000000002,0.9386050063419734,34.99999999999998,2.8559458033692273,0.022509272386884584,0.0034420635515944008,1.1155627274407691,0.0659511172829709,4.999999999999999,0.6276511094366369,0.05544809706375745,0.04921508478394238,0.3050649133350201,0.08392002012968836,-0.3730688459817732,0.05684990342202884,0.0009554915045152713,0.00010985661915039233,0.19267992006901805,0.03393956931748374
AC4_OL21_012821_256s_20x25_b,0.8391754856354208,0.001872038273166725,0.9504877,-,0.17164389650660652,0.0034859585597372855,0.1916734,0.01979457877317847,0.01784665772017091,0.003759889663891401,0.012989670279011338,1514.9009774430435,5.75765057727445,22.500000000000004,3.4771399482730208,0.0010000000000000002,0.0010239969711038483,1420.0000000000002,1.0586364796153858,34.999999999999986,2.973656308388067,0.02287917296112772,0.003454554066202096,1.1087259981950799,0.06773204672896174,4.999999999999999,0.687373886773446,0.0397534306188066,0.05028323801985232,0.324204459510602,0.09126165608666376,-0.36716795234779664,0.056699560260929045,0.0009439741774273982,0.00011755594211114904,0.19003635020433787,0.03716851191973509
AC4_OL21_012821_256s_20x25_c,0.8401697251994493,0.0018133917894352042,0.9523702,-,0.17199016204260684,0.0034455012181581063,0.1927316,0.018318091524308883,0.01778898147491531,0.006959238135293937,0.012783320668831295,1513.8427231615356,5.663193864661443,22.500000000000004,3.524816393089186,0.0010000000000000002,0.0010192292751346767,1420.0000000000002,0.8743826784423362,34.99999999999999,2.7931604145126787,0.023358415666084747,0.003445677310399979,1.1124953006843408,0.0667398753561365,4.999999999999999,0.6490996390327112,0.0570941718285416,0.047307811128186626,0.30875058464103494,0.086519722460713,-0.37149176345159957,0.05694182766671172,0.0009534397445376992,0.0001127441246221085,0.19133905355246938,0.034705844386640546
AC4_OL24_020320_256s_25x25_CO2_a,1.3797231504048193,0.004357841717334365,1.6605880000000002,-,0.4473272224748476,0.003599403546180412,0.4228215,-0.03556804425914932,0.0189122580184564,0.0938943474689975,0.015264197056876105,1524.9999999999998,0.7140566551993642,28.666989122269023,2.4459226570426975,0.04507647571226566,0.004450428024908821,1420.0000000000002,1.2712773213441029,30.202408509862405,2.8513710335427005,0.03639988112624278,0.004990013588317667,1.3463056916310958,0.1225555381757885,0.33736130817058285,1.4261918103498343,0.3726476597183482,0.05899828581223064,-0.4815058941222629,0.1952838483520173,-0.30997867802642554,0.0950682117837073,2.282959822776213e-05,0.0002384809248428294,1.0082449325185416,0.07644481296907525
