,P_H5200_M,P_H4500_M,P_H5200_STD,P_H4500_STD,S2N_P5200,S2N_P4500,ERR_5200,ERR_4500
FR02MI09c,0.012430831370879988,0.009590226957119925,5.724051263310899e-05,0.00016619860351332132,7.324213365629763,3.629233000668943,-,*
FR02MI10a,0.012422704919274217,0.009831439978170898,0.00015216040161773856,0.0016165374527363828,2.862375146953704,2.42254794904839,*,*
FR02MI10b,0.015981505970186053,0.010845654433830162,0.0025514406895195863,0.001436641229485375,3.7493055770606443,2.7597578044492224,*,*
FR02MI10c,0.012722611352064825,0.011557635793980772,0.0005300711532180365,9.96870681157228e-05,2.7480150671418464,3.587352487469662,*,*
FR04MI01a,0.024980494211080746,0.011000526108203927,9.011662293461816e-05,0.0003238175325639528,2.264716575439765,2.470100012728745,*,*
FR04MI01b,0.015941920349667415,0.009707068454413275,0.0026430182286390456,0.0010155546943540585,1.6287086077233364,2.0271809049365004,*,*
FR04MI01c,0.019681155629030302,0.015587219691298553,0.0005121990500479537,0.002773374173689595,2.0645956190338204,4.082233527858968,*,-
FR04MI02a,0.01516043800501451,0.011677292893292966,0.000553542683546302,0.0004441465805866131,6.068915140248902,9.459294781857096,-,-
FR04MI02b,0.017896686505749222,0.008718254424567844,0.0013675371576119435,9.176839634597337e-05,2.81251400776798,5.824310068479885,*,-
FR04MI02c,0.013857342252980374,0.009523079504237556,0.00014657143870864468,0.0008931348903742707,6.002696001515697,2.3010320375233086,-,*
FR04MI03a,0.005266485732614121,0.007516628206410424,0.0007140565119446946,0.0004350713235340552,2.1546769287292613,4.853176678942906,*,-
FR04MI03b,0.004509910209786252,0.010793099910276343,0.0003030321470330192,0.0005498853930053304,2.6307909987048066,4.089557675184056,*,-
FR04MI03c,0.004878695273571824,0.00859876676622822,9.144200674680422e-05,0.001038134438323958,2.3487793192140725,6.100309514487719,*,-
FR04MI04a,0.01427176170179853,0.011729727115451135,0.0011832602483049521,0.0004551879597790794,2.584329562581647,2.019052830092967,*,*
FR04MI04b,0.011386945158084706,0.01388787142879233,3.6442928062573766e-05,0.00017165074486473098,1.5651936579626744,3.749886824172826,*,*
FR04MI04c,0.014247628218212441,0.014892220159427759,0.0003422201455291454,0.0003516051707902967,1.9339289125854415,3.3079786285800292,*,*
FR04MI05a,0.006441423192539805,0.007113547853657128,4.969434926507359e-05,0.0003208977050573657,2.9665274437984124,3.718412628927377,*,*
FR04MI05b,0.007139170982761053,0.006692791578937707,0.0007302939311545302,0.0005000692025384049,3.151666416296266,6.449584377008896,*,-
FR04MI05c,0.006765126194183611,0.006612092699235287,8.020047388845435e-05,0.00023574351274448273,3.6177613964397994,4.944372694497582,*,-
FR04MI07a,0.04888320183994984,0.022423318208493803,0.0005391302432527324,0.003002719340938154,2.908770113670615,1.5039895192394077,*,*
FR04MI07b,0.014337277449229373,0.010843274924449616,0.0011139133240069844,0.0006525203033048578,1.9161533682041336,1.157478849907811,*,*
FR04MI07c,0.014121465761712625,0.007091408561217736,1.254334214665706e-06,0.00028101999649840736,2.0471161256382633,1.1942608681110605,*,*
FR04MI08a,0.0049237645524668775,0.011352164161823492,0.00029075665852442307,0.0010367715269576847,1.3750874244755764,4.922965000971913,*,-
FR04MI08b,0.005792417829335229,0.007161447592180862,0.00011712661844025234,0.0003835356555284229,2.6820505034659146,3.728183208991563,*,*
FR04MI08c,0.004102844480771425,0.0062911461072090455,6.64955071024126e-05,0.0001340275426732164,1.6164361073562645,4.875707625162573,*,-
FR04MI08d,0.0034475393547627377,0.0075257079329376616,0.0001253444376520064,0.0005239731412950937,1.8167977049151094,5.005510275343678,*,-
FR06MI01a,0.01141071187409095,0.009189493898178113,0.0002861197188109434,0.00014121710353168216,5.3725330782883205,7.373448082763448,-,-
FR06MI01b,0.009279759033592952,0.00959963295059902,0.0003871789047138434,0.0004680095283553783,4.677787009618207,4.721255995701029,-,-
FR06MI01c,0.012637862925891698,0.012256057303273962,0.001801024370779268,0.0007973982218922706,4.092075720247208,4.865793211759836,-,-
FR06MI02a,0.015038812960690382,0.008005216506084226,0.000458198663968349,3.994798358715928e-05,5.957949659171228,5.6906326864291605,-,-
FR06MI02b,0.013701385663553639,0.00730349853421364,0.0008791364810030448,8.674626892795175e-05,5.944317270627937,4.2956980248050405,-,-
FR06MI02c,0.016391593973243898,0.008734278653277985,0.0007770325481844101,0.00044836758012558535,6.273603299988031,4.586596220079005,-,-
FR06MI03a,0.011480888796706603,0.006172347935921114,0.0010839243253270617,0.00019688458820143944,3.8460108961681407,3.1792604520309524,*,*
FR06MI03b,0.008114187863327599,0.004962079588907275,5.770953606966356e-05,0.0002880330168544449,2.208049468330982,2.519213438499373,*,*
FR06MI03c,0.011054623739001776,0.004604449902124146,0.0017516499500893196,0.00020038176759763638,3.17735323105518,2.4291036822190097,*,*
FR06MI04a,0.012096246491437769,0.009638943536988992,0.0009477471516409375,0.00013427136901659212,3.751961991982167,3.9488422010827637,*,*
FR06MI04b,0.00726742675861056,0.007618992453218547,9.244454771293722e-05,0.0003185469674239351,1.379087186773175,3.083662410261027,*,*
FR06MI04c,0.007955633744007694,0.00795592691329148,0.002021823353698649,0.00040041546619306467,2.4715157242092864,3.477969445821767,*,*
FR06MI05a,0.009398896972171233,0.007532987345623381,0.0006747552091888739,0.0010447126805772278,2.726354717024094,3.248918289138769,*,*
FR06MI05b,0.0067896009483577645,0.008109878298712705,0.000694684970015521,0.0005317818052927234,1.828695932730424,2.7815108915322306,*,*
FR06MI05c,0.009896356964392571,0.010392156665859168,0.0004093166499835156,0.0011568451007984244,3.2443188050267957,5.17005762657866,*,-
FR06MI06a,0.010714992785648594,0.01009873177334724,0.001367696724852739,0.00025017615545224197,2.647073276881518,3.727969194437863,*,*
FR06MI06b,0.009030970649624376,0.010009243203882865,3.1787533507137664e-05,4.5278058801072466e-05,3.3485199434854898,5.707921384765991,*,-
FR06MI06c,0.009388690733223933,0.008537682128868485,0.00016899485207526197,0.0007437068242100223,2.389646891830231,3.4340853697189733,*,*
FR06MI07a,0.006854196573839461,0.01298426369360957,0.00013039716659087093,0.0003250577301820287,1.2968149645966516,3.830162161855546,*,*
FR06MI07b,0.010351800717653561,0.011838024294024281,0.0003496820583336564,0.0014005265010439316,2.8504796598662874,4.506619910097281,*,-
FR06MI07c,0.013362093194259324,0.009884453740731986,5.724336740069948e-05,0.0008964673709469637,2.643110714757014,3.9598550010273237,*,*
FR06MI08a,0.007247861552651141,0.002689352490423341,6.780546050097492e-05,0.00014815934563793177,4.828942423948804,1.7938128093865322,-,*
FR06MI08b,0.008386530316386922,0.003461015608117049,0.0007050496133440618,3.229366516783585e-05,5.399955208575096,4.344477976141911,-,-
FR06MI08c,0.011189206130570867,0.003088633907768074,0.0004742986791164001,0.00011494276456467848,3.2013511006862494,2.569629370991804,*,*
