,Peak_Thicknesses,Peak_Thickness_M,Peak_Thickness_STD,Peak_Loc,Peak_Diff,Trough_Thicknesses,Trough_Thickness_M,Trough_Thickness_STD,Trough_Loc,Trough_Diff,Thickness_M,Thickness_STD
AC4_EUH102_REF_a,[45.95 45.95 45.95 47.39],46.31,0.62,[2281.47 2341.26 2404.9  2468.54],[63.64 63.64 63.64 61.71],"[45.95, 47.39, 45.95, 44.6, 44.6]",45.7,1.04,[2250.62 2312.33 2375.97 2433.83 2501.33],[63.64 61.71 63.64 65.57 65.57],45.97,0.93
AC4_EUH102_REF_b,[47.39 48.92 48.91 43.32],47.14,2.29,[2277.61 2337.4  2406.83 2462.76],[61.71 59.78 59.79 67.5 ],"[48.91, 45.95, 48.91, 44.6, 42.12, 45.95]",46.07,2.38,[2248.69 2308.47 2381.76 2431.9  2497.47],[59.78 63.64 59.79 65.57 69.43 63.64],46.5,2.4
AC4_EUH33_REF_a,[50.55 52.29 50.55 50.54],50.98,0.75,[2283.4  2339.33 2399.11 2456.97 2514.83],[57.86 55.93 57.86 57.86],"[48.91, 48.91, 52.29, 54.16, 48.91, 48.91, 52.29]",50.63,2.06,[2254.47 2310.4  2374.04 2428.04 2487.83 2547.61],[59.79 59.78 55.93 54.   59.79 59.78 55.93],50.76,1.72
AC4_EUH33_REF_b,[50.55 48.91 52.29 52.29 50.54 50.54],50.85,1.17,[2227.47 2281.47 2337.4  2401.04 2456.97 2514.83],[57.86 59.78 55.93 55.93 57.86 57.86],"[47.39, 50.54, 56.16, 48.91, 48.91, 54.16, 54.15]",51.46,3.09,[2256.4  2308.47 2381.76 2426.11 2485.9  2545.68],[61.71 57.86 52.07 59.78 59.78 54.   54.  ],51.18,2.42
AC4_OL21_REF_a,[79.81 79.81 79.81 79.81 79.81 79.81 79.81 79.81],79.81,0.0,[2252.54 2291.11 2327.76 2362.47 2399.11 2437.68 2474.33 2510.97 2545.68],[36.64 36.64 36.64 36.64 36.64 36.64 36.64 36.64],"[79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 79.81]",79.81,0.0,"[2235.19 2271.83 2308.47 2345.11 2381.76 2418.4  2455.04 2491.68 2528.33
 2564.97]","[36.64 36.64 36.64 36.64 36.64 36.64 36.64 36.64 36.64 36.64 36.64 36.64
 36.64 36.64]",79.81,0.0
AC4_OL21_REF_b,[75.82 84.24 79.81 79.81 84.24 84.24 84.24 79.81 79.81 84.24 79.81],81.46,2.76,[2217.83 2254.47 2289.19 2364.4  2443.47 2478.18 2512.9  2549.54],[38.57 34.71 36.64 36.64 34.71 34.71 34.71 36.64 36.64 34.71 36.64],"[79.81, 79.81, 84.24, 75.82, 89.2, 84.24, 84.24, 79.81, 79.81, 79.81, 84.24]",81.91,3.49,[2235.19 2273.76 2306.54 2385.61 2460.83 2495.54 2530.26 2566.9 ],[36.64 36.64 34.71 38.57 32.78 34.71 34.71 36.64 36.64 36.64 34.71],81.69,3.16
AC4_OL24_REF_b,[60.65 63.18 65.93 58.32 63.18 60.65 60.65 60.66],61.65,2.18,[2225.54 2269.9  2397.19 2447.33 2493.61 2541.83],[48.21 46.28 44.36 50.14 46.28 48.21 48.21 48.21],"[63.18, 63.18, 65.93, 54.16, 63.18, 60.65, 60.65, 60.65]",61.45,3.24,[2202.4  2246.76 2370.19 2424.18 2470.47 2518.68],[46.28 46.28 44.36 54.   46.28 48.21 48.21 48.21],61.55,2.77
AC4_OL27_REF_a,[79.81 79.81 79.81 79.81 79.81 79.81 79.81 79.81],79.81,0.0,[2248.69 2283.4  2321.97 2358.61 2395.26 2431.9  2470.47 2507.11 2545.68],[36.64 36.64 36.64 36.64 36.64 36.64 36.64 36.64],"[79.81, 79.81, 79.81, 79.81, 79.81, 79.81]",79.81,0.0,[2229.4  2266.04 2302.69 2341.26 2377.9  2412.61 2451.18 2489.76 2528.33],[36.64 36.64 36.64 36.64 36.64 36.64],79.81,0.0
AC4_OL27_REF_b,[79.81 79.81 79.81 79.81 72.21 75.82 84.24 75.82 79.81 72.21],77.93,3.63,[2240.97 2277.61 2318.11 2356.69 2391.4  2429.97 2466.61 2507.11],[36.64 36.64 36.64 36.64 40.5  38.57 34.71 38.57 36.64 40.5 ],"[79.81, 79.81, 79.81, 79.81, 79.81, 79.81, 68.93, 89.2, 72.21, 79.81, 72.21]",78.29,5.19,[2223.62 2260.26 2296.9  2333.54 2375.97 2408.76 2449.26 2485.9 ],[36.64 36.64 36.64 36.64 36.64 36.64 42.43 32.79 40.5  36.64 40.5 ],78.12,4.52
AC4_OL40_REF_a,[75.82 75.82 72.21 75.82 72.21 79.81 75.82 60.65],73.52,5.36,[2210.12 2250.62 2289.19 2329.69 2366.33 2429.97],[38.57 38.57 40.5  38.57 40.5  36.64 38.57 48.21],"[79.81, 75.82, 72.21, 79.81, 72.21, 75.82, 75.82, 72.21, 65.93]",74.4,4.09,[2190.83 2231.33 2267.97 2308.47 2347.04 2402.97 2491.68],[36.64 38.57 40.5  36.64 40.5  38.57 55.93 38.57 40.5  44.36],73.99,4.75
