,H2OT_3550_SAT,H2Om_5200_M,H2Om_5200_M_STD,OH_4500_M,OH_4500_M_STD,P_H5200_S2N,P_H4500_S2N,ERR_5200,ERR_4500
21ALV1846-9_44x44_s1_EP_103um,-,0.7452170633006641,0.17928767743098703,1.0059538757651156,0.25763793531418205,17.47105574600998,8.926615036472606,-,-
21ALV1846-9_44x44_s2_EP_103um,-,0.7049028362839891,0.17036343759919476,0.8702602268383044,0.2237902844301163,12.633837049247582,9.92363392405832,-,-
21ALV1846-9_44x44_s3_EP_103um,-,0.7037107735051181,0.16921091756434717,0.9995043779654758,0.255732757037302,17.967786162317264,10.460438192424801,-,-
23WOK5-4_44x44_s1_EP_147um,-,0.3812772572467688,0.09228604375429898,0.5489197141457325,0.14174137569111106,9.929033565962696,9.070702010186391,-,-
23WOK5-4_44x44_s2_EP_147um,-,0.4249219206046028,0.10392657073160878,0.6415484297214233,0.1661902229023903,12.168686956706175,11.521331501618471,-,-
23WOK5-4_44x44_s3_EP_147um,-,0.4432286331571357,0.1073093621870372,0.6738424300125648,0.17471217556477373,20.369461636088,12.695594949585674,-,-
ALV1833-11_44x44_s1_EP_108um,-,0.4563946010553115,0.1139712064279037,0.5719544510923765,0.1481953449845122,14.061887056703412,6.305064165283525,-,-
ALV1833-11_44x44_s2_EP_108um,-,0.46829799215133555,0.1171706904210129,0.6103087084842226,0.16090463821144077,15.380261924390588,7.432937495509985,-,-
ALV1833-11_44x44_s3_EP_108um,-,0.4510356751786786,0.1097319850768876,0.5701913886897043,0.14912726856433486,16.22620788628269,9.113567346906981,-,-
CD33_12-2-2_VG9764_44x44_s1_EP_105um,-,0.479827284399013,0.13702851547705505,0.1021135738848498,0.030641175078739216,9.969202811577851,2.3207743391864466,-,*
CD33_12-2-2_VG9764_44x44_s2_EP_105um,-,0.48539608613699176,0.13826194293902558,0.11603456017757913,0.037413455341065736,10.794838236234016,3.062951406750917,-,*
CD33_12-2-2_VG9764_44x44_s3_EP_105um,-,0.4769861137037695,0.13571496118693366,0.09949716520724357,0.036682359775150074,11.973409708152056,1.7487625065290722,-,*
CD33_22-1-1_VG9812_44x44_s1_EP_73um,-,0.44311271598147856,0.11749583224449543,0.36892505011474086,0.10891440913482435,5.519700440947612,4.943304377389778,-,-
CD33_22-1-1_VG9812_44x44_s2_EP_73um,-,0.4336436904764564,0.11682245101878336,0.27561671531306703,0.07908181161727391,8.511378593708855,4.182405194531086,-,-
CD33_22-1-1_VG9812_44x44_s3_EP_73um,-,0.41147664627749847,0.11402044385060515,0.2838784620524067,0.07936137165827888,7.101501653832696,3.41589064541231,-,*
ETFSR_Ol8_256s,-,6.4463287588919425,6364.7979073205,3.1306877350622724,5.2176270675726055,4.049075858059876,6.885343863927808,-,-
ETFSR_Ol8_256s_2,-,7.732745629012224,7561.410771144249,2.241650503882298,3.7534645181753366,2.96186555220689,4.265916185550647,*,-
ETFSR_Ol8_highres_256s,-,7.8486631802304,29967.525639201136,4.631757181160713,7.695042796137974,3.9542187060013796,2.5000244704088748,*,*
Fiege63_256s,*,1.971035509284499,0.8927381221053301,2.1195218983664983,0.90565729391785,14.683693343029114,18.946772324146806,-,-
Fiege63_256s_2,*,1.8443768074756448,0.8341130798873975,2.171485963329024,0.9272814536976314,9.781640688897504,16.34409039317795,-,-
Fiege63_256s_3,*,1.7965337333036604,0.8143577520000868,2.2100060726940787,0.9451017965590912,13.339327001979342,13.93120020935197,-,-
Fiege73_256s,*,3.96625609546514,1.7929700745097543,2.170369898567192,0.9286112896000343,12.852745956223089,13.169122915957105,-,-
Fiege73_256s_2,*,3.9252901407167733,1.7762781740247648,2.195647262762171,0.9381019091356001,13.574651974109713,13.541010532911697,-,-
Fiege73_256s_2_highres,*,3.9111454094438796,1.769487909395565,2.1728784618104884,0.9297689001430666,13.332759250830401,13.719604340003174,-,-
Fiege73_2_256s,*,3.9252901407167733,1.7771689760955505,2.195647262762171,0.9406074180422295,13.574651974109713,13.541010532911697,-,-
STD_C1'_256s_20x50,-,2.8123410566888762,0.703605896068525,1.41314024583264,0.3849983503963787,9.555664196969767,3.017326544521756,-,*
STD_C1_020320_256s_20x50_a,-,0.9363572485706853,0.22960248249810705,3.9262450239118323,1.0299109311917989,2.7204424022305678,6.287912335241871,*,-
STD_C1_020320_256s_20x50_b,-,0.9539066532990951,0.23323265108236382,4.0704841946659815,1.0665501978839733,2.237698408693159,5.8253008728614235,*,-
STD_C1_020320_256s_20x50_c,-,0.7843385954820976,0.19166752172547466,3.953907266214383,1.0339161140844007,2.2661193429723574,6.4348419777242505,*,-
STD_C1_020520_256s_20x50_a,-,1.6548686412302842,0.42885480589724373,3.9266727977748332,1.0336114105682959,5.104835876804718,5.466186372197382,-,-
STD_C1_020520_256s_20x50_b,-,1.6328395323220388,0.4448355606175907,3.8137287307486085,1.002014187172904,3.8027149456843596,5.586693835447609,*,-
STD_C1_020520_256s_20x50_c,-,1.7111010672100626,0.4806910775416907,3.7792301638681365,0.9957802533495722,4.841135511061354,5.668477690605489,-,-
STD_C1_021220_256s_20x50_a,-,3.691760157835629,0.9517373961141379,1.396247753768545,0.36479165777289646,7.349462506168059,4.74620830118419,-,-
STD_C1_021220_256s_20x50_b,-,3.72972005824086,0.9692317388299674,1.4774275465300712,0.40016989821250776,6.321586416335427,7.920776990663509,-,-
STD_C1_021220_256s_20x50_c,-,3.527424533460874,0.9152673296588469,1.4275933861840266,0.3781252056785326,8.82245566151367,5.467006641327899,-,-
STD_C1_021420_256s_20x50_a,-,3.6605277798134845,0.908653267803211,1.1802772588286026,0.3167323184645138,11.52368273631123,3.624845934884837,-,*
STD_C1_021420_256s_20x50_b,-,3.5342342737157844,0.9037608226135306,1.194453556779582,0.31547650659194465,9.117173277293391,3.9856990488548774,-,*
STD_C1_021420_256s_20x50_c,-,3.406339622233424,0.8335950530179628,1.152566970028991,0.3118860559018614,9.157547243520261,4.063190921298513,-,-
STD_C1_021720_256s_20x50_a,-,1.5102763882488632,0.3837368802091027,3.4778207589916312,0.9068119133850574,3.8868659364065423,8.541576021027492,*,-
STD_C1_021720_256s_20x50_b,-,1.5090781965575275,0.4111247065403752,3.5234643355243804,0.9179208315743053,3.842029344532127,8.304000978574068,*,-
STD_C1_021720_256s_20x50_c,-,1.647002372392929,0.46677464696692,3.5249448582729292,0.9237779364868393,4.199026384127774,8.071021727977135,-,-
STD_C1_021920_256s_20x50_a,-,0.8364267220097444,0.22285131678495712,3.9094968187902173,1.0337481708355312,2.5546383356512457,10.169591556700647,*,-
STD_C1_021920_256s_20x50_b,-,0.8603709531707332,0.22469320786199784,3.9455654539865814,1.0453199128030481,3.350529243623372,11.086428924700465,*,-
STD_C1_021920_256s_20x50_c,-,0.8152292074918377,0.20907249038089715,3.956679280006629,1.0515300224405826,2.3236115748098105,9.88820857715213,*,-
STD_C1_022120_256s_20x50_a,-,0.8598400374048641,0.2128041810978106,3.9876678334255025,1.081080980685495,2.553418063003699,8.397160262459257,*,-
STD_C1_022120_256s_20x50_b,-,0.8314044591153438,0.20291800792872866,3.936688666705838,1.051889256419672,2.3342374390841165,9.649273311062517,*,-
STD_C1_022120_256s_20x50_c,-,0.851991467585903,0.20859469586645213,3.9127990811977433,1.061460163611667,3.2053793892752385,8.278054708004532,*,-
STD_CN92C_OL2_020320_256s_20x25_a,-,4.498252371847216,1.209227407254846,4.530849869126575,1.28961631476486,13.845441771914272,11.229065876230885,-,-
STD_CN92C_OL2_020320_256s_20x25_b,-,4.741794268626824,1.2781320977435964,4.080058515902404,1.1997656974062383,15.431959605870171,17.600793038701653,-,-
STD_CN92C_OL2_020320_256s_20x25_c,-,4.187741312653146,1.1331562564632576,4.362406539510444,1.269134129458688,12.109581164334758,12.573925146583369,-,-
STD_CN92C_OL2_020520_256s_20x25_a,-,4.009042702388269,1.083188530408061,3.5279940193065484,1.0016949799423538,15.07245620892158,8.770831518202398,-,-
STD_CN92C_OL2_020520_256s_20x25_b,-,3.878558503246662,1.0770258402704185,3.8426883319098963,1.1033584958665843,13.626068365077662,13.047219627580054,-,-
STD_CN92C_OL2_020520_256s_20x25_c,-,3.9965756804110213,1.1156649813775321,4.162786538658296,1.1865620226397042,17.320492400003854,14.109938936310465,-,-
STD_CN92C_OL2_021220_20x25_a,-,1.5012042747423955,0.40428034528812556,4.805206694408889,1.3658808034194307,3.3913609067877304,17.653453185342794,*,-
STD_CN92C_OL2_021220_20x25_b,-,1.197956440790353,0.3218634220105937,4.876462535115196,1.400219368124489,3.9833402997761715,15.70781958919693,*,-
STD_CN92C_OL2_021220_20x25_c,-,1.496480167731783,0.4025197641473651,4.94049453220067,1.4114488667704757,3.658343238024918,15.126478259762306,*,-
STD_CN92C_OL2_021420_256s_20x25_a,-,3.1314796112550116,0.8453964737950528,4.682820467247241,1.3581888984394652,8.035293532449913,9.79074614675598,-,-
STD_CN92C_OL2_021420_256s_20x25_b,-,3.397575051725338,0.9135446723140684,4.369900515122427,1.2646295076305163,10.56134821076253,12.667355862742307,-,-
STD_CN92C_OL2_021420_256s_20x25_c,-,3.717104189504387,0.9994629545856482,4.3679247085641215,1.2608821060188034,9.81430483542638,12.29010141976197,-,-
STD_CN92C_OL2_021720_256s_20x25_a,-,2.763703875843548,0.7497306363272536,3.4106966810234627,0.9768386717086929,6.663433795522951,11.407926622372608,-,-
STD_CN92C_OL2_021720_256s_20x25_b,-,2.299989423143349,0.6236757352275083,3.417094894447169,0.9726517990400283,5.754764516502958,12.532818368744094,-,-
STD_CN92C_OL2_021720_256s_20x25_c,-,2.3848647184967806,0.6547811861924561,3.158398768846942,0.9118072625547957,5.539620257763808,15.598441421145354,-,-
STD_CN92C_OL2_021920_256s_20x25_a,-,2.4943640813068924,0.6717827971918303,2.7569399610779333,0.7863228372503893,6.372915711936888,7.822310251820071,-,-
STD_CN92C_OL2_021920_256s_20x25_b,-,2.2991289573315425,0.620419398302924,2.818005641297565,0.7992752206294744,5.320837254316283,7.992420629235416,-,-
STD_CN92C_OL2_021920_256s_20x25_c,-,2.3824098442909967,0.6614764649835666,2.9267590401616577,0.8313952213248293,6.610359890442254,13.0868862740304,-,-
STD_CN92C_OL2_022120_256s_20x25_a,-,2.4620616279061536,0.6767305513988802,3.412474554144855,0.9743953911225992,6.619565311148031,7.612655100775449,-,-
STD_CN92C_OL2_022120_256s_20x25_b,-,2.1609548145697617,0.58067210847045,3.49696636242371,0.9962778047744785,5.519580097939258,8.155322167472319,-,-
STD_CN92C_OL2_022120_256s_20x25_c,-,2.161951110297248,0.5817865310161969,3.504481391474685,1.00932474929175,6.260722864542746,13.142353302102721,-,-
STD_D1010_012821_256s_100x100_a,*,0.30412014773475204,0.07288331867700512,0.7405446533280247,0.18968315393616658,12.236471205055372,13.394252759702107,-,-
STD_D1010_012821_256s_100x100_b,*,0.29035940336526955,0.0694306205202079,0.7369770812897427,0.1885583437300161,14.89215888782996,13.597202164073751,-,-
STD_D1010_012821_256s_100x100_c,*,0.29814130292048713,0.07129173284548368,0.7192816547648816,0.1837628383252398,14.866712971243432,14.649008379767253,-,-
STD_D1010_020320_256s_100x100_a,*,0.39672185100780866,0.09518733229024187,0.7281368630648807,0.1860796630080465,24.287535717759848,13.52525602617205,-,-
STD_D1010_020320_256s_100x100_b,*,0.4249006698372081,0.10198760744803924,0.7416026617229861,0.18973444313491186,23.798573392304945,11.63092598619827,-,-
STD_D1010_020320_256s_100x100_c,*,0.4110982244617257,0.09836298038315826,0.7461720466598357,0.19040951607009146,28.34904431634472,14.567299384496827,-,-
STD_D1010_020520_256s_100x100_a,*,0.24398320770352186,0.06087028575249462,0.9367232618271251,0.2397565401157306,12.476229019080359,15.565139965628404,-,-
STD_D1010_020520_256s_100x100_b,*,0.29075343497084577,0.07359717366712921,0.9183019125598039,0.23526752483822777,19.253608661288823,11.953883800556062,-,-
STD_D1010_020520_256s_100x100_c,*,0.38817473091499316,0.09377102389827485,0.8648311775698471,0.22187973252624651,24.415812999186212,13.221165006167903,-,-
STD_D1010_021220_256s_100x100_a,*,0.4531982673253047,0.109191685997325,0.787462653266754,0.20125918110544733,15.22594475589509,14.75790543526297,-,-
STD_D1010_021220_256s_100x100_b,*,0.44920715444728804,0.10997521569159675,0.8014089753090402,0.20456159401705334,14.697301840919692,15.568596409917058,-,-
STD_D1010_021220_256s_100x100_c,*,0.44884808151466465,0.10903782136290235,0.7954588978367525,0.20350773440449893,22.07172813026501,12.677430639485964,-,-
STD_D1010_021420_256s_100x100_a,*,0.49075707991781237,0.11776252734328277,0.5454647304032778,0.13922162783337313,43.98727917087812,11.718165435025938,-,-
STD_D1010_021420_256s_100x100_b,*,0.43391405797320215,0.10417319217990027,0.5660517565824521,0.14447576086458397,44.84465906441479,7.685847942773457,-,-
STD_D1010_021420_256s_100x100_c,*,0.5973535485739613,0.14348856781852418,0.5204012707591488,0.13312136186231135,56.29178690675631,11.09295988798746,-,-
STD_D1010_021720_256s_100x100_a,*,0.6468220706120104,0.15452745739545512,0.6438758436921947,0.16481458669971613,49.476423113852114,8.468310811244761,-,-
STD_D1010_021720_256s_100x100_b,*,0.6484620324093321,0.15523840410002385,0.630124844302481,0.16083173076936902,48.77737862804918,14.104880275682673,-,-
STD_D1010_021720_256s_100x100_c,*,0.6457374326187528,0.15454786104813134,0.6384946995953477,0.16319807589699947,38.3672728389843,14.44265839977033,-,-
STD_D1010_021720_256s_50x50_b,*,0.6511404041798508,0.15631699828028317,0.6552983016870921,0.16732457670656414,25.310247960427134,10.214630827634954,-,-
STD_D1010_021720_256s_80x80_a,*,0.6721316219948057,0.16085822876480965,0.6565928988198089,0.16785264868357144,37.62214787940716,11.5691405918382,-,-
STD_D1010_021720_256s_80x80_b,*,0.6502162765387063,0.1555902461330371,0.63912951362317,0.16312258882202313,42.24745772411131,12.370046045880434,-,-
STD_D1010_021720_256s_80x80_c,*,0.6644860183281105,0.15879896145282382,0.632636853643497,0.16158726334471998,35.0004455675355,12.39237720842529,-,-
STD_D1010_021920_256s_100x100_a,*,0.6774687366980652,0.1618284905453754,0.7044263364481582,0.18008483773769976,44.817172945192425,11.608559251155734,-,-
STD_D1010_021920_256s_100x100_b,*,0.6657717652783313,0.15937954886958605,0.6944759095575049,0.1774018457540692,40.09796307316714,11.443119581911413,-,-
STD_D1010_021920_256s_100x100_c,*,0.6475527060404211,0.1548750044927531,0.6845333849937261,0.17509116470417999,34.84631704065262,14.436756181100911,-,-
