,H2OT_3550_M,H2OT_3550_STD,H2Om_1635_BP,H2Om_1635_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD
FI45MI02a,3.5574563217336563,0.31901064841135207,1.445805134715602,0.266790155912097,7.719537925691324,16.49009759411608,9.956375899687819,18.37198789659003
FI45MI02b,3.563420223231699,0.3198821387139199,1.4430938476668138,0.2666629335884048,20.35356881458866,19.820567613821186,9.299446628551856,17.329558215378068
FI45MI02c,3.497860401178583,0.3140009476329029,1.4455657658939143,0.26699401340128626,12.13649729511808,17.96155376129334,8.464228141311748,17.211343110884652
FI45MI08a,3.326970175507337,0.27713318700146305,1.4120967265611255,0.26097080433986264,5.816562910997458,3.2296389088865713,202.2871758766214,21.38598350317849
FI45MI08b,5.111696448794864,0.425278368338229,1.4288680719328053,0.2643811761934281,5.929287392771989,3.100458931083406,180.6827858866121,20.759526015666975
FI45MI10a,2.2559512825380836,0.18003477716453273,0.6821136353535461,0.11585501814268549,167.70978810491516,29.521091024793094,174.22737798586854,32.684226351375955
FI45MI10b,2.2693553372742357,0.1809509267926805,0.683477415609824,0.11615903079405684,162.8241223737988,28.304755822152845,167.36915175206028,30.969613511814714
FR01MI02a,2.047790618180982,0.20626894486791633,0.678166678139608,0.13564759163483178,2506.644105112861,199.2391539257053,2483.851041147682,201.48770224018435
FR01MI02b,2.0529293137568954,0.20682924978579986,0.6495962461715571,0.1300383572237509,2466.037745242997,197.0931188012069,2445.9877352931394,199.3503244063539
FR01MI02c,2.049492692376684,0.20644264307911042,0.646154819267228,0.1295217705631374,2462.428745132518,196.60484282271966,2473.9630136501964,200.6299108787427
FR01MI03a,3.1197455511656353,0.2785519228911903,1.267781163883546,0.2207238317438932,895.5683636106606,75.25837800717561,927.6413472836931,78.034027788585
FR01MI03b,3.0655421006974395,0.27362362470407553,1.2504974128122768,0.21777889675975337,884.5535188161808,73.63033909265954,913.6049122017956,77.58808411559065
FR01MI03c,2.990266359998621,0.2666607052752307,1.2149824468719481,0.21153502074755082,801.6922525735702,69.78182137712542,876.0894429563388,75.10755432135747
FR01MI04a,4.248253812512021,0.39148836911701534,2.1443102975411,0.36373704361829173,2052.411638690957,152.57647370121248,1879.0662709878916,142.66307179317363
FR01MI04b,4.219596145995481,0.3885796938217106,2.1340230242865883,0.3621882854964567,2076.741121876927,154.97472654476948,1902.5979919555218,144.372854849695
FR01MI04c,4.188098672767764,0.38631981996027626,2.127997759741293,0.36030201087515756,2112.277618908747,157.54645865051876,1940.5609615409485,146.8705711096653
FR02MI01a,3.562030978680659,0.3262368240647721,2.0249934989697014,0.3263690936800399,616.3706638056076,78.17655712068198,633.082565740489,90.06729370290331
FR02MI01b,3.7462366349692857,0.34290960888807204,2.057238299567404,0.331732999100068,646.7056952469167,80.31235487170393,682.6753612863653,90.23159108627736
FR02MI01c,3.6293423505681113,0.332311164553687,2.040850996468218,0.32913463103362134,625.9846957496035,78.67581749323361,634.3180063586673,89.72653512449698
FR02MI02a,3.537681546120953,0.32296228452737435,1.897094418158917,0.3397710558640879,360.9318081355394,53.32888844604294,378.0987999479793,56.61275946613274
FR02MI02b,3.5265163506225674,0.32252709667650936,1.8781548700962103,0.3367278206523839,345.15772598823395,52.73868119794139,409.10070468304673,58.66340517479015
FR02MI02c,3.382395918563443,0.30848667575783834,1.8457516741000568,0.3306286065888083,366.54899668740615,51.966120159380935,408.7060111866454,55.12995055589131
FR02MI03a,3.7468176149926444,0.5340381587625184,1.6121457717252219,0.3449032192376432,950.5029360672429,156.4086378432872,870.0849067194516,150.57858890266593
FR02MI03b,3.8960435459402887,0.5546886028928558,1.7478583398575882,0.37407904031767464,959.4387519661058,159.48081339717552,871.755520496951,150.68513619156678
FR02MI03c,3.9721146018832547,0.5660149484135786,1.7888423966485054,0.3832054960704519,1031.2834485399433,169.40020374223,869.789549775328,157.44849154118793
FR02MI04a,3.406629031100926,0.32948688673585647,1.7511784025222938,0.30292460010219713,929.5389121666975,95.47008486782691,892.9979415360804,97.22438045422741
FR02MI04b,3.371951897061178,0.32634121087474804,1.7433756790326502,0.30189393349743604,954.7273295548522,97.01190183547193,914.6748085526249,99.0140443511277
FR02MI04c,3.364562885241006,0.3256668972694137,1.75190624315586,0.30313152686363104,952.958164709576,96.75851008770664,905.6357940296425,97.51095122478303
FR02MI05a,2.467043170969246,0.2654403910128497,1.2641918634658278,0.24625091485383568,961.7086215655092,111.46458925597243,1005.1523256727548,118.97756761306917
FR02MI05b,2.917455976035719,0.3140077069016234,1.351928611506567,0.2633834640517472,1039.2165128718248,117.5168521565633,1053.3698921436032,123.55206604950213
FR02MI05c,2.459178418832105,0.2649980756169593,1.232616275222559,0.23989097376782847,917.3536390274011,107.71270652126297,957.3267586292168,116.35947403473043
FR02MI05d,2.8481026706172217,0.30658154680403865,1.3131085694897293,0.2557698034201526,1011.2502735884032,115.8870203466215,973.441668076498,118.85936922627629
FR02MI06a,4.1497396835234035,0.40268081155276986,1.9380179902727437,0.36356711475985654,773.6376728418954,86.67292113261436,755.3057430265951,89.4514292221915
FR02MI06b,4.121334167038254,0.39820016441011663,1.9220595624866166,0.36051691136919156,778.0730030947684,87.26826423373049,757.6553486742243,90.37230987641777
FR02MI06c,3.9883939355107683,0.3859653081008056,1.8855990974405366,0.3533285431861626,698.5267633815994,80.50364727619925,695.3048498342214,85.6408357556569
FR02MI07a,3.3067280796393916,0.31004701299384907,1.4079027542223992,0.2712222430982476,288.11589459703276,53.32545301058394,381.50075263518977,60.76018137183279
