Wavenumber,bl_i
1251.596,0.5
1253.524,0.451441245
1255.453,0.407929143
1257.381,0.36813078
1259.31,0.33256476
1261.238,0.298512519
1263.167,0.267801332
1265.095,0.239021903
1267.024,0.212671579
1268.952,0.187771908
1270.88,0.165095154
1272.809,0.14356171
1274.738,0.123711314
1276.666,0.104794382
1278.594,0.087083367
1280.523,0.070089593
1282.452,0.054051496
1284.38,0.038732956
1286.308,0.024441413
1288.237,0.010732457
1290.166,-0.002111055
1292.094,-0.014409155
1294.022,-0.025812321
1295.951,-0.036772786
1297.88,-0.047034697
1299.808,-0.056930234
1301.736,-0.066358723
1303.665,-0.075437641
1305.594,-0.084019714
1307.522,-0.092408642
1309.45,-0.100320883
1311.379,-0.107912038
1313.307,-0.115039648
1315.236,-0.12198275
1317.164,-0.128523619
1319.093,-0.134743515
1321.021,-0.140659561
1322.95,-0.14643276
1324.878,-0.151885662
1326.807,-0.157189647
1328.735,-0.162296472
1330.664,-0.167251348
1332.592,-0.171878137
1334.521,-0.176462052
1336.449,-0.18086238
1338.378,-0.184970451
1340.307,-0.188845062
1342.235,-0.192773222
1344.163,-0.196473055
1346.092,-0.199984435
1348.021,-0.203282785
1349.949,-0.206485182
1351.877,-0.209617735
1353.806,-0.212739661
1355.734,-0.215775338
1357.663,-0.218786878
1359.591,-0.221611313
1361.52,-0.224294249
1363.448,-0.226822563
1365.377,-0.229333812
1367.305,-0.231723087
1369.234,-0.234006915
1371.162,-0.236178698
1373.091,-0.238180095
1375.019,-0.240031501
1376.948,-0.241974777
1378.876,-0.243979336
1380.805,-0.245942326
1382.733,-0.24779894
1384.662,-0.249720207
1386.59,-0.251369535
1388.519,-0.253009215
1390.447,-0.254700511
1392.376,-0.256384019
1394.304,-0.257851348
1396.233,-0.259267745
1398.161,-0.26064217
1400.09,-0.26192092
1402.018,-0.263239729
1403.947,-0.264522711
1405.875,-0.265623266
1407.804,-0.266838389
1409.732,-0.268091392
1411.661,-0.269324449
1413.589,-0.270475339
1415.518,-0.271633047
1417.446,-0.272699184
1419.375,-0.273595603
1421.303,-0.274630407
1423.232,-0.275803666
1425.16,-0.27680527
1427.089,-0.277889667
1429.017,-0.278849855
1430.946,-0.279800646
1432.874,-0.280862431
1434.803,-0.282047656
1436.731,-0.283042355
1438.66,-0.284016945
1440.588,-0.285130657
1442.517,-0.286106206
1444.445,-0.28708333
1446.374,-0.288170171
