Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
OK14MI09,49.832195,1.6008275,14.076715,0,13.3746275,0.2362375,4.9974525,8.295095,3.09824,0.8564,0.23612,78.52799989,3
OK14MI10,46.6409425,1.0472875,19.5734425,0,7.6762925,0.1371625,5.130585,15.572165,2.4417725,0.2316875,0.08184,34.74569814,3
OK14MI12,51.3426575,1.3292675,15.1793625,0,11.001845,0.2118175,5.16305,8.5907925,3.11762,0.8877225,0.235645,54.24464478,3
OK17MI03,48.6043375,0.93906,16.9454725,0,8.243125,0.1601675,6.1650325,12.0267825,2.41407,0.439695,0.1391625,42.56775995,3
SH01MI08,46.842565,1.8864625,15.359115,0,12.3633775,0.235855,4.833165,9.62174,3.222325,0.4227225,0.23198,26.9951381,3
SH01MI09,46.179545,1.4931875,18.0064625,0,10.25734,0.1850375,4.0384675,11.424925,3.2457375,0.5902325,0.1617825,52.10174249,3
SH01MI12A,45.836845,1.391275,17.16253,0,10.5456725,0.21387,5.2787625,10.0205175,2.9743375,0.5783875,0.1796575,70.12862616,3
SH01MI12B,45.84139,1.435665,16.843425,0,10.34976,0.207835,5.2601,10.11805,2.978205,0.555425,0.18781,70.12862616,3
SH58MI13,49.943035,2.5005325,15.9064575,0,11.2588525,0.238415,3.75404,8.1779625,3.768705,1.11116,0.8080175,42.35984613,3
TAP18AMI03,50.33382,0.96791,17.23163667,0,7.21707,0.183843333,2.212843333,9.85795,2.562346667,0.459276667,0.142236667,35.95077294,3
TAP18AMI04,44.10629333,1.143813333,20.05453667,0,10.10278333,0.192793333,3.621336667,11.98316667,2.817713333,0.339033333,0.090423333,24.67742358,3
TAP18AMI05,48.47347,1.874375,17.43224,0,8.54081,0.17325,3.545865,10.324345,3.01176,0.599185,0.165485,36.90774199,3
CV09EMI05,50.82397636,0.801451523,20.84731177,0,6.264304322,0.118288789,4.366199388,11.20964076,2.563154734,0.375855529,0.133686441,36.66666667,3
CV09EMI06,49.86322042,1.115766811,16.84902749,0,11.11245524,0.198976545,6.118964157,8.29877736,2.855008172,0.530966628,0.113389272,80,3
SH63MI02,51.815,3.3,12.934,0,13.41013885,0.289,3.544,7.69,3.305,1.575,1.261,83.99799413,3
SH63MI03,52.211,2.502,12.747,0,14.03790795,0.296,3.567,7.494,3.158,1.117,0.968,31.71860548,3
SH63MI04,50.334,3.189,12.404,0,14.99206083,0.299,3.923,8.019,3.429,1.051,1.307,32.67274923,3
SH63MI05A,51.015,2.24,15.591,0,12.96066103,0.262,4.319,7.588,3.849,0.816,0.613,43.28462401,3
SH63MI05B,51.023,2.279,15.571,0,12.88996455,0.241,4.37,7.888,3.999,0.79,0.658,43.28462401,3
SH63MI10,51.11,2.207,12.085,0,13.83931774,0.273,3.838,7.307,3.042,1.208,1.072,43.90042548,3
SH63MI11,50.982,2.733,10.879,0,14.37409142,0.307,4.135,7.079,2.752,1.365,1.186,24.68709344,3
SH63MI12,50.123,3.586,12.459,0,14.91266481,0.314,4.061,7.558,3.488,1.386,1.239,34.23311675,3
SH63MI13,52.26,2.411,11.517,0,14.23359831,0.298,4.087,7.231,3.233,0.947,0.811,44.82427805,3
SH63MI14,51.855,2.878,13.237,0,12.37269009,0.276,3.823,7.304,3.238,1.488,1.197,16.07686442,3
SH63MI15,50.18278,2.270496667,12.09474667,0,15.08320667,0.330176667,4.357833333,6.770883333,3.006876667,0.983453333,0.71697,51.74908324,3
SH63MI16,47.43643,1.960186667,14.83352,0,12.49328,0.29109,4.474806667,8.050356667,3.253213333,0.581743333,1.234233333,46.94608634,3
SH63MI17,50.32697333,2.50015,12.12759333,0,14.15785,0.300726667,3.712336667,7.40042,3.002313333,1.2847,1.098763333,79.90987151,3
SH63MI19,48.74532333,2.41188,15.37394333,0,11.92813333,0.242396667,4.26852,7.71134,3.38306,0.61517,0.378153333,29.01152496,3
SH63MI22,43.03012,5.36043,11.87057333,0,22.16370333,0.326473333,4.109346667,6.967413333,2.909226667,1.091533333,0.86016,35.33270889,3
SH63MI24,51.88423333,2.2132,11.5361,0,14.92676667,0.328433333,4.158666667,6.700966667,3.3002,1.012666667,1.072733333,48.74435146,3
SH63MI25,50.4875,3.0475,12.4733,0,14.4522,0.3068,4.0462,7.3528,3.2304,1.2914,1.1328,52.43740717,3
SH63MI27,50.6679,2.807,11.97966667,0,14.9952,0.3108,4.283333333,7.027933333,3.156866667,1.167666667,0.951333333,48.03145126,3
SH63MI29,50.90163333,2.3244,12.79936667,0,14.47506667,0.3092,3.961633333,7.261066667,3.357066667,1.239933333,1.0983,52.31907899,3
SH63MI31,53.3972,2.1756,12.9955,0,12.9913,0.2535,3.5607,7.4995,3.7235,1.4376,1.1484,43.06476953,3
SH63MI34,49.86926667,1.931766667,13.56193333,0,11.22306667,0.219566667,5.0141,8.555633333,3.246966667,1.1717,0.463166667,66.47929855,3
SH63MI35,48.81805,2.1318,13.89745,0,13.43305,0.2852,4.2122,8.2708,3.5272,0.87105,0.80205,56.46797272,3
SH63MI36,51.0139,2.3803,15.24435,0,12.1111,0.2368,3.02335,8.23275,3.98645,0.89455,0.7173,24.21745648,3
SH63MI39,52.77905,2.77685,12.4719,0,13.7344,0.2871,2.76665,7.8452,3.7291,1.62525,1.48905,62.53669309,3
SH63MI40,50.2131,2.5582,13.3347,0,14.6546,0.2918,3.5464,7.4251,3.3158,0.7258,0.4091,54.1213595,3
SH63MI43,52.1091,1.8978,12.7766,0,15.12975,0.32305,3.5789,7.3223,3.33305,1.1157,1.1273,45.54818137,3
SH63MI47,50.28255,1.72705,14.17685,0,13.4696,0.3044,4.32855,7.9317,3.47555,0.9052,0.7771,20.13995656,3
SH63MI49,50.32077848,2.540038182,13.35308477,0,13.71648112,0.280129545,4.071133788,7.694905909,3.316310152,1.052265303,0.913336515,42.33333333,3
SH63MI53,50.2261,2.6099,15.2667,0,11.971,0.2561,4.5125,8.2026,3.5472,1.0352,0.9269,36.92360612,3
SH63MI54,50.32077848,2.540038182,13.35308477,0,13.71648112,0.280129545,4.071133788,7.694905909,3.316310152,1.052265303,0.913336515,35.73138039,3
