Wavenumber,WD23MI02,WD33MI03,SH55MI02,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,WD70MI01B,WD12MI06,WD35MI01,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,VS73MI02,SH63MI24
1251.596,0.004258741,0.00087463,0.008325132,-0.012553709,0.010686067,0.001781603,0.001892786,-0.003558112,0.002216429,0.001962739,0.004292854,0.002412438,-0.00024825,0.057394576,0.008228179,0.014909983,0.006168758,0.001250177,0.003675276,0.005060769,0.002562147,0.016729939,0.002734342,0.00121982,0.001239899,-0.000901036,0.003370287,0.001469085,0.002229737,0.000990762,0.003250461,0.003431843,0.004770611,0.00340041,0.00301226,-0.002783345,0.017256636,0.003856259,0.000233159,0.004081835,0.03297238,0.015360441
1253.524,-0.006549375,0.00034126,0.000837702,-0.00468826,0.002240127,0.000183961,0.000391079,-0.007108129,0.000496565,0.000725052,0.001045767,0.000576126,0.000501919,0.024385055,0.001069219,0.001122498,0.003082529,0.000205449,0.00076812,0.00099502,0.000768703,0.002383134,0.000672034,0.002334018,0.000242098,-0.000461662,0.001050177,0.000244357,0.000328313,0.000268263,0.000686417,-6.38E-05,0.001633605,0.000587731,0.000817592,-0.001224422,0.001270805,0.001056574,-0.000597085,0.000338126,0.005459085,0.006168474
1255.453,-0.008836962,2.30E-05,-0.002561356,0.00213135,-0.00227415,-0.000277274,-0.000346485,-0.004356263,-0.000417558,0.001081848,-0.000826761,-0.00020509,0.000619932,-0.026681074,-0.001665913,-0.004515798,-0.001434457,-0.000116263,-0.000874283,-0.001021677,-0.000338615,-0.003395564,-0.000536376,9.53E-05,0.000176803,0.000245155,-0.000410159,-0.000262038,-0.000289746,-3.77E-05,-0.000540536,0.001161442,-0.00099088,-0.000510719,-0.00033882,0.000827725,-0.005471646,-0.000722436,-7.72E-05,-0.001494072,-0.007955486,-0.000641783
1257.381,0.004155744,-0.000517246,-0.004474256,0.006348635,-0.005164394,-0.000754464,-0.000919643,0.00049391,-0.001290542,0.000342177,-0.002078067,-0.000965853,-0.000450898,-0.082228684,-0.003572364,-0.006429354,-0.004225102,-0.000887072,-0.001832236,-0.002398234,-0.001420204,-0.007340884,-0.001428274,-0.002273907,-0.000431767,0.000808412,-0.00166753,-0.000712892,-0.001040723,-0.000487108,-0.001534383,-0.000244481,-0.002551678,-0.001568333,-0.001542117,0.001132483,-0.009262516,-0.001939279,-0.000231115,-0.002157125,-0.017786024,-0.00880044
1259.31,0.013287394,-0.000541674,-0.00380855,0.008222354,-0.005722233,-0.000923638,-0.001086755,0.004242149,-0.001264325,-0.000682246,-0.002519787,-0.001335672,-0.000377927,-0.036183645,-0.003534783,-0.005586119,-0.004497311,-0.000995426,-0.002071743,-0.002632819,-0.001614129,-0.008296352,-0.001591914,-0.001790211,-0.00064006,0.001010659,-0.002106317,-0.000621996,-0.001279807,-0.000430143,-0.001728942,-0.002896743,-0.002524293,-0.001788174,-0.001858073,0.002245578,-0.007901936,-0.002234524,-0.000472342,-0.001829739,-0.017101218,-0.01239861
1261.238,0.004585084,-0.000592846,-0.00358612,0.007854021,-0.005771965,-0.00103816,-0.001214957,0.008828879,-0.001068773,-0.002556039,-0.002575357,-0.001566424,-0.00057284,-0.013246328,-0.003773819,-0.006201391,-0.004666653,-0.000816708,-0.001982905,-0.00267471,-0.001637453,-0.008812395,-0.001496516,-0.001503915,-0.000908856,0.000359695,-0.002240995,-0.000516643,-0.00150668,-0.000499687,-0.001815367,-0.004403266,-0.002346226,-0.002006968,-0.001927194,0.0019244,-0.006426707,-0.002244444,-0.00060184,-0.001860281,-0.015989758,-0.012376071
1263.167,-0.002590421,-0.000440789,-0.002161851,0.007007396,-0.004473219,-0.000493723,-0.000918884,0.011085193,-0.000695525,-0.002661821,-0.001995439,-0.001367553,-0.000242324,0.007786397,-0.003050371,-0.006136317,-0.003752064,-0.000377398,-0.001522326,-0.002062678,-0.001121578,-0.007303241,-0.001043801,-0.001540267,-0.00062927,0.000602519,-0.001740611,-0.000347272,-0.001019095,-0.000637072,-0.001408078,-0.00241097,-0.001866647,-0.001428445,-0.001529089,0.001610674,-0.004366626,-0.00181838,0.000322923,-0.000764789,-0.012083333,-0.008575599
1265.095,-0.000294026,-0.000712701,-0.001655957,0.004772743,-0.00321856,-0.000192358,-0.000549197,0.008070514,-0.000658147,-0.002357542,-0.001386668,-0.0013126,-0.000106734,0.013871658,-0.002488335,-0.004356198,-0.002339082,-0.000218846,-0.001004409,-0.001519065,-0.000625733,-0.004948267,-0.00070382,-0.000557633,-0.000603084,9.20E-05,-0.001317472,-0.000677677,-0.000603737,-0.000712879,-0.001072826,0.001137333,-0.001971391,-0.001118331,-0.001228398,0.000763455,-0.003209826,-0.001304135,0.000576624,-0.000434297,-0.007966383,-0.00502764
1267.024,-0.005519412,-0.000559276,-0.000596655,0.002070822,-0.001452314,-3.91E-05,-8.82E-05,0.005641603,-0.00036251,-0.001783156,-0.000582632,-0.000710243,0.000205578,0.018152085,-0.001306612,-0.001157831,-0.00044701,0.000235502,-0.000362756,-0.000712543,-0.000163316,-0.00204175,-0.000279163,0.002162654,-0.000335411,-0.000105026,-0.000630892,-0.000356048,1.04E-05,-0.00017804,-0.000527063,0.001084501,-0.001628295,-0.000439688,-0.000370894,0.0007508,-0.00075444,-0.00062395,0.000859342,-7.22E-05,-0.002710098,-0.001002973
1268.952,-0.00586526,-6.83E-05,0.000225171,-0.000456355,-7.60E-05,-0.000118457,0.000204875,0.001247883,1.03E-05,-0.001480612,0.000138834,-0.000128057,0.000175925,0.017292307,-0.0009508,0.000426635,0.001323549,0.000410961,0.000172196,-0.000132852,-0.000112693,0.000264733,-4.27E-05,4.88E-06,-0.000433365,-2.92E-05,-4.86E-05,-0.000171378,0.000341424,-1.27E-05,-0.000135775,-0.000831721,-0.001036192,-0.000116912,0.000128415,8.78E-05,0.000730402,-3.96E-05,0.000774008,9.22E-05,0.001530584,0.00166296
