Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,OK14MI01,WD35MI04A,OK14MI06C,FI45MI02,WD70MI03,Terry3MI03,WD70MI01A,WD35MI02,FI45MI06,WD35MI01,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,SH63MI24
1270.88,-0.004323262,0.003710001,0.047768977,-0.002157926,-0.001286291,0.038384688,-0.000724477,-0.002592579,-0.002643782,-0.001267303,0.006499789,0.027030808,-0.020641403,-0.009081941,0.003115892,-0.007908264,-0.00195206,-0.000238358,-0.008278388,0.004447406,0.001609999,0.009644938,-0.006194063,-0.005068927,-0.003543659,-0.002134891,-0.003447845,-0.008221676,0.014723222,-1.02E-05,-0.002914134
1272.809,-0.00326721,0.003706262,0.043791079,-0.001625684,-0.000611538,0.033794664,-0.000123793,-0.001113241,-0.001167393,-0.000303231,0.006264309,0.01789288,-0.017478367,-0.006954258,0.003305711,-0.00689695,-0.000789502,0.000639003,-0.005766021,0.00557591,0.001963541,0.009434322,-0.003890742,-0.003906246,-0.002548013,-0.003163294,0.000303867,-0.00698009,0.014028843,0.000799523,0.00097129
1274.738,-0.001754155,0.00387459,0.040303814,-0.000556969,0.000217916,0.030739,0.000759102,0.000800991,0.000392295,0.00080175,0.006453131,0.008365542,-0.01309761,-0.006028941,0.00356126,-0.005802031,0.000654207,0.001717423,-0.00482504,0.006719553,0.003032278,0.009618654,-0.00106304,-0.002472597,-0.001362021,-0.003190239,0.004381579,-0.005610508,0.013438072,0.001715787,0.004703947
1276.666,0.007340828,0.005412072,0.036176207,0.008931458,0.006081116,0.025353876,0.006490846,0.008726696,0.009805557,0.005983637,0.011097748,0.010948112,0.003158258,0.005305115,0.007231017,0.001381156,0.013043132,0.009640049,0.005660742,0.013463865,0.009077899,0.012077951,0.013489648,0.006609035,0.006125518,0.006122715,0.009459572,0.00193895,0.010792463,0.011781357,0.006492732
1278.594,0.005740605,0.005116736,0.032628803,0.007619456,0.005164239,0.023223388,0.00589219,0.008116384,0.008490168,0.005218,0.009244391,0.012209232,0.002360144,0.003731029,0.006246782,0.000585899,0.01191539,0.008814718,0.004157114,0.012893749,0.008704687,0.012153282,0.011745255,0.005653393,0.005294003,0.00389502,0.007676122,0.001147883,0.009935184,0.00968351,0.002425975
1280.523,0.003395304,0.004529862,0.029616932,0.006438352,0.004432554,0.021285165,0.005416876,0.006997092,0.007477313,0.004596524,0.007379922,0.010405745,0.00115998,0.002966843,0.005390248,-1.00E-04,0.011049319,0.008105334,0.002232093,0.012329337,0.008154803,0.011359867,0.009972408,0.004729205,0.004590205,0.00184889,0.006417496,0.000417641,0.008781903,0.00795802,-0.000890775
1282.452,0.005270649,0.004325587,0.027669392,0.005568023,0.00397921,0.022602214,0.005135347,0.006027789,0.006821123,0.00426589,0.006023064,0.010591165,0.000520407,0.002279568,0.004976401,-0.00059444,0.010549538,0.00766081,0.000713473,0.012016212,0.00784651,0.010525273,0.008979971,0.004080917,0.004165469,0.000653277,0.00586929,-9.70E-05,0.007595995,0.006974772,-0.00317105
1284.38,0.004875191,0.004166408,0.026320771,0.005060641,0.003599563,0.024768878,0.004850343,0.004802957,0.006331692,0.004010216,0.004974163,0.007907513,0.000351091,0.001341466,0.004678063,-0.00096652,0.010156369,0.007287637,0.00075776,0.011633806,0.00749597,0.009931711,0.008473816,0.003553105,0.003726359,-0.000298932,0.005163498,-0.00050029,0.006275574,0.005980186,-0.004603646
1286.308,0.003084498,0.003915323,0.025664399,0.004951783,0.003537468,0.026426117,0.004867135,0.003815604,0.00610281,0.003879198,0.004509326,0.003564484,0.000384928,0.001048549,0.004468081,-0.001174661,0.01019403,0.007107222,0.000343264,0.011390034,0.007239035,0.00960752,0.008157448,0.00346503,0.003652713,-0.000655991,0.004728486,-0.000739979,0.005071004,0.005199513,-0.004880269
1288.237,0.003192846,0.003544909,0.025179752,0.004967936,0.003567999,0.02628032,0.004849642,0.002866839,0.005968022,0.00365039,0.004030635,0.002019759,2.02E-05,0.000974287,0.004152354,-0.001329742,0.010325417,0.006940918,0.00010849,0.011172054,0.007044876,0.009098461,0.007715186,0.00344927,0.003673316,-0.000918302,0.004281921,-0.000935133,0.004440018,0.00457161,-0.004700143
1290.166,0.001185547,0.003316402,0.025073053,0.005011124,0.003736898,0.025943985,0.004896513,0.002607906,0.006053801,0.003614914,0.003906825,0.005209342,4.64E-06,0.001517695,0.004186144,-0.001308861,0.010576504,0.006857432,-0.00021671,0.01114229,0.007023564,0.008940841,0.007567445,0.003636365,0.003854612,-0.000818365,0.004103157,-0.000955941,0.005024587,0.004416869,-0.00394301
1292.094,0.001299651,0.00319327,0.025205307,0.004951732,0.003942008,0.025760622,0.00486219,0.00258289,0.00615553,0.003761489,0.00391771,0.006698742,7.45E-05,0.00254876,0.004333179,-0.001205718,0.010769963,0.006809411,0.000504715,0.011088843,0.007072168,0.009085954,0.007449739,0.003678447,0.003964097,-0.000644357,0.00373467,-0.000921871,0.006003568,0.004270972,-0.003130363
1294.022,0.00202764,0.003393825,0.025926874,0.005029032,0.004203312,0.025977437,0.00488177,0.002794329,0.006409657,0.004124304,0.004318431,0.007667623,0.000326531,0.003885107,0.004572763,-0.001012509,0.01103751,0.006965392,0.001404671,0.011187096,0.007280319,0.00936746,0.007742933,0.003846759,0.004073103,-0.000132728,0.003913288,-0.000736216,0.00712665,0.004575114,-0.002065035
1295.951,0.000372346,0.003613298,0.026888264,0.005074277,0.00440907,0.024988378,0.004848832,0.003247531,0.006747418,0.004416345,0.004875776,0.009444131,0.000491652,0.004750489,0.004714489,-0.000788945,0.01125643,0.007144922,0.001044384,0.011313432,0.007152769,0.009250436,0.008306677,0.004041858,0.004026834,0.00019477,0.004211275,-0.000472742,0.007925892,0.005188679,-0.001272388
1297.88,0.001135695,0.003870458,0.028159867,0.005157867,0.004625861,0.024617433,0.004924258,0.004163844,0.007126322,0.004710128,0.005653055,0.011880258,0.000909043,0.005432785,0.004979624,-0.000450374,0.011567277,0.007370497,0.000958651,0.011625512,0.007168495,0.009162825,0.009108364,0.004355442,0.004160766,0.000595614,0.004703236,-0.00010172,0.008670809,0.006094817,-0.000283218
1299.808,0.000808744,0.004226605,0.029320347,0.005404395,0.00482164,0.023988948,0.005002162,0.004825086,0.007490263,0.004826278,0.006339744,0.012757496,0.001272102,0.005485374,0.005228736,-6.25E-05,0.011765446,0.007513521,0.002143558,0.011905441,0.007382622,0.009233105,0.009907046,0.004520368,0.004309694,0.001087823,0.005058598,0.000298825,0.008800948,0.006772402,0.000783378
1301.736,0.002623402,0.00471237,0.030448846,0.005890695,0.00495685,0.023407344,0.005184195,0.005713261,0.007923228,0.004914439,0.006915364,0.013322473,0.001754229,0.005285864,0.005561056,0.000402503,0.0120845,0.007763291,0.002414111,0.012228362,0.007632508,0.009811451,0.010859952,0.004783023,0.004508766,0.001966736,0.005435917,0.000783594,0.008927626,0.00774102,0.002130037
