Wavenumber,WD23MI02,WD33MI03,SH55MI02,SH54MI11,SH63MI02,WD71AMI01,SH63MI10,SH01MI11,SH01MI05,SH63MI39,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,AK96MI13,OK14MI01,WD35MI04A,SH63MI43,OK14MI06C,Terry3MI04A,FI45MI02,AK96MI08,WD70MI03,Terry3MI03,JFL19BMI11,WD12MI04A,FI45MI05,WD70MI01A,WD35MI02,WD07MI01A,FI45MI06,OK14MI08,WD70MI01B,WD12MI06,WD35MI01,OK14MI09,WD07MI01B,SH63MI53,FI38MI05A,SH58MI01,SH63MI34,SH01MI21,OK17MI05A,SH63MI22,FI45MI04A,SH63MI27,JFL30AMI12,VS73MI02,SH63MI25,SH63MI31,SH63MI24
2092.421,0.302483579,0.244188318,0.190674982,0.108783157,0.377295512,0.331420498,0.191112196,0.301975767,0.170869522,0.214394773,0.730559926,0.014897205,0.384325733,0.114739086,-0.040131196,0.337432876,0.390606926,0.173932731,0.089566107,0.259765795,0.291245913,0.16326804,0.118828765,-0.01049576,0.271973052,0.109098881,0.188897737,0.214284337,0.26696734,0.274135093,0.24031457,0.246989572,0.313309433,0.19652144,0.28670391,0.303366483,0.241843388,0.266898654,0.352648659,0.272669053,0.275033885,0.184854842,0.25409723,0.353834541,0.228834146,0.173254083,0.125048218,0.092483924,0.31275386,0.184000733,0.255762973,0.268413408,0.158850155,0.198930793,0.182409445
2094.349,0.30215078,0.243906626,0.190697249,0.108497697,0.376938699,0.331158752,0.19079009,0.301530039,0.170765027,0.213964972,0.729984718,0.014570374,0.384073112,0.114594005,-0.040528368,0.336827717,0.389939821,0.173567009,0.089288151,0.259655446,0.291091208,0.162882259,0.118702742,-0.010708474,0.271795577,0.108918467,0.188804875,0.213865003,0.266549091,0.273961771,0.240148855,0.246836413,0.31315074,0.196066425,0.286542005,0.303621642,0.241818374,0.266709781,0.352581672,0.272401128,0.27474389,0.184332383,0.253868147,0.35346319,0.22848758,0.172775473,0.124748601,0.092198709,0.31258549,0.183640729,0.255545248,0.268457122,0.158492865,0.198461413,0.181756093
2096.278,0.301818761,0.243626107,0.190740064,0.108219443,0.376596976,0.330909055,0.190475807,0.301092798,0.17065909,0.213545596,0.729431694,0.014267557,0.383822324,0.11445274,-0.04091393,0.33621941,0.389286965,0.173202892,0.089018303,0.259556641,0.290939569,0.162504677,0.118580841,-0.010915455,0.271626646,0.108742421,0.188716323,0.213454076,0.266133598,0.273793926,0.239994819,0.24668687,0.313005908,0.195620782,0.286397593,0.303862162,0.241795065,0.266527736,0.352524244,0.27213835,0.274472752,0.183815596,0.253663523,0.353092267,0.228149848,0.172305471,0.124454912,0.091917969,0.312415007,0.18328452,0.255331662,0.268509472,0.158141049,0.198001363,0.181126198
2098.206,0.301490656,0.243346236,0.190800918,0.107948331,0.376270626,0.3306716,0.190169191,0.300666031,0.170550862,0.21313639,0.728902047,0.013986721,0.383573827,0.114315939,-0.041288819,0.33560914,0.388648196,0.172840919,0.088758874,0.259471982,0.290791907,0.162136084,0.118463589,-0.011117272,0.271465607,0.108572311,0.188632606,0.213054602,0.265720958,0.273632512,0.239850612,0.246539265,0.312874279,0.195184015,0.286270504,0.304085373,0.24177247,0.266354408,0.35247648,0.27187958,0.274220325,0.183301257,0.253482854,0.352722503,0.227822289,0.171847933,0.124167233,0.091641458,0.312245069,0.182932037,0.255122961,0.268569831,0.157794902,0.197551077,0.180520137
2100.135,0.301180781,0.243068501,0.190876138,0.10768364,0.375960101,0.330446738,0.189869583,0.300251829,0.17043979,0.212736133,0.7283955,0.013725673,0.383327356,0.114183699,-0.041655719,0.33499633,0.388021775,0.172481677,0.0885112,0.259402455,0.290648443,0.161777794,0.118351419,-0.01131494,0.271311282,0.108407894,0.188553793,0.212662685,0.265310844,0.273478186,0.239711911,0.246392159,0.312756169,0.19475602,0.286155774,0.304286937,0.241749657,0.266189713,0.352439082,0.271626035,0.273985797,0.182788384,0.253325578,0.35235417,0.227504132,0.171398258,0.12388538,0.091367931,0.312078911,0.182582551,0.25491773,0.26863692,0.157453568,0.197110071,0.179938587
2102.063,0.300884446,0.242795174,0.190961739,0.10742465,0.37566259,0.33023455,0.189576831,0.299852369,0.17032456,0.212344125,0.727911177,0.013480965,0.383083913,0.114056835,-0.042016217,0.334382343,0.387405405,0.172126242,0.088277155,0.259346446,0.290509243,0.16143076,0.118243963,-0.011508667,0.271164217,0.108248114,0.188479528,0.212273157,0.264903082,0.273331892,0.239572138,0.246244246,0.312651574,0.19433767,0.28605212,0.304463918,0.24172635,0.266033838,0.352413868,0.271377847,0.273768108,0.182280017,0.253190882,0.351988405,0.227195716,0.170956355,0.123609066,0.091097237,0.311919634,0.182236282,0.254715281,0.268709384,0.157117085,0.196676349,0.179381655
2103.992,0.300590061,0.242529047,0.191053406,0.107171125,0.375374347,0.330035062,0.189290422,0.299470032,0.170203092,0.211959745,0.727447081,0.013248308,0.382842342,0.113935666,-0.042370859,0.333769022,0.386795515,0.171773686,0.088054605,0.259301992,0.29037362,0.161094756,0.1181405,-0.011698821,0.271025058,0.108093877,0.188408743,0.211884054,0.264495428,0.273193654,0.239428132,0.246093209,0.312557913,0.193928726,0.28595747,0.304613809,0.241701691,0.265889253,0.352401348,0.271134025,0.273565507,0.181776265,0.253076349,0.35162706,0.226896454,0.170522514,0.123337815,0.09082916,0.311771558,0.181892697,0.254515436,0.268786454,0.156785099,0.196247787,0.178846928
2105.92,0.300307336,0.242271554,0.191147318,0.106922714,0.375094076,0.329848531,0.189009987,0.299105835,0.170072746,0.211582118,0.727003855,0.013023844,0.382600945,0.11382005,-0.042719593,0.333157871,0.386193684,0.171424694,0.087839982,0.259271549,0.290241903,0.160770691,0.118040997,-0.011885435,0.270894138,0.107946684,0.18834172,0.211498537,0.264087617,0.273063718,0.239278122,0.245937417,0.312475386,0.193529447,0.285869923,0.304735022,0.241675486,0.265751733,0.352401654,0.270895696,0.273377465,0.181279957,0.252979674,0.351272525,0.226605481,0.170094767,0.123071359,0.090563465,0.311635702,0.181551616,0.254318478,0.268867895,0.156456822,0.195823766,0.17833228
2107.849,0.300038876,0.242022586,0.191239288,0.106679341,0.374818041,0.329673218,0.188735047,0.298758774,0.169932113,0.211210811,0.726581878,0.012802524,0.382359238,0.113708782,-0.043063422,0.33255016,0.385600998,0.171079333,0.087632584,0.259254993,0.290114311,0.160458035,0.117945366,-0.012068917,0.270772277,0.107806047,0.188278481,0.211120512,0.263680254,0.272941977,0.23911917,0.245776514,0.312404194,0.193139175,0.285789953,0.30482917,0.241647532,0.265619989,0.352413659,0.270663636,0.273202642,0.180792474,0.252896628,0.350926148,0.226323454,0.169674106,0.122808543,0.090300434,0.311511399,0.181212518,0.254125118,0.268953229,0.156132131,0.195403955,0.177834902
2109.777,0.299777488,0.241784674,0.191325499,0.106442055,0.374544027,0.329509009,0.188465225,0.298428709,0.169781928,0.210847177,0.726183064,0.012579728,0.382118497,0.113601164,-0.043401197,0.331947682,0.385012598,0.170739089,0.087433533,0.259248424,0.289991924,0.160155556,0.117853643,-0.012249069,0.270661055,0.107670006,0.188218483,0.210749086,0.263272293,0.272828901,0.238949649,0.245612195,0.312346426,0.19275775,0.285718214,0.304900039,0.241618652,0.26549523,0.35243792,0.270439972,0.273040618,0.180309759,0.252823256,0.350589197,0.226052556,0.169258445,0.122549162,0.090041516,0.311398435,0.180875203,0.253936259,0.269041778,0.155812632,0.194988552,0.1773531
