Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1251.596,1.119591384,2.479419506,1.83737444,0.952171199,1.409422783,0.956568114,1.323611915,0.999307093,1.658111278,0.98961337,1.463902399,1.58023784,1.303154977,1.291356404
1253.524,1.076030583,2.395570859,1.736922365,0.928569415,1.340806064,0.92662819,1.285651649,0.963074417,1.592265159,0.950620029,1.403789675,1.529290895,1.27447155,1.260703644
1255.453,1.034472965,2.315519227,1.645168156,0.906091851,1.277414414,0.898040229,1.249278544,0.928710012,1.529689279,0.913427132,1.346757633,1.480537571,1.246607325,1.231213139
1257.381,0.994854238,2.239137449,1.56135392,0.88470002,1.218906675,0.870761265,1.214443253,0.89615028,1.47026808,0.877976939,1.292694474,1.433908528,1.21954636,1.202851912
1259.31,0.957106035,2.166299794,1.48473726,0.864353517,1.164931371,0.844746119,1.181092259,0.865327093,1.413879081,0.844208369,1.24148177,1.389331366,1.193272612,1.1755856
1261.238,0.921166084,2.096883417,1.414666638,0.845015155,1.115179306,0.819953169,1.149177759,0.836178916,1.360411008,0.812065493,1.193011912,1.346738945,1.167770451,1.149382205
1263.167,0.886968658,2.030767009,1.350517281,0.826646154,1.069338871,0.796338944,1.118648389,0.808640362,1.309747294,0.781489556,1.147172213,1.30606158,1.143024156,1.12420856
1265.095,0.854453524,1.967832046,1.291735977,0.809210637,1.027131463,0.773863179,1.089457907,0.782651978,1.26178098,0.752426457,1.103859281,1.267234346,1.11901841,1.100033653
1267.024,0.823557569,1.907961629,1.237803196,0.792671437,0.988282114,0.75248409,1.061557073,0.758151088,1.216401242,0.724819741,1.062966011,1.230190249,1.095737814,1.076825506
1268.952,0.794222614,1.851041561,1.188255612,0.776993992,0.952541311,0.732162779,1.034901225,0.735080339,1.173505451,0.698617149,1.024393249,1.194866595,1.073167362,1.054554097
1270.88,0.766388886,1.796959449,1.142667045,0.762143103,0.919668297,0.712859557,1.009443948,0.713380561,1.132989352,0.673765139,0.988040281,1.161199669,1.051292035,1.033188913
1272.809,0.739998014,1.745605125,1.100654964,0.748084422,0.889439014,0.694535636,0.985139984,0.692994044,1.094751699,0.650211403,0.953809326,1.129127181,1.030096977,1.012700072
1274.738,0.71499429,1.696870799,1.061874999,0.734785071,0.861644604,0.677153827,0.961946448,0.673865917,1.058695636,0.627905925,0.921606877,1.098589287,1.009567601,0.993058802
1276.666,0.691322939,1.650650829,1.026016714,0.722212781,0.83608809,0.66067757,0.939821155,0.655942256,1.024726237,0.606799531,0.891341325,1.06952718,0.98968947,0.974236796
1278.594,0.668929063,1.606841592,0.992804531,0.710335386,0.812585643,0.645070351,0.918721593,0.639168927,0.992749503,0.586842997,0.862921968,1.041882235,0.970448207,0.956205796
1280.523,0.647759121,1.565341679,0.961994326,0.69912155,0.790966747,0.630296527,0.898606363,0.623493208,0.962674221,0.567988291,0.836260823,1.015597215,0.951829604,0.938938156
1282.452,0.627761799,1.526051994,0.933367282,0.688541179,0.771071205,0.616321808,0.879436019,0.608864741,0.934412605,0.550189316,0.811273266,0.990616973,0.933819702,0.922407192
1284.38,0.608886753,1.488875592,0.90672957,0.678564809,0.75274924,0.60311255,0.861171845,0.595234153,0.90787886,0.533400843,0.787876626,0.966887423,0.916404698,0.906586692
1286.308,0.591083896,1.453717607,0.881913114,0.669163273,0.735863577,0.590635375,0.843775173,0.582552278,0.882988797,0.517577913,0.765989801,0.944354979,0.899570861,0.891450631
1288.237,0.574304456,1.420485379,0.858770039,0.660308213,0.720287212,0.578857751,0.827208403,0.570771314,0.859660825,0.502676722,0.745534228,0.922967408,0.883304628,0.876973585
1290.166,0.558501531,1.389088506,0.837167185,0.651972327,0.705900152,0.567748294,0.811435543,0.559845436,0.837816063,0.488655107,0.72643402,0.902674269,0.867592674,0.86313096
1292.094,0.543629219,1.359438744,0.816986672,0.644128961,0.692591043,0.557276284,0.796421359,0.549729832,0.81737766,0.475471794,0.708615279,0.883426212,0.852421829,0.849898643
