Wavenumber,WD23MI02,WD33MI03,WD71AMI01,SH01MI11,SH01MI05,WD23MI03A,FI38MI01C,SH01MI12B,CV09EMI05,FI38MI01B,SH01MI12A,OK14MI07,OK14MI12,OK14MI01,WD35MI04A,OK14MI06C,FI45MI02,WD70MI03,Terry3MI03,WD70MI01A,WD35MI02,FI45MI06,WD35MI01,WD07MI01B,FI38MI05A,SH58MI01,SH63MI34,OK17MI05A,FI45MI04A,JFL30AMI12,SH63MI24
1585.226,0.03353605292532125,0.0481507720626827,0.18346919072861112,0.06444072766073305,0.04095200350934175,0.18263565398129034,0.04038666277955122,0.05980037226183277,0.05941339276536983,0.04453029041171938,0.055701486216855334,0.04191830040356381,0.013979315010696214,0.03289448417113683,0.05570578068280041,0.006586209024141615,0.09077250551713129,0.05952299350660789,0.022876697128405676,0.062298943891216374,0.06394672232254589,0.09721800705413836,0.07306045340044143,0.03760825020165992,0.03333225408845919,0.02634325554026551,0.048780138320230926,0.013690695862849711,0.08331947477305146,0.06970362883071624,0.013458165459732385
1587.154,0.035144544321595916,0.05070928542269432,0.19492411669879983,0.06817712714877244,0.04294749833697076,0.19302498659199352,0.043094218376750065,0.06307353136196314,0.06256629542170289,0.04718760193754379,0.05975050835537865,0.04554873879655441,0.014872625176237109,0.03434564144997965,0.0583847403241986,0.0070449573481669026,0.09600938273730064,0.06273321227318096,0.024902015982162518,0.0666301751074026,0.0672442588583127,0.10188827735481565,0.0780341476583089,0.039681043434008856,0.03624083793385924,0.02810776096195089,0.05205638847087679,0.014215025310889196,0.08771604115533738,0.07388505538194517,0.015164682270279228
1589.083,0.0382707386663067,0.05343217440135628,0.20746350995731344,0.07233204687523392,0.04511613933648695,0.2043651804015234,0.04610130778479862,0.06680714647369312,0.0659903757014198,0.05002921609455091,0.0642343440361467,0.04962997262776503,0.015901764338891677,0.03594744243761494,0.06131612514388218,0.007559842687274082,0.1017594119249865,0.06629022449051197,0.027091763025668403,0.07139649514314472,0.07075705597033155,0.1069015544835592,0.08343723511612594,0.042108251043982636,0.039305313946553955,0.030209563539512985,0.05571829061072231,0.014811240263217673,0.09267203830557713,0.07857458054042443,0.01704507499887431
1591.011,0.041732498424828124,0.0562733329307859,0.22114541628159412,0.07709176711586091,0.04733420642146591,0.21646857172666656,0.04945363994929999,0.0709334912655788,0.06975576870695982,0.05322850482730798,0.0692512976434545,0.054377912036551845,0.016998707547768277,0.03772079521486671,0.064576741122648,0.008136879363962207,0.10793222882875836,0.0701302005054481,0.029686296007970958,0.07655321915866448,0.07432767827596831,0.11227469618016284,0.08924607316484356,0.044783212628856095,0.04245010295582158,0.03257902172920002,0.059605615357026576,0.01557295702665168,0.09798498906621578,0.08375376664094997,0.019313348680648657
1592.94,0.04530315468846574,0.0593215092565656,0.2373009605780716,0.08255874133779784,0.04992234222020803,0.23024614554968292,0.05334166909369889,0.0756251566741164,0.07425727249090586,0.0568554563266884,0.07497097556372212,0.05981399114882002,0.01821931901987317,0.03974232281818951,0.0684484275816844,0.00882781412209746,0.11502168662040929,0.07450354038786344,0.032812477631204706,0.08254151776948182,0.07837746769632625,0.1183473862698381,0.0958370422717234,0.04793624479829217,0.0459313445937371,0.03525102161256599,0.06399714449902838,0.016542616205431016,0.103644597400874,0.08972529173800536,0.02192278111688417
1594.868,0.048069634006438045,0.0624836174062563,0.25498579011129163,0.08848327530924116,0.05288967107888415,0.24535776672461185,0.05764415269799146,0.08081457045553786,0.07929550046500117,0.06072976356358101,0.08126037423228993,0.06594679899304301,0.019626345748364693,0.04207711792830343,0.07283427487290739,0.009622758038454388,0.12290110558973694,0.07946905952610916,0.035211788240187114,0.08930330977011847,0.08303625429409628,0.12519764231192787,0.1031393316771913,0.05158155454903557,0.04975629677515753,0.03829797573163152,0.06898409288369528,0.017607263462233902,0.10989974639201056,0.09638817184896453,0.024822734062636187
1596.797,0.0511108645359607,0.06591273913835305,0.27459368663080275,0.09496517402330446,0.056205488437081286,0.26217772906681147,0.062381858099423815,0.0865384237332878,0.08487915437318266,0.06500864426185826,0.0881423085107792,0.07252618658542798,0.021217993282924508,0.04485269320297203,0.0777106027734209,0.010519785138896176,0.13176755808380008,0.08503045902059503,0.03819264488681834,0.09686415949939381,0.08822501547866196,0.13278394153597411,0.1112449923008379,0.05571664718560648,0.05380758150602061,0.04183297212658632,0.07465892196515111,0.01881028558438763,0.1169432305674899,0.10384302344741281,0.02820816219548422
1598.725,0.056047436723346444,0.0697991190146307,0.29683270723900035,0.10210802418573561,0.05995449446981338,0.2806078599469808,0.06760383291809587,0.09287746494041871,0.09119812206428518,0.06977282098546986,0.09581022783249549,0.07996478827740594,0.023022626443394312,0.047872622702760326,0.08320861179259054,0.011523758980291926,0.1417081619375682,0.09123689936200396,0.042653978892673916,0.10539801718302488,0.09392545057841245,0.14123718427378035,0.1203189090604233,0.06039300811612386,0.05818701700787077,0.046014531660243274,0.08107145743412125,0.020222425181809278,0.12458083424595007,0.11230725785831053,0.03224138035704244
1600.654,0.06182833021380796,0.07420880221531917,0.3227647124144425,0.1101007631898509,0.06439091718075873,0.30138358711191193,0.07357426136284301,0.10004454974450627,0.09847147801717651,0.07510452815468668,0.10457947501621645,0.08876912694202421,0.025205859029561573,0.051317315223809945,0.08957819610920975,0.012666169498954244,0.15294720412252238,0.09834170206337411,0.04678716806470312,0.1152973529760502,0.10044458630454572,0.15096346561517365,0.1307270789698371,0.06573650347693744,0.06311947852955246,0.0510713277489242,0.08827917576228311,0.021848837741689553,0.13306325534605612,0.12196960829094683,0.036971568246364384
1602.582,0.06734898153343372,0.07897389841565255,0.35109943343400063,0.11861552679789428,0.06944969864150902,0.3237112387388794,0.08006477901908506,0.10803520774654796,0.1063417904347298,0.08078184837643551,0.1142875381836923,0.09795939780005736,0.027905404656750676,0.05537169529488095,0.09658146955826208,0.013905380443724386,0.16513641851474448,0.10620870398476229,0.05132207379603837,0.12624948453333806,0.10775291000706994,0.16147543484738314,0.14223020809961812,0.07169170913393241,0.06852471360155177,0.05682259666899847,0.09614420270325486,0.02361797568629198,0.14224560353146015,0.13251421860719487,0.04223883651603699
