,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,PH_4500_S2N,ERR_5200,ERR_4500,H2O_EXP,H2O_EXP_STD,CO2_EXP,CO2_EXP_STD
CD33_22-1-1_VG9812_44x44_s3_EP_73um,0.5304620355988219,0.044396583239852946,0.5304620355988219,0.044396583239852946,-,0.046028298330551845,0.013674754498566366,117.07563404026101,18.02232619859314,148.9327026541501,26.077810617819665,85.21856542637191,122.27695301116226,0.4164681179154051,0.11447304485754073,0.2838679406128561,0.07937381456419733,7.1017149613897175,3.4157530551066144,-,*,0.49,0.05,109.0,10.9
ETFSR_Ol8_256s,3.8555527110335883,0.43210593240178163,3.8555527110335883,0.43210593240178163,-,2.276094275449075,0.7511353064680129,5117.300572358556,319.0206147637268,5319.175140628858,434.3043522263375,4915.426004088255,122.27695301116226,6.705809016562138,7485.207411638046,3.1306352597888076,5.21348518010896,4.049142218192172,6.88522879695266,-,-,4.16,0.42,,
ETFSR_Ol8_256s_2,3.8047017236630083,0.4258711577478158,3.8047017236630083,0.4258711577478158,-,2.229758116786423,0.7358865885157655,4989.583021257081,310.81513502679394,5201.695643406489,422.3402997465445,4777.470399107673,122.27695301116226,8.298624543475242,14702.974225044549,2.241805854094224,3.770648817683605,2.9618404506080984,4.266386663839714,*,-,4.16,0.42,,
ETFSR_Ol8_highres_256s,3.887465478310803,0.4357589894273581,3.887465478310803,0.4357589894273581,-,2.278486894562145,0.7522866916796587,5152.67387058498,321.140378614732,5363.576592098574,436.0863402852148,4941.771149071386,122.27695301116226,8.13200086377839,5698.311511473565,4.631772327284357,7.685730951045121,3.9541758909557454,2.5000517852845743,*,*,4.16,0.42,,
Fiege63_256s,3.1447986760908826,0.462514105867994,1.8758377743321586,0.14401432881331241,*,1.067630161465911,0.23498112077673688,501.5709185722959,18.901608285988758,520.8692747732732,27.136951996617505,496.85387833685445,27.103888604021904,1.9646332781039468,0.8903462397267347,2.122880199100824,0.9080626974349207,14.68356472620208,18.94667384745629,-,-,3.1,0.31,,
Fiege63_256s_2,3.24470597069453,0.4783052573742911,2.0345348171188635,0.15628513672397218,*,1.0879009458952824,0.2393703978421926,402.6938191662351,16.654330788369684,417.13761500770363,23.625442123482905,399.38530571302624,24.146696399680273,1.8621456445913642,0.8425702869116631,2.201666300948661,0.9413584297526296,9.781658112023347,16.344041926777734,-,-,3.1,0.31,,
Fiege63_256s_3,3.2817924785959827,0.48662249553247605,2.2059614478417746,0.16938254823232052,*,1.080419193461785,0.23781165993581763,511.766266261945,19.770448069641596,532.4011834366667,28.118501158669282,503.6848984407229,28.56303876698307,1.830027032162054,0.827527092293645,2.2416242224897593,0.9581957438720943,13.339314753779426,13.931090631805187,-,-,3.1,0.31,,
Fiege73_256s,4.020136618301771,0.49606908650280995,1.7089527554002037,0.13107170060965814,*,1.9776473901597607,0.43497908682584174,1236.2736320398703,39.29055227760193,1345.893326255323,60.25776005337877,1191.6688204639524,53.77604256399536,3.902151136062271,1.7642547342930397,2.14819750487785,0.9193870864740589,12.85268504183388,13.16904162243572,-,-,4.47,0.45,,
Fiege73_256s_2,4.042372311964214,0.5001417068053378,1.725527442870372,0.13230268394604644,*,1.9751492013134586,0.434779374213329,1248.4496240716824,39.71583822288825,1365.0465312193987,61.08150278060923,1197.6433195404438,53.93919723891067,3.865720921425874,1.746113827278333,2.1737352619127837,0.9304484251080061,13.574581040239696,13.541005656362294,-,-,4.47,0.45,,
Fiege73_256s_2_highres,4.007075579152699,0.4948428115321516,1.6694837657085526,0.12781983126157337,*,1.96331655045771,0.4318218131209279,1223.358272810758,38.94215027291573,1331.9022699416332,59.5816830156716,1179.9197701960343,53.185327530842784,3.861740190512703,1.7469868472520176,2.15038463582189,0.9199452536272178,13.332712691956699,13.719589309255733,-,-,4.47,0.45,,
Fiege73_2_256s,4.042372311964214,0.5000727984242042,1.725527442870372,0.1321038168350146,*,1.9751492013134586,0.43434231113113425,1248.4496240716824,39.696397144361086,1365.0465312193987,61.06435981098946,1197.6433195404438,53.95615047891719,3.865720921425874,1.7491594898108704,2.1737352619127837,0.9295293720779916,13.574581040239696,13.541005656362294,-,-,4.47,0.45,,
STD_C1'_256s_20x50,3.464212096232138,0.3625401387478316,3.464212096232138,0.3625401387478316,-,1.3079460073715812,0.23503670027647883,392.64221960080454,43.89764388045447,422.04566226819964,63.91868701262438,363.23877693340944,53.95615047891719,2.7669022264822534,0.7044031828989267,1.4131404606750997,0.3840740855377783,9.555666078423442,3.0173277402953675,-,*,3.26,0.33,169.0,16.9
STD_C1_020320_256s_20x50_a,3.3878745089165534,0.35384061305325765,3.3878745089165534,0.35384061305325765,-,1.2828406881240926,0.23041843436856932,199.9300333922175,34.384659132974186,250.2450239681342,48.67987036781475,149.6150428163008,53.95615047891719,0.9343801705815921,0.2294621314454353,3.926246355075805,1.0288856627886638,2.7203257417961395,6.287917410586527,*,-,3.26,0.33,169.0,16.9
STD_C1_020320_256s_20x50_b,3.3983790904813787,0.35464173971446367,3.3983790904813787,0.35464173971446367,-,1.2825624521339127,0.23089750218575675,194.96794141132983,34.175375585967316,246.7742018126891,48.20980358816186,143.16168100997058,53.95615047891719,0.9490597525817225,0.23224603217845718,4.07048423388474,1.065495522488288,2.2377108818905613,5.8252986153960125,*,-,3.26,0.33,169.0,16.9
STD_C1_020320_256s_20x50_c,3.429274720261945,0.35903113882523463,3.429274720261945,0.35903113882523463,-,1.2947111102955766,0.23259128943054616,204.10661163524767,33.89832331951772,257.54821050414927,47.84304597740975,150.66501276634608,53.95615047891719,0.7951466839373809,0.19467916197751547,3.9539062129311633,1.0343464809994631,2.266008139182816,6.434834313152074,*,-,3.26,0.33,169.0,16.9
STD_C1_020520_256s_20x50_a,3.391929962515854,0.3537745624308349,3.391929962515854,0.3537745624308349,-,1.2742510468306159,0.2289464235681942,214.53953792551278,35.44751393497847,244.14962505636808,51.127829656124966,184.92945079465744,53.95615047891719,1.6896435480585537,0.43104172768994886,3.9266515260540125,1.0344743852160123,5.10483161236253,5.466158845730945,-,-,3.26,0.33,169.0,16.9
STD_C1_020520_256s_20x50_b,3.393360895470369,0.3550861495979205,3.393360895470369,0.3550861495979205,-,1.2803337789419487,0.2295422796977199,218.24418442199163,34.377605627790395,249.19557398348087,49.066968003359236,187.2927948605024,53.95615047891719,1.6525086193986198,0.44324993745547225,3.8137218981788426,1.0025415553448334,3.8026665588068487,5.586677459811069,*,-,3.26,0.33,169.0,16.9
STD_C1_020520_256s_20x50_c,3.391308990762912,0.35451926495725183,3.391308990762912,0.35451926495725183,-,1.2761417485049178,0.22930109536254437,220.40413345895055,35.14533537963347,248.49222291063728,50.37658671601038,192.31604400726383,53.95615047891719,1.7476268064311085,0.4789854845418627,3.7792159055287846,0.9944676162381504,4.841101022554613,5.668460869451642,-,-,3.26,0.33,169.0,16.9
STD_C1_021220_256s_20x50_a,3.3392115424290894,0.3494389078642638,3.3392115424290894,0.3494389078642638,-,1.268655577734177,0.22748471750567573,250.49673986736673,35.64510959067602,296.99448305620444,49.89319612483431,203.99899667852898,53.95615047891719,3.6028039909079452,0.9193184371859905,1.3962679034925867,0.36582033619239646,7.349418054423562,4.746330899852056,-,-,3.26,0.33,169.0,16.9
STD_C1_021220_256s_20x50_b,3.299161954198797,0.3454410653627174,3.299161954198797,0.3454410653627174,-,1.2334730895721853,0.2215515820770692,226.5998237736075,34.6122336583363,272.16401274318144,48.98129175717258,181.03563480403355,53.95615047891719,3.6090478941991933,0.9284840925101487,1.477426343809717,0.40075670067314084,6.321583457260393,7.920760640755403,-,-,3.26,0.33,169.0,16.9
STD_C1_021220_256s_20x50_c,3.298568329323881,0.34516513970772106,3.298568329323881,0.34516513970772106,-,1.259563254925516,0.22627250357340895,254.32698315428587,35.754047913196175,285.04997265954967,50.897201104782056,223.6039936490221,53.95615047891719,3.4113454652302937,0.8759635648520641,1.4275791328221024,0.37830397166131857,8.822495175819844,5.4669983996930105,-,-,3.26,0.33,169.0,16.9
STD_C1_021420_256s_20x50_a,3.3806233614066556,0.3527492429743577,3.3806233614066556,0.3527492429743577,-,1.3019615553724686,0.23395383008695342,257.7812045289835,36.71221527436864,286.3463549265224,52.5057032392103,229.21605413144457,53.95615047891719,3.5033946537662546,0.8815443593331694,1.1803246124652165,0.3166220629735197,11.523614972095721,3.6249524192266462,-,*,3.26,0.33,169.0,16.9
STD_C1_021420_256s_20x50_b,3.3650921061034453,0.3518546542926525,3.3650921061034453,0.3518546542926525,-,1.2973913293647896,0.23341524720433351,258.6872006849863,36.215677941272006,288.4393299460177,51.580102072348694,228.9350714239549,53.95615047891719,3.381769509230043,0.8611219932264949,1.1944531992219527,0.3146698318352494,9.117088480629103,3.9856863700938256,-,*,3.26,0.33,169.0,16.9
STD_C1_021420_256s_20x50_c,3.3710602838829673,0.3528388199819735,3.3710602838829673,0.3528388199819735,-,1.299006642713225,0.23327362766096718,258.24402665219156,36.68569420247558,286.60681488826447,52.60334361248613,229.8812384161186,53.95615047891719,3.3179010625208596,0.8188455334503693,1.152579580571533,0.3125113324439596,9.157544839699833,4.0632518735953225,-,-,3.26,0.33,169.0,16.9
STD_C1_021720_256s_20x50_a,3.3489420352697024,0.3498629159519047,3.3489420352697024,0.3498629159519047,-,1.2461034142729879,0.2239666758918143,285.76364652828113,37.344131672903245,338.8110457152977,52.67093654653563,232.71624734126456,53.95615047891719,1.655212951931661,0.49685472005124653,3.4778141003134735,0.9072004860150022,3.886925119842333,8.541570659699106,*,-,3.26,0.33,169.0,16.9
STD_C1_021720_256s_20x50_b,3.353764212334205,0.35032843654033446,3.353764212334205,0.35032843654033446,-,1.2467041033542805,0.22392320187149925,288.22414879337873,37.66178476586401,342.1598607117747,52.98295518280751,234.28843687498275,53.95615047891719,1.622065525994092,0.5004824227683892,3.523464166718353,0.918468158652781,3.842073762098905,8.304011911794198,*,-,3.26,0.33,169.0,16.9
STD_C1_021720_256s_20x50_c,3.344505584754955,0.34983900617736674,3.344505584754955,0.34983900617736674,-,1.2490321961089685,0.2240505302957705,292.41724729714366,37.64377799413713,344.3788293348843,53.38225438212171,240.45566525940305,53.95615047891719,1.7471505953728443,0.5461846791737237,3.524956371203616,0.9242763053743887,4.199029975505816,8.071048688961907,-,-,3.26,0.33,169.0,16.9
STD_C1_021920_256s_20x50_a,3.389705134546596,0.3542146341551146,3.389705134546596,0.3542146341551146,-,1.304116675023622,0.23433849937633638,363.7345320445761,41.81044621419944,394.24399100449426,60.75142854847815,333.22507308465794,53.95615047891719,0.8626230427514516,0.22377681461057938,3.909501443326705,1.0324530957342437,2.5548454325848464,10.169618877128103,*,-,3.26,0.33,169.0,16.9
STD_C1_021920_256s_20x50_b,3.388012031329365,0.35461155021948776,3.388012031329365,0.35461155021948776,-,1.3015036865861653,0.23393853702598294,351.33938632377027,40.98333246302874,381.4377676472,58.99294562109338,321.2410050003405,53.95615047891719,0.9448121580550981,0.2568017222306955,3.94555492829778,1.0444053448783743,3.351399066159186,11.086416048539196,*,-,3.26,0.33,169.0,16.9
STD_C1_021920_256s_20x50_c,3.3997929692301514,0.3553567524825546,3.3997929692301514,0.3553567524825546,-,1.2998881902139723,0.23351239077974417,339.98613434729805,39.87806960210558,372.3401135432254,57.16428012382276,307.6321551513707,53.95615047891719,0.8071858332078989,0.20965347836161322,3.956676222198333,1.0515313098213759,2.3227794418520293,9.888209501772225,*,-,3.26,0.33,169.0,16.9
STD_C1_022120_256s_20x50_a,3.3450140906100736,0.34944140699371556,3.3450140906100736,0.34944140699371556,-,1.2779328087289685,0.2294342147764017,302.8048243878685,38.07081981817992,372.11467677798726,52.76268711615726,233.4949719977497,53.95615047891719,0.8500547415353357,0.2127952959022261,3.987663675849519,1.0821755030665474,2.553456618115641,8.39714129613156,*,-,3.26,0.33,169.0,16.9
STD_C1_022120_256s_20x50_b,3.3455619020490084,0.35010496336806973,3.3455619020490084,0.35010496336806973,-,1.2774834589037687,0.22967886793713344,315.3828751645391,38.81194893566031,384.930764220778,53.68609056814991,245.83498610830017,53.95615047891719,0.8315401681634867,0.20315374514216136,3.936686607207789,1.0503807294950647,2.3350216845591296,9.649277079797525,*,-,3.26,0.33,169.0,16.9
STD_C1_022120_256s_20x50_c,3.338173724313829,0.3489149564537037,3.338173724313829,0.3489149564537037,-,1.2787293172403815,0.2297605873168748,313.8451413250282,38.82909264513146,384.22918135457286,54.13412625762303,243.46110129548345,53.95615047891719,0.9016850558424041,0.2303716479506083,3.9127974470728764,1.0606871882827056,3.2056660553740164,8.278041882779766,*,-,3.26,0.33,169.0,16.9
STD_CN92C_OL2_020320_256s_20x25_a,5.478818279392816,0.739022986445574,5.478818279392816,0.739022986445574,-,2.5828419274224887,0.5245889653522727,649.0598804153615,79.84357043547963,748.7084323046239,108.32623744830896,549.411328526099,53.95615047891719,4.497946916186407,1.2085483838707984,4.530872510019362,1.288064084018673,13.845244401264527,11.229099657421997,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_020320_256s_20x25_b,5.334272772942231,0.7199536116256322,5.334272772942231,0.7199536116256322,-,2.56400755403078,0.5209189077021411,596.1376013534032,77.27508099906365,701.3195938483175,105.25692092071623,490.955608858489,53.95615047891719,4.638662709917576,1.2528075649435564,4.080068886702586,1.2023139488043046,15.431821486573885,17.60081477604658,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_020320_256s_20x25_c,5.555506096992657,0.7499648832757697,5.555506096992657,0.7499648832757697,-,2.5891581214828108,0.5258099635403585,672.1257640245608,81.98759592782987,759.4696815435682,113.021741108654,584.7818465055534,53.95615047891719,4.03600816798158,1.1037447082215814,4.362398690065231,1.2673719865890336,12.109548630823006,12.573887325746815,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_020520_256s_20x25_a,5.645672158791113,0.76214301621486,5.645672158791113,0.76214301621486,-,2.6390399901149424,0.534377901837883,669.3096633816708,83.87153453239841,759.6430954196986,116.54974400564349,578.9762313436429,53.95615047891719,3.836589548660812,1.055073767084715,3.528012070055529,1.0030559925920022,15.072338639623506,8.770809065738582,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_020520_256s_20x25_b,5.788823936466839,0.7808831218623584,5.788823936466839,0.7808831218623584,-,2.6326578001559384,0.5337648605603197,647.8564621805211,80.70534983491203,760.2243409831922,109.28163985381772,535.4885833778501,53.95615047891719,3.9079154915792205,1.0803451009991507,3.8426631793022175,1.1041858551220745,13.62603164681654,13.047140196154148,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_020520_256s_20x25_c,5.758889856392921,0.776269365757238,5.758889856392921,0.776269365757238,-,2.642077627204682,0.5350647436106374,662.1635632462184,81.88003377556194,774.7603556463108,110.88745892346402,549.5667708461259,53.95615047891719,3.9813617708188036,1.1143798195407244,4.162750552454805,1.1850618558087926,17.320383851481818,14.1098870962552,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021220_20x25_a,4.612993847254949,0.6224159513287518,4.612993847254949,0.6224159513287518,-,2.401592631750355,0.4872466733274004,280.1966847060252,55.99125753663567,328.0627588135581,78.71298236426387,232.3306105984923,53.95615047891719,1.4732671982298733,0.3980672893445372,4.805193664556805,1.3671429171392546,3.3913925866217385,17.653542020371994,*,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021220_20x25_b,4.655131673654491,0.6269879394057274,4.655131673654491,0.6269879394057274,-,2.4128535015525254,0.4879764179113897,339.6204109840214,58.5860092486671,375.9470389622258,83.15922378683219,303.2937830058171,53.95615047891719,1.229304247291421,0.33438358628589887,4.876469015271534,1.3988518573459723,3.9834849757816855,15.707789076193619,*,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021220_20x25_c,4.682976618158992,0.6311249792701603,4.682976618158992,0.6311249792701603,-,2.414491349579271,0.48986893570803236,347.1132504905316,59.26689592024431,384.0662311781375,83.76091533331629,310.16026980292565,53.95615047891719,1.4958948708505355,0.4016781610981791,4.940453552309745,1.4095482335604212,3.658330278606549,15.126338400859776,*,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021420_256s_20x25_a,5.146959136460569,0.6941108302351656,5.146959136460569,0.6941108302351656,-,2.4622838122835975,0.49948663320282,454.4927514590231,69.79311636913506,398.6902387410612,104.49262128773519,510.295264176985,53.95615047891719,3.1533491171098564,0.849264895014085,4.682762164588897,1.3558384618803367,8.035213370125478,9.790668238197524,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021420_256s_20x25_b,5.122929253279916,0.6923283052595683,5.122929253279916,0.6923283052595683,-,2.4646277101792924,0.49991463125053953,420.5058683596235,64.40495459378263,387.74310164074956,95.37571074055538,453.26863507849737,53.95615047891719,3.3400219526367425,0.9051042684975962,4.369899420646276,1.2655971095410228,10.56109076611723,12.667348167502372,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021420_256s_20x25_c,5.179636782657835,0.6988512189754486,5.179636782657835,0.6988512189754486,-,2.464230976491598,0.4992785961744806,425.30181253483147,66.43080380968689,389.9911881005384,98.14380786326144,460.61243696912453,53.95615047891719,3.597712355568974,0.9854674196383583,4.367934513037465,1.2599283582789254,9.814174245404217,12.290144669568837,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021720_256s_20x25_a,5.14743698615352,0.69447561471192,5.14743698615352,0.69447561471192,-,2.578492932829273,0.5223223849154689,750.4690084544965,92.47675407301554,620.7185606640279,148.24961192040683,880.219456244965,53.95615047891719,2.965309552294291,0.8405470745777955,3.41071956752624,0.9768878713001141,6.663447688028548,11.40804111829594,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021720_256s_20x25_b,5.165321452987075,0.6963908899667631,5.165321452987075,0.6963908899667631,-,2.557746186965725,0.5180859180681497,737.9652350992808,93.66106019093772,609.2281176081686,150.01229854557315,866.7023525903929,53.95615047891719,2.3982904384419377,0.6579549629229996,3.4170668944366533,0.973323721834188,5.754708939110447,12.532693686877387,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021720_256s_20x25_c,5.174388458897984,0.6969219949349366,5.174388458897984,0.6969219949349366,-,2.5768782400727415,0.5226034100389974,746.5647378022977,93.62646895034318,615.6085139265019,150.2907831811049,877.5209616780936,53.95615047891719,2.4353820713884846,0.6782763255006081,3.1583921331854405,0.9131027611542145,5.539688755021409,15.598412025972884,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021920_256s_20x25_a,5.442367140399156,0.7345802018290993,5.442367140399156,0.7345802018290993,-,2.6490997200315967,0.5368871548793394,731.3150300980809,93.12892742884178,628.2367955220984,147.64560055467905,834.3932646740634,53.95615047891719,2.5633958448213945,0.6945200706808295,2.7569312145189486,0.7843625996844602,6.372902872989599,7.822264540240113,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021920_256s_20x25_b,5.4560629874848745,0.736205479415106,5.4560629874848745,0.736205479415106,-,2.6209683031204545,0.5317146556773676,669.8074371844098,87.31849032951823,578.0108686224481,138.08391685638253,761.6040057463715,53.95615047891719,2.3636610796764566,0.6399260118636985,2.817955734201088,0.8021146222901264,5.320764680890656,7.992220359811799,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_021920_256s_20x25_c,5.444304994169261,0.7352775506811606,5.444304994169261,0.7352775506811606,-,2.6170598736673103,0.5309768579628656,671.3591788269739,89.0685612264054,579.9336003534938,141.19317815778567,762.7847573004541,53.95615047891719,2.513223927599282,0.7452719325729512,2.9267533458102744,0.8316556752476628,6.610353893378061,13.086888551888268,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_022120_256s_20x25_a,5.393481436106125,0.727623787372636,5.393481436106125,0.727623787372636,-,2.6243933806867537,0.5313070635950531,728.8998838263007,91.31190361505062,592.4864977794786,147.33449247338126,865.3132698731227,53.95615047891719,2.4917753660897883,0.6810877133776402,3.412474834751623,0.9739388362525215,6.619561328848058,7.612660684882403,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_022120_256s_20x25_b,5.350060861310064,0.721167531753405,5.350060861310064,0.721167531753405,-,2.618362315922489,0.53070740439131,726.4701057486877,87.6434488316388,563.7910385495516,141.93470205889733,889.1491729478238,53.95615047891719,2.2214860523575473,0.6094783093873599,3.496977501864217,0.9971163426420026,5.519480490540001,8.155314450027442,-,-,4.55,0.46,270.0,27.0
STD_CN92C_OL2_022120_256s_20x25_c,5.36367592107865,0.7228485898640343,5.36367592107865,0.7228485898640343,-,2.6146197195326946,0.5309962947519886,755.4449964347651,92.84852762482332,591.7900410935218,151.32190416361948,919.0999517760084,53.95615047891719,2.258072317637439,0.6306438388898169,3.504489625088175,1.0092709956083374,6.260888747590162,13.142504446254414,-,-,4.55,0.46,270.0,27.0
STD_D1010_012821_256s_100x100_a,0.9148898610277878,0.09692010635343304,1.2021086300275503,0.08815978039694926,*,0.16415043655999376,0.027259833920135822,214.19747580636445,10.190198103582532,231.12984422596998,13.511259789975965,195.9428999500438,15.219829369389043,0.3036463812108553,0.07269088263338101,0.7479156886290027,0.19152497580015113,12.236082523322999,13.394256363200824,-,-,1.13,0.11,139.0,13.9
