,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,PH_4500_S2N,ERR_5200,ERR_4500,H2O_EXP,H2O_EXP_STD,CO2_EXP,CO2_EXP_STD
21ALV1846-9_44x44_s1_EP_103um,1.3871093086876767,0.10821722770057453,1.3871093086876767,0.10821722770057453,-,0.3475317409950363,0.058352657930224525,1.7949064781873482e-13,4.035454160301797,3.589806878790384e-13,5.713474284810281,6.0775843122654e-19,122.27695301116226,0.741315301662667,0.1781874559341493,1.0059576639530592,0.2577177659733609,17.471045369010227,8.92664276021389,-,-,1.89,0.19,,
21ALV1846-9_44x44_s2_EP_103um,1.4903467247888558,0.11636535865351919,1.4903467247888558,0.11636535865351919,-,0.3547108802841176,0.05949228124337815,7.0528511513128515e-15,4.215056280245042,1.326260695075823e-14,7.148937544373584,8.430953518674726e-16,122.27695301116226,0.7227245221165878,0.17842043791975493,0.8702583912502869,0.22316312804450955,12.633886843427858,9.923579430591797,-,-,1.89,0.19,,
21ALV1846-9_44x44_s3_EP_103um,1.3983821465355022,0.10893554772271823,1.3983821465355022,0.10893554772271823,-,0.34797727522037375,0.05837192320018871,1.4314462913439606e-18,4.060729384015454,1.3652159040926057e-28,5.732272481574815,2.8628925825513996e-18,122.27695301116226,0.7050534038047019,0.16953431254085952,0.9995020182690868,0.2556892242911293,17.96797033749639,10.460370429200847,-,-,1.89,0.19,,
23WOK5-4_44x44_s1_EP_147um,1.0436555471805433,0.07849192024001347,1.0436555471805433,0.07849192024001347,-,0.21125377503805842,0.03553620156923311,30.917062885141345,8.887126985093088,31.805434061052704,12.835567601196496,30.028691709229985,122.27695301116226,0.3990364541025741,0.09994993844773753,0.5489427041393681,0.14135092855582912,9.929329283793392,9.071222995718633,-,-,1.6,0.16,64.0,6.4
23WOK5-4_44x44_s2_EP_147um,0.9747868914963991,0.0733345817066337,0.9747868914963991,0.0733345817066337,-,0.2089590374454176,0.03516944879545552,40.04514003005919,9.027025601095477,51.72970949928627,12.762568231776397,28.3605705608321,122.27695301116226,0.4238684013246905,0.10374610189044717,0.6415540192093516,0.1660204512445323,12.168585723194795,11.521423089669227,-,-,1.6,0.16,64.0,6.4
23WOK5-4_44x44_s3_EP_147um,1.0107864263514652,0.07597270052132482,1.0107864263514652,0.07597270052132482,-,0.21262430806709132,0.0357843397858221,40.61636862879107,9.115672630367467,51.356486773334574,12.92655119992948,29.87625048424757,122.27695301116226,0.4512081478153667,0.11007229189732172,0.6738416811187594,0.17486440803496278,20.36937118155826,12.695579473033627,-,-,1.6,0.16,64.0,6.4
ALV1833-11_44x44_s1_EP_108um,1.0237186633163207,0.07950586226957855,1.0237186633163207,0.07950586226957855,-,0.14631814346382327,0.0255936309102228,82.77237957628616,12.516744518397429,92.9702022854634,18.175842804880894,72.57455686710891,122.27695301116226,0.46175350204532806,0.11641964535652272,0.571955746758692,0.14816034695765476,14.061304905466391,6.305020619464008,-,-,1.2,0.12,102.0,10.2
ALV1833-11_44x44_s2_EP_108um,1.0211867313924732,0.07909895586643387,1.0211867313924732,0.07909895586643387,-,0.14677446898786048,0.025623826303918792,80.41681800373999,12.754775140195628,91.21815502440914,18.505177339504765,69.61548098307084,122.27695301116226,0.4703376988343415,0.11728198097858304,0.6103121648121465,0.1609624509028491,15.380660485093467,7.4329115494345395,-,-,1.2,0.12,102.0,10.2
ALV1833-11_44x44_s3_EP_108um,1.0209537115945957,0.07919727730996304,1.0209537115945957,0.07919727730996304,-,0.14761480752592557,0.02578233286245906,81.03997164801436,12.770779188119791,91.33658915841602,18.44610664173746,70.74335413761271,122.27695301116226,0.45688748568616844,0.1118578565435743,0.5701884051767339,0.14906383225178166,16.225559981159908,9.113437422962683,-,-,1.2,0.12,102.0,10.2
CD33_12-2-2_VG9764_44x44_s1_EP_105um,0.2661898343402169,0.020897290349280163,0.2661898343402169,0.020897290349280163,-,7.868478513808508e-46,0.002656367186515054,121.9605119441892,13.232043162477176,143.33636160416384,18.96088090834792,100.58466228421455,122.27695301116226,0.49104815487808307,0.13993368233418646,0.10210857723546658,0.030566316575259732,9.968433157871162,2.320575283800976,-,*,0.27,0.03,170.0,17.0
CD33_12-2-2_VG9764_44x44_s2_EP_105um,0.263778211477783,0.020700889757966336,0.263778211477783,0.020700889757966336,-,8.386734522346801e-45,0.0025617534238108735,117.83769782999079,12.745139825386829,136.82516871780217,18.492429899834573,98.8502269421794,122.27695301116226,0.478046349263929,0.1358884459280685,0.11601410412057651,0.03741944445857567,10.794220829276957,3.0622261345118367,-,*,0.27,0.03,170.0,17.0
CD33_12-2-2_VG9764_44x44_s3_EP_105um,0.26684338711859873,0.02092468351677437,0.26684338711859873,0.02092468351677437,-,3.6987813784717905e-44,0.0027644612204514554,119.13579749034875,12.722388045848778,139.0102224863036,18.30130243003824,99.26137249439391,122.27695301116226,0.4904791307355106,0.14011608009229867,0.09950808548817794,0.036659611631523314,11.973742608972875,1.7489132069785391,-,*,0.27,0.03,170.0,17.0
CD33_22-1-1_VG9812_44x44_s1_EP_73um,0.5387941174186868,0.045283788670545444,0.5387941174186868,0.045283788670545444,-,0.03340014326834029,0.012467061639034807,124.82445952280185,18.155900714797674,150.5181808099505,26.096553309185758,99.13073823565317,122.27695301116226,0.412715421740048,0.11839388618377417,0.36885707642140186,0.10898268144678472,5.520788391820208,4.942130811175634,-,-,0.49,0.05,109.0,10.9
CD33_22-1-1_VG9812_44x44_s2_EP_73um,0.5230946954110642,0.04384172570239107,0.5230946954110642,0.04384172570239107,-,0.040832313158548086,0.013242579407545594,117.09967727676981,18.124789340377323,145.85265098296753,26.218487805139695,88.34670357057209,122.27695301116226,0.45186364018510056,0.12250242758434902,0.27564724355241454,0.07926894846554021,8.511177800694059,4.183125250208026,-,-,0.49,0.05,109.0,10.9
