Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
CI_Ref_9_1_100x100_256s_sp1,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,98.00,3.00
CI_Ref_9_1_100x100_256s_sp4,44.68,4.32,14.96,14.15,,0.19,5.53,10.62,4.24,1.70,1.04,98.00,3.00
CI_Ref_10_1_100x100_256s_sp1,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,49.00,3.00
CI_Ref_10_1_100x100_256s_sp3,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,31.00,3.00
CI_Ref_10_1_100x100_256s_sp5,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,31.00,3.00
CI_Ref_10_1_100x100_256s_040523_sp2,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,32.00,3.00
CI_Ref_10_1_100x100_256s_060223_sp2,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,51.00,3.00
CI_Ref_10_chip1_100x100_256s_sp1,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,117.60,3.00
CI_Ref_10_chip1_100x100_256s_sp2,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,117.80,3.00
CI_Ref_10_chip1_100x100_256s_sp3,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,117.90,3.00
CI_Ref_10_chip1_100x100_256s_sp4,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,120.50,3.00
CI_Ref_10_chip1_100x100_256s_sp5,49.02,1.38,15.90,12.12,,0.22,7.14,12.55,2.58,0.17,0.14,115.80,3.00
CI_Ref_11_1_100x100_256s_sp1,49.77,1.41,16.02,12.41,,0.23,7.12,11.51,2.49,0.17,0.12,25.00,3.00
CI_Ref_11_1_100x100_256s_sp2,49.77,1.41,16.02,12.41,,0.23,7.12,11.51,2.49,0.17,0.12,25.00,3.00
CI_Ref_11_1_100x100_256s_sp3,49.77,1.41,16.02,12.41,,0.23,7.12,11.51,2.49,0.17,0.12,27.00,3.00
CI_Ref_11_1_100x100_256s_sp4,49.77,1.41,16.02,12.41,,0.23,7.12,11.51,2.49,0.17,0.12,28.00,3.00
CI_Ref_14_1_100x100_256s_sp2,49.68,1.41,15.99,12.31,,0.23,7.16,11.60,2.52,0.18,0.15,28.00,3.00
CI_Ref_14_1_100x100_256s_sp3,49.68,1.41,15.99,12.31,,0.23,7.16,11.60,2.52,0.18,0.15,27.00,3.00
CI_Ref_15_2_100x100_256s_sp1,49.68,1.38,15.96,12.23,,0.23,7.22,11.64,2.59,0.17,0.13,15.00,3.00
CI_Ref_15_2_100x100_256s_sp2,49.68,1.38,15.96,12.23,,0.23,7.22,11.64,2.59,0.17,0.13,14.00,3.00
CI_Ref_15_2_100x100_256s_sp5,49.68,1.38,15.96,12.23,,0.23,7.22,11.64,2.59,0.17,0.13,15.00,3.00
CI_Ref_18_1_100x100_256s_sp1,49.66,1.37,16.02,12.41,,0.22,7.13,11.56,2.58,0.17,0.13,31.00,3.00
CI_Ref_18_1_100x100_256s_sp2,49.66,1.37,16.02,12.41,,0.22,7.13,11.56,2.58,0.17,0.13,27.00,3.00
CI_Ref_18_1_100x100_256s_sp3,49.66,1.37,16.02,12.41,,0.22,7.13,11.56,2.58,0.17,0.13,31.00,3.00
CI_Ref_18_1_100x100_256s_sp4,49.66,1.37,16.02,12.41,,0.22,7.13,11.56,2.58,0.17,0.13,30.00,3.00
CI_Ref_18_1_100x100_256s_sp5,49.66,1.37,16.02,12.41,,0.22,7.13,11.56,2.58,0.17,0.13,29.00,3.00
CI_Ref_20_1_100x100_256s_sp1,49.86,1.34,16.05,12.31,,0.23,7.12,11.48,2.53,0.18,0.14,20.90,3.00
CI_Ref_20_chip1_100x100_256s_sp1,49.86,1.34,16.05,12.31,,0.23,7.12,11.48,2.53,0.18,0.14,46.10,3.00
CI_Ref_20_chip1_100x100_256s_sp2,49.86,1.34,16.05,12.31,,0.23,7.12,11.48,2.53,0.18,0.14,40.00,3.00
CI_Ref_20_chip1_100x100_256s_sp3,49.86,1.34,16.05,12.31,,0.23,7.12,11.48,2.53,0.18,0.14,40.60,3.00
CI_Ref_20_chip1_100x100_256s_sp4,49.86,1.34,16.05,12.31,,0.23,7.12,11.48,2.53,0.18,0.14,44.10,3.00
CI_Ref_23_1_100x100_256s_060223_sp1,49.83,1.36,16.01,12.28,,0.22,7.14,11.48,2.62,0.17,0.14,55.00,3.00
CI_Ref_23_1_100x100_256s_060223_sp3,49.83,1.36,16.01,12.28,,0.22,7.14,11.48,2.62,0.17,0.14,56.00,3.00
CI_Ref_23_1_100x100_256s_sp2,49.83,1.36,16.01,12.28,,0.22,7.14,11.48,2.62,0.17,0.14,55.00,3.00
CI_Ref_23_2_100x100_256s_sp1,49.83,1.36,16.01,12.28,,0.22,7.14,11.48,2.62,0.17,0.14,55.00,3.00
CI_Ref_24_1_100x100_256s_sp1,49.61,1.38,15.99,12.30,,0.23,7.05,11.78,2.58,0.17,0.14,35.30,3.00
CI_Ref_24_chip1_100x100_256s_sp3,49.61,1.38,15.99,12.30,,0.23,7.05,11.78,2.58,0.17,0.14,35.90,3.00
CI_Ref_24_chip1_100x100_256s_sp4,49.61,1.38,15.99,12.30,,0.23,7.05,11.78,2.58,0.17,0.14,37.60,3.00
CI_Ref_24_chip1_100x100_256s_sp5,49.61,1.38,15.99,12.30,,0.23,7.05,11.78,2.58,0.17,0.14,34.40,3.00
CI_Ref_24_chip1_100x100_256s_sp6,49.61,1.38,15.99,12.30,,0.23,7.05,11.78,2.58,0.17,0.14,35.60,3.00
CI_Ref_25_1_100x100_256s_050923_sp1,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,49.20,3.00
CI_Ref_25_1_100x100_256s_051423_sp1,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,49.20,3.00
CI_Ref_25_1_100x100_256s_050923_sp2,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,42.90,3.00
CI_Ref_25_1_100x100_256s_051423_sp2,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,42.90,3.00
CI_Ref_25_chip1_100x100_256s_sp1,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,62.50,3.00
CI_Ref_25_chip1_100x100_256s_sp2,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,64.50,3.00
CI_Ref_25_chip1_100x100_256s_sp4,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,57.60,3.00
CI_Ref_25_chip1_100x100_256s_sp5,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,55.60,3.00
CI_Ref_25_chip1_100x100_256s_sp6,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,72.70,3.00
CI_Ref_25_chip1_100x100_256s_sp7,49.15,1.41,15.85,12.34,,0.23,7.11,12.29,2.56,0.17,0.14,57.80,3.00
CI_Ref_27_1_100x100_256s_sp1,49.88,1.39,15.86,12.32,,0.23,7.15,11.59,2.54,0.17,0.11,52.90,3.00
CI_Ref_27_chip1_100x100_256s_sp2,49.88,1.39,15.86,12.32,,0.23,7.15,11.59,2.54,0.17,0.11,27.30,3.00
CI_Ref_27_chip1_100x100_256s_sp3,49.88,1.39,15.86,12.32,,0.23,7.15,11.59,2.54,0.17,0.11,24.30,3.00
