Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
AC4_OL49_021920_30x30_CO2_a,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14,91.25,3
AC4_OL49_021920_30x30_CO2_b,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14,91.25,3
AC4_OL49_021920_30x30_CO2_c,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14,91.25,3
AC4_OL49_021920_30x30_H2O_a,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14,91.25,3
AC4_OL49_021920_30x30_H2O_b,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14,91.25,3
AC4_OL49_021920_30x30_H2O_c,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14,91.25,3
AC4_OL50_021920_20x20_a,51.86,1.07,16.95,2.06,7.53,0.22,3.92,7.09,4.24,0.97,0.2,49.79,3
AC4_OL50_021920_20x20_b,51.86,1.07,16.95,2.06,7.53,0.22,3.92,7.09,4.24,0.97,0.2,49.79,3
AC4_OL50_021920_256s_20x20_c,51.86,1.07,16.95,2.06,7.53,0.22,3.92,7.09,4.24,0.97,0.2,49.79,3
AC4_OL51_021920_15x20_a,54.63,1.15,16.41,1.97,7.19,0.22,3.75,6.54,4.22,1.2,0.15,55.98,3
AC4_OL51_021920_15x20_b,54.63,1.15,16.41,1.97,7.19,0.22,3.75,6.54,4.22,1.2,0.15,55.98,3
AC4_OL51_021920_15x20_c,54.63,1.15,16.41,1.97,7.19,0.22,3.75,6.54,4.22,1.2,0.15,55.98,3
AC4_OL53_101220_256s_30x30_a,47.95,1,18.88,2.04,7.45,0.19,4.34,9.84,3.47,0.67,0.11,39.00,3
AC4_OL53_101220_256s_30x30_b,47.95,1,18.88,2.04,7.45,0.19,4.34,9.84,3.47,0.67,0.11,39.00,3
AC4_OL53_101220_256s_30x30_c,47.95,1,18.88,2.04,7.45,0.19,4.34,9.84,3.47,0.67,0.11,39.00,3
