Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Thickness,Sigma_Thickness
FR01MI02a,43.71,1.1,17.1,,12.13,0.18,3.62,8.19,1.42,7.49,0.14,44.60,3
FR01MI02b,43.71,1.1,17.1,,12.13,0.18,3.62,8.19,1.42,7.49,0.14,44.60,3
FR01MI02c,43.71,1.1,17.1,,12.13,0.18,3.62,8.19,1.42,7.49,0.14,44.60,3
FR01MI03a,48.01,1.05,16.02,,10.47,0.22,4.64,7.69,2.79,3.49,0.19,58.75,3
FR01MI03b,48.01,1.05,16.02,,10.47,0.22,4.64,7.69,2.79,3.49,0.19,58.75,3
FR01MI03c,48.01,1.05,16.02,,10.47,0.22,4.64,7.69,2.79,3.49,0.19,58.75,3
FR01MI04a,48.62,0.75,16.8,,10.82,0.19,6.21,7.91,2.79,0.58,0.19,53.39,3
FR01MI04b,48.62,0.75,16.8,,10.82,0.19,6.21,7.91,2.79,0.58,0.19,53.39,3
FR01MI04c,48.62,0.75,16.8,,10.82,0.19,6.21,7.91,2.79,0.58,0.19,53.39,3
FR02MI01a,53.9,0.91,14.44,,9.7,0.2,5.7,5.22,3.91,1.15,0.3,53.83,3
FR02MI01b,53.9,0.91,14.44,,9.7,0.2,5.7,5.22,3.91,1.15,0.3,53.83,3
FR02MI01c,53.9,0.91,14.44,,9.7,0.2,5.7,5.22,3.91,1.15,0.3,53.83,3
FR02MI02a,48.08,1.09,15.15,,11.93,0.24,6.49,7.05,3.15,0.78,0.18,55.26,3
FR02MI02b,48.08,1.09,15.15,,11.93,0.24,6.49,7.05,3.15,0.78,0.18,55.26,3
FR02MI02c,48.08,1.09,15.15,,11.93,0.24,6.49,7.05,3.15,0.78,0.18,55.26,3
FR02MI03a,48.53,1.03,15.17,,11.97,0.23,6.41,7.29,3.37,0.72,0.18,26.22,3
FR02MI03b,48.53,1.03,15.17,,11.97,0.23,6.41,7.29,3.37,0.72,0.18,26.22,3
FR02MI03c,48.53,1.03,15.17,,11.97,0.23,6.41,7.29,3.37,0.72,0.18,26.22,3
FR02MI04a,50.3,1.09,15.39,,10.46,0.2,6,6.93,3.46,0.81,0.2,47.79,3
FR02MI04b,50.3,1.09,15.39,,10.46,0.2,6,6.93,3.46,0.81,0.2,47.79,3
FR02MI04c,50.3,1.09,15.39,,10.46,0.2,6,6.93,3.46,0.81,0.2,47.79,3
FR02MI05a,48.15,1.03,14.8,,12.98,0.26,6.87,6.69,3.29,0.72,0.19,39.21,3
FR02MI05b,48.15,1.03,14.8,,12.98,0.26,6.87,6.69,3.29,0.72,0.19,39.21,3
