,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,H2Om_1635_MAX,BL_H2Om_1635_MAX,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,MAX_1515_ABS,BL_MAX_1515_ABS,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,MAX_1430_ABS,BL_MAX_1430_ABS,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD
FR02MI01b,1.92320029,0.000180444,1.996177,0.090778233,-,0.591866942,0.003063378,0.2311504,0.316343424,0.06505132,0.003617614,1523.142577,1.873982064,28.79560919,1.947235724,0.4203343,0.353483106,0.056929041,0.004508406,1427.684768,2.928731166,40,1.820436361,0.4589547,0.408834786,0.022798921,0.001306577,0.014693516,0.000207812,5.957214784,-,5.582098507,-,1.411793647,0.023647087,-2.42379256,0.223701071,-0.431801137,0.019423665,-0.6,0.019639037,-0.071674803,0.037381804,-0.000254846,3.81E-05,0.993588504,0.010439051,-0.041178484,0.015656601,0.114735056,0.015684896
FR02MI01c,1.865299157,4.10E-05,1.864143,0.088089209,-,0.5853022,0.00309007,0.2269644,0.307043384,0.058638885,0.003521234,1523.017371,1.970590597,27.78345807,1.95771867,0.4090604,0.34962805,0.046782059,0.004325426,1428.98009,3.224888085,38.4325408,2.387801769,0.4490323,0.408653439,0.01728299,0.000972071,0.01104306,0.000151172,4.243958654,-,5.988111748,-,1.379715454,0.022097568,-2.571690306,0.204879657,-0.443279815,0.019428197,-0.6,0.016122801,-0.125790775,0.035481684,-0.000279928,3.52E-05,0.989927201,0.009471236,-0.040866201,0.015795324,0.115471967,0.015361961
FR02MI02a,1.862963205,5.60E-05,2.042063,0.303705339,*,0.494507948,0.003152552,0.481706,0.617065797,0.034434298,0.003728372,1526.291211,3.332214337,29.36339649,3.035536098,0.6974908,0.66165861,0.033305467,0.003882263,1423.353422,2.739605053,28.01410327,3.055333106,0.7346508,0.7071155,0.023746115,0.000754877,0.016677131,0.000943002,4.939708668,-,6.126270709,-,0.845585944,0.071526875,-0.843959378,0.739542679,0.27425841,0.020896873,-0.319605893,0.096421785,-0.089298556,0.059083184,-0.000426747,0.000125705,1.035505295,0.037810229,-0.072788105,0.017335503,-0.117057022,0.018275351
FR02MI02b,1.857304039,4.96E-05,2.041802,0.307452629,*,0.49247908,0.003111507,0.4959183,0.634288516,0.02873725,0.003324911,1531.878718,2.951144114,30.52500161,2.794569156,0.7158819,0.686471621,0.030409431,0.003581687,1426.244046,2.705858989,24.70567565,2.841597463,0.7575752,0.735288108,0.022532503,0.000171994,0.014140953,0.000545855,4.485682251,-,3.969690593,*,0.771682631,0.056616273,-2.177507122,0.580065378,0.231539248,0.02048641,-0.529856152,0.074076818,-0.05157757,0.048377969,-0.000661231,9.88E-05,1.143224294,0.029517032,-0.060854591,0.016371323,-0.139721386,0.016041116
FR02MI02c,1.784139048,5.34E-05,2.024573,0.302642908,*,0.485860136,0.003149538,0.4887356,0.625969451,0.034125437,0.003276851,1533.666027,2.486527498,32.76878327,2.584411955,0.7141439,0.675864849,0.032774914,0.003580027,1426.024455,2.412364702,23.81769606,2.084086243,0.752552,0.723212699,0.017756253,0.000350681,0.0130551,0.000770267,4.185684931,-,5.186177979,-,0.853310597,0.069185001,-1.118285905,0.714871093,0.257898302,0.020617797,-0.394794567,0.092710812,-0.105984855,0.056284445,-0.000482884,0.000121447,1.073313798,0.036493068,-0.085954105,0.016500458,-0.167579123,0.016532509
FR02MI03a,0.932562477,0.000907432,1.194898,0.282973845,-,0.197166048,0.003084111,0.3974773,0.442705962,0.03768343,0.00363483,1502.464169,1.821542654,23.84308241,1.633438882,0.4823043,0.446725161,0.034937137,0.003675291,1418.032714,1.918463668,22.5,1.692678289,0.4918204,0.45569636,0.012085883,0.000428825,0.007194259,0.000442694,4.209985197,-,2.150079892,*,0.36949079,0.067690998,-0.847959718,0.69910314,0.198430639,0.020566612,-0.232031881,0.09074851,0.093739683,0.054821944,-0.000167346,0.00011876,0.636907116,0.035681491,-0.067278386,0.016616326,0.04654303,0.013846319
FR02MI03b,0.968192773,0.003742359,1.218496,0.268307263,-,0.213289606,0.003095973,0.3354005,0.381456908,0.040289851,0.003672703,1508.005819,1.986674694,23.72418575,1.61450144,0.4317532,0.393064251,0.036280915,0.003653902,1421.144249,2.15951381,24.05674028,2.205845709,0.4395726,0.405040478,0.008641037,0.000265709,0.007875698,0.000108328,2.413746696,*,4.025322855,-,0.495196437,0.071295629,0.17754756,0.737273219,0.244604958,0.020541558,-0.14149916,0.09491321,-0.085715423,0.058790855,4.91E-05,0.000125145,0.529107509,0.03757571,-0.058710018,0.016305126,0.070965422,0.013657948
FR02MI03c,0.986315155,0.004135077,1.233067,0.235178724,-,0.217037546,0.003081429,0.2944622,0.349305127,0.043284813,0.003919373,1509.564607,2.232540538,23.49468177,1.776603292,0.4114918,0.366449409,0.036858267,0.003905522,1423.984572,2.71171255,29.34243576,3.30611122,0.4186379,0.383037856,0.008472416,0.000132761,0.009415926,0.000360743,3.073502159,*,3.942334328,*,0.580528577,0.067124376,0.997715338,0.695190895,0.331280118,0.02072266,-0.025599906,0.091173632,-0.197949917,0.055480943,0.000166317,0.000118061,0.46394873,0.035579348,-0.054120368,0.016573229,0.082896142,0.014411948
FR02MI04a,1.558605915,0.000252783,1.500333,-0.050292133,-,0.415841667,0.003083191,0.05469516,0.120574223,0.079989181,0.0037332,1519.428637,1.937529964,30.65035655,2.083293487,0.1964557,0.114401152,0.07342209,0.004111489,1430.482501,2.320205035,33.73280561,2.29160345,0.1961907,0.134908793,0.012864422,0.000694739,0.008958143,0.000283236,10.15585628,-,15.96601839,-,0.580860093,0.04420004,-2.286185748,0.46326079,-0.016898318,0.020356686,-0.287785765,0.06818721,0.3,0.029657267,-0.0003651,7.90E-05,0.501383718,0.024530006,-0.056299584,0.016228203,0.102808629,0.017450992
FR02MI04b,1.543288667,0.000283346,1.722243,0.204505071,-,0.41267345,0.003125756,0.3247456,0.403481297,0.07927479,0.003755739,1520.457085,1.931552472,30.59602048,2.084169128,0.4838818,0.400758238,0.074790646,0.004238601,1430.026201,2.276496788,34.85855603,2.323344659,0.4822886,0.419211849,0.01396241,0.00079192,0.008291621,0.000221484,6.718250113,-,10.84127473,-,0.619412863,0.056795423,-1.86278555,0.590649332,0.073460809,0.021233095,-0.311714403,0.081637847,0.263757727,0.044443613,-0.000324205,0.000100446,0.764688746,0.030639103,-0.043228291,0.016458507,0.088939427,0.01798572
