,AVG_BL_BP,PCA1_BP,PCA2_BP,PCA3_BP,PCA4_BP,m_BP,b_BP,SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,FeO,H2O
AC4_EUH102_030920_256s_15x20_a,0.523364283,-1.061848979,0.508079324,-0.187672707,0.201907538,-0.000366656,0.852450022,50.26,0.92,17.6,0.21,4.31,9.3,3.57,0.69,0.16,9.872668046,2.71124007
AC4_EUH102_030920_256s_15x20_b,0.456899059,-1.715572934,0.494616313,-0.260172558,0.275560874,-0.000480005,0.891379351,50.26,0.92,17.6,0.21,4.31,9.3,3.57,0.69,0.16,9.872668046,2.71663895
AC4_EUH102_030920_256s_15x20_c,0.529136176,-0.88676497,0.510749639,-0.168261981,0.196191546,-0.000342823,0.847475694,50.26,0.92,17.6,0.21,4.31,9.3,3.57,0.69,0.16,9.872668046,2.74082539
AC4_EUH33_030920_256s_20x20_a,1.250267449,5.257992002,-0.371369723,0.577738419,-0.075095155,0.000672758,0.399747347,53.02,0.96,18.28,0.23,3.48,7.18,4.48,1.15,0.28,9.833669576,1.38690964
AC4_EUH33_030920_256s_20x20_b,1.27449375,5.414046606,-0.367363135,0.590802518,-0.092590864,0.000709198,0.393487989,53.02,0.96,18.28,0.23,3.48,7.18,4.48,1.15,0.28,9.833669576,1.39149643
AC4_EUH33_030920_256s_20x20_c,1.275356214,5.542195394,-0.359819674,0.61028362,-0.102012656,0.000723393,0.385333307,53.02,0.96,18.28,0.23,3.48,7.18,4.48,1.15,0.28,9.833669576,1.38922363
AC4_OL21_012821_256s_20x20_a,0.443434965,-1.08634257,-0.307352594,-0.142102931,0.112826271,-0.000263968,0.484187449,50.36,1.25,17.51,0.18,3.78,8.23,4.01,0.85,0.2,9.461681814,2.78466308
AC4_OL21_012821_256s_20x20_b,0.332014224,-1.450992024,-0.323257812,-0.046175186,0.201470673,-0.000386187,0.483850333,50.36,1.25,17.51,0.18,3.78,8.23,4.01,0.85,0.2,9.461681814,2.77058684
AC4_OL21_012821_256s_20x20_c,0.484769904,-0.534984835,-0.328904812,-0.040283964,0.095005525,-0.000183171,0.453615666,50.36,1.25,17.51,0.18,3.78,8.23,4.01,0.85,0.2,9.461681814,2.80360135
AC4_OL21_012821_256s_20x25_a,1.286537177,6.99738997,0.132516665,0.532915349,-0.4929318,0.001305593,0.086435483,50.36,1.25,17.51,0.18,3.78,8.23,4.01,0.85,0.2,9.461681814,2.71228337
AC4_OL21_012821_256s_20x25_b,1.232008227,6.437053296,0.100039777,0.483628772,-0.456355879,0.001196867,0.1137256,50.36,1.25,17.51,0.18,3.78,8.23,4.01,0.85,0.2,9.461681814,2.70981261
AC4_OL21_012821_256s_20x25_c,1.244037251,6.538774289,0.122505101,0.480848175,-0.460908796,0.001225151,0.109016466,50.36,1.25,17.51,0.18,3.78,8.23,4.01,0.85,0.2,9.461681814,2.71311354
AC4_OL24_020320_256s_25x25_CO2_a,1.412006335,1.13212256,0.40603839,-0.391649101,-0.36117631,0.000159743,0.965992614,52.36,1.1,17.32,0.17,3.54,7.29,4.33,1,0.22,8.424716998,2.23577203
AC4_OL24_020320_256s_25x25_CO2_b,1.444712028,1.38010292,0.402205966,-0.363002293,-0.388588671,0.000208977,0.956491632,52.36,1.1,17.32,0.17,3.54,7.29,4.33,1,0.22,8.424716998,2.21329765
AC4_OL24_020320_256s_25x25_CO2_c,1.437222186,1.278046396,0.393129058,-0.376048513,-0.373694489,0.000191142,0.963869871,52.36,1.1,17.32,0.17,3.54,7.29,4.33,1,0.22,8.424716998,2.20256852
AC4_OL24_020320_256s_25x30_H2O_a,1.512373356,0.675857917,0.345002329,-0.112236996,-0.002847789,0.00013063,0.980338706,52.36,1.1,17.32,0.17,3.54,7.29,4.33,1,0.22,8.424716998,2.74335603
AC4_OL24_020320_256s_25x30_H2O_b,1.385360668,0.038678273,0.371012368,-0.216101773,0.037936001,1.83E-05,0.975221768,52.36,1.1,17.32,0.17,3.54,7.29,4.33,1,0.22,8.424716998,2.79383751
AC4_OL24_020320_256s_25x30_H2O_c,1.486327503,0.645648914,0.354513442,-0.134838645,-0.005939208,0.000131719,0.96344634,52.36,1.1,17.32,0.17,3.54,7.29,4.33,1,0.22,8.424716998,2.79861444
AC4_OL27_020520_256s_20x25_a,1.666725311,3.019802681,0.337091231,0.11816871,-0.180783477,0.000557544,0.922456536,51.59,0.98,17.52,0.22,4.12,7.79,4.13,0.92,0.16,9.471681814,2.52611247
AC4_OL27_020520_256s_20x25_b,1.647882084,3.353421058,0.332640663,0.084510164,-0.215433154,0.000595226,0.919538099,51.59,0.98,17.52,0.22,4.12,7.79,4.13,0.92,0.16,9.471681814,2.51734651
AC4_OL27_020520_256s_20x25_c,1.68427532,3.696883938,0.332875037,0.144554978,-0.237762936,0.000647729,0.896038905,51.59,0.98,17.52,0.22,4.12,7.79,4.13,0.92,0.16,9.471681814,2.55277169
AC4_OL29_012821_256s_10x12_a,1.515938858,8,-0.103519017,0.71683657,-0.347128925,0.001078164,0.509393179,51.67,0.98,17.88,0.19,3.89,7.36,4.23,0.94,0.18,9.520680284,2.49010243
AC4_OL29_012821_256s_12x22_a,1.358978227,5.460849195,0.087217692,0.267884775,-0.228285908,0.00069008,0.634446461,51.67,0.98,17.88,0.19,3.89,7.36,4.23,0.94,0.18,9.520680284,2.44327211
AC4_OL29_012821_256s_12x22_b,1.465219184,8,0.065217128,0.738262885,-0.316948312,0.001029435,0.510186365,51.67,0.98,17.88,0.19,3.89,7.36,4.23,0.94,0.18,9.520680284,2.45952573
AC4_OL29_012821_256s_12x22_c,1.496503288,8,0.044099639,0.73771967,-0.346540939,0.001048716,0.513898028,51.67,0.98,17.88,0.19,3.89,7.36,4.23,0.94,0.18,9.520680284,2.43394945
AC4_OL32_MI1_021420_256s_25x30_a,2.089271594,8,-0.018036991,0.274578575,-0.348649123,0.001224858,0.659423309,51.71,1.01,16.81,0.21,4.27,7.32,3.48,0.79,0.19,9.402683344,1.90701972
AC4_OL32_MI1_021420_256s_25x30_b,2.089421803,8,-0.015720963,0.277304034,-0.344985997,0.001223844,0.659748724,51.71,1.01,16.81,0.21,4.27,7.32,3.48,0.79,0.19,9.402683344,2.23974331
AC4_OL32_MI1_021420_256s_25x30_c,2.06612319,7.844623014,-0.012003836,0.26147482,-0.333301641,0.001191034,0.665727778,51.71,1.01,16.81,0.21,4.27,7.32,3.48,0.79,0.19,9.402683344,1.88487828
AC4_OL32_MI2_021220_20x35_256s_a,1.77407948,2.161928307,0.57937161,-0.173698145,-0.379725149,0.000478771,0.995495665,51.35,1.03,17.46,0.22,4.25,7.59,3.81,0.8,0.17,9.676674165,2.40239377
AC4_OL32_MI2_021220_20x35_256s_b,1.819885979,2.801807536,0.592811325,-0.076008186,-0.38947521,0.000583993,0.956922949,51.35,1.03,17.46,0.22,4.25,7.59,3.81,0.8,0.17,9.676674165,2.44510921
AC4_OL32_MI2_021220_20x35_256s_c,1.801824608,2.751423841,0.600348852,-0.085345085,-0.391142467,0.000565125,0.955365838,51.35,1.03,17.46,0.22,4.25,7.59,3.81,0.8,0.17,9.676674165,2.52824333
AC4_OL36_MI1_021420_256s_20x25_H2O_a,1.181655428,3.870325832,0.247502366,0.122872141,-0.124876679,0.000592144,0.524253895,50.16,1.15,18.45,0.16,4.03,8.83,3.81,0.83,0.2,9.608677225,2.46845531
AC4_OL36_MI1_021420_256s_20x25_H2O_b,1.080332849,2.732863947,0.259647117,-0.021555139,-0.132896937,0.00040494,0.584551399,50.16,1.15,18.45,0.16,4.03,8.83,3.81,0.83,0.2,9.608677225,2.79019038
AC4_OL36_MI1_021420_256s_20x25_H2O_c,1.204798993,4.368304532,0.247175236,0.210133506,-0.132455126,0.000654844,0.497578878,50.16,1.15,18.45,0.16,4.03,8.83,3.81,0.83,0.2,9.608677225,2.4438093
AC4_OL36_MI2_021420_256s_15x20_a,1.017204226,2.699052248,-0.02032556,0.126873944,0.003219262,0.000292834,0.553812411,48.87,0.89,18.69,0.18,4.26,9.68,3.41,0.67,0.09,9.970664987,2.69867083
AC4_OL36_MI2_021420_256s_15x20_b,1.046356491,2.960337476,-0.026234662,0.145487566,-0.021012021,0.000340734,0.541854761,48.87,0.89,18.69,0.18,4.26,9.68,3.41,0.67,0.09,9.970664987,2.69674952
AC4_OL36_MI2_021420_256s_15x20_c,1.015963457,2.470704398,-0.060986481,0.059802647,0.059616302,0.000274943,0.560206393,48.87,0.89,18.69,0.18,4.26,9.68,3.41,0.67,0.09,9.970664987,2.54445041
AC4_OL3_101220_256s_30x30_a,1.276449827,1.166927754,0.150639546,-0.22268126,0.00721366,0.000149634,0.733210242,51.87,1.01,18.2,0.23,3.52,6.94,4.73,1.14,0.16,9.833669576,2.40712773
AC4_OL3_101220_256s_30x30_b,1.265817824,1.03335498,0.145371067,-0.240761762,0.013973542,0.000127103,0.741750301,51.87,1.01,18.2,0.23,3.52,6.94,4.73,1.14,0.16,9.833669576,2.41486323
AC4_OL3_101220_256s_30x30_c,1.277577492,1.191382497,0.150962184,-0.22027698,0.006113264,0.000153962,0.732659846,51.87,1.01,18.2,0.23,3.52,6.94,4.73,1.14,0.16,9.833669576,2.41064521
AC4_OL40_021420_256s_15x25_a,2.376505167,6.330744006,0.68255808,0.697827851,-0.506302885,0.001094828,0.981364159,54.11,1.22,17.11,0.18,3.47,6.73,4.31,1.13,0.19,8.82570323,2.02190417
AC4_OL40_021420_256s_15x25_b,2.423186447,6.74044928,0.694229318,0.75,-0.550298801,0.001172666,0.958605279,54.11,1.22,17.11,0.18,3.47,6.73,4.31,1.13,0.19,8.82570323,2.04540978
