,AVG_BL_BP,PCA1_BP,PCA2_BP,PCA3_BP,PCA4_BP,m_BP,b_BP,SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,FeO,H2O
AC4_OL40_021420_256s_15x25_c,2.403144916,6.8600511,0.730586241,0.75,-0.568985973,0.001184936,0.943993382,54.11,1.22,17.11,0.18,3.47,6.73,4.31,1.13,0.19,8.82570323,2.04658398
AC4_OL43_101220_256s_30x30_a,1.545113168,0.519703463,0.152793474,-0.134964537,0.189339308,0.000136557,0.986974178,53.9,1.29,16.61,0.16,3.56,7.05,3.23,1.18,0.23,8.541712409,2.55326251
AC4_OL43_101220_256s_30x30_b,1.569312039,0.582310033,0.13873997,-0.119943778,0.187016149,0.00015816,0.986770383,53.9,1.29,16.61,0.16,3.56,7.05,3.23,1.18,0.23,8.541712409,2.46983078
AC4_OL43_101220_256s_30x30_c,1.519623535,0.172094596,0.136523439,-0.166044723,0.213737668,7.87E-05,1.005493423,53.9,1.29,16.61,0.16,3.56,7.05,3.23,1.18,0.23,8.541712409,2.54280198
AC4_OL44_021420_256s_25x25_a,1.453437141,2.344555969,0.401744733,0.013675722,-0.382231693,0.000599095,0.653292276,53.21,1.2,17.15,0.17,3.62,7.08,4.43,0.97,0.16,8.77670476,2.91001569
AC4_OL44_021420_256s_25x25_b,1.418113065,1.814400882,0.378978583,-0.036153934,-0.344679637,0.000524242,0.680143579,53.21,1.2,17.15,0.17,3.62,7.08,4.43,0.97,0.16,8.77670476,2.93688648
AC4_OL44_021420_256s_25x25_c,1.421617555,1.927869266,0.381681962,-0.017300814,-0.348883943,0.000539074,0.67279512,53.21,1.2,17.15,0.17,3.62,7.08,4.43,0.97,0.16,8.77670476,2.93187172
AC4_OL45_012821_256s_20x25_a,0.564407326,2.100720199,0.677081469,0.100560355,-0.19400237,0.000445634,0.223001516,49.59,0.84,18.52,0.23,4.42,9.01,3.88,0.65,0.16,9.539678755,3.11187088
AC4_OL45_012821_256s_20x25_b,0.499424179,1.938704554,0.612781571,0.202197569,-0.132000907,0.000367831,0.221385123,49.59,0.84,18.52,0.23,4.42,9.01,3.88,0.65,0.16,9.539678755,3.05499138
AC4_OL45_012821_256s_20x25_c,0.55290115,2.338869744,0.65756643,0.198600397,-0.182054802,0.000457555,0.203804343,49.59,0.84,18.52,0.23,4.42,9.01,3.88,0.65,0.16,9.539678755,3.08083514
AC4_OL46_021420_256s_30x30_a,1.267142135,0.821553116,0.434151569,-0.173734912,-0.016139682,4.65E-05,0.896629231,48.57,0.84,18.25,0.19,4.75,9.36,3.62,0.62,0.11,9.931666517,2.4024657
AC4_OL46_021420_256s_30x30_b,1.271701287,0.970188155,0.442402554,-0.162620808,-0.044029076,6.71E-05,0.887466483,48.57,0.84,18.25,0.19,4.75,9.36,3.62,0.62,0.11,9.931666517,2.38967339
AC4_OL46_021420_256s_30x30_c,1.296599348,1.129585389,0.43593245,-0.143513327,-0.047299924,0.000101589,0.881304655,48.57,0.84,18.25,0.19,4.75,9.36,3.62,0.62,0.11,9.931666517,2.38289892
AC4_OL48_021720_256s_25x25_CO2_a,0.921124977,-0.311800734,0.101115475,-0.108164762,0.102910702,0.000115512,0.610917978,53.32,1.16,16.94,0.17,3.86,7.13,4.41,1.03,0.2,8.522713939,3.01565178
AC4_OL48_021720_256s_25x25_CO2_b,0.935790713,0.014106854,0.119252276,-0.093867071,0.056443854,0.00016511,0.59163603,53.32,1.16,16.94,0.17,3.86,7.13,4.41,1.03,0.2,8.522713939,3.02640451
AC4_OL48_021720_256s_25x25_CO2_c,0.917308955,-0.298575165,0.102490267,-0.129144203,0.082652757,0.00011805,0.608858692,53.32,1.16,16.94,0.17,3.86,7.13,4.41,1.03,0.2,8.522713939,3.03199846
AC4_OL48_021720_256s_25x25_H2O_a,0.82147818,-0.878966846,0.100098244,-0.293902138,0.011389495,9.67E-06,0.608964909,53.32,1.16,16.94,0.17,3.86,7.13,4.41,1.03,0.2,8.522713939,3.23000379
AC4_OL48_021720_256s_25x25_H2O_b,0.841700802,-0.666522536,0.102780374,-0.261728414,0.005425913,4.78E-05,0.597567097,53.32,1.16,16.94,0.17,3.86,7.13,4.41,1.03,0.2,8.522713939,3.23865542
AC4_OL48_021720_256s_25x25_H2O_c,0.8126421,-0.961840206,0.099281107,-0.300219163,0.015728923,-6.82E-06,0.612995163,53.32,1.16,16.94,0.17,3.86,7.13,4.41,1.03,0.2,8.522713939,3.23657632
AC4_OL49_021920_30x30_CO2_a,2.246799072,4.962642678,0.666073727,0.75,-0.516517517,0.000847102,1.165074565,52.34,1.04,17.92,0.2,3.63,7.72,4.25,0.78,0.14,8.76670476,1.81238068
AC4_OL49_021920_30x30_CO2_b,2.371751751,5.444552693,0.610021847,0.75,-0.565345637,0.000996362,1.145329409,52.34,1.04,17.92,0.2,3.63,7.72,4.25,0.78,0.14,8.76670476,1.93677935
AC4_OL49_021920_30x30_CO2_c,2.381505073,4.877640815,0.650235616,0.637703911,-0.58762164,0.000960468,1.169671172,52.34,1.04,17.92,0.2,3.63,7.72,4.25,0.78,0.14,8.76670476,1.94934252
AC4_OL49_021920_30x30_H2O_a,1.585021457,-0.019946028,0.711353137,-0.229083498,-0.00998243,0.000125732,1.256907288,52.34,1.04,17.92,0.2,3.63,7.72,4.25,0.78,0.14,8.76670476,2.42214417
AC4_OL49_021920_30x30_H2O_b,1.596881672,0.006577947,0.695778332,-0.212894856,-0.015837998,0.000129544,1.254357558,52.34,1.04,17.92,0.2,3.63,7.72,4.25,0.78,0.14,8.76670476,2.33244344
AC4_OL49_021920_30x30_H2O_c,1.599270985,-0.114658034,0.687314318,-0.226730499,-0.018326144,0.000114264,1.261950126,52.34,1.04,17.92,0.2,3.63,7.72,4.25,0.78,0.14,8.76670476,2.42563955
AC4_OL50_021920_20x20_a,1.319884991,3.383475139,0.262929616,0.30509371,-0.200464494,0.000593764,0.57807649,51.86,1.07,16.95,0.22,3.92,7.09,4.24,0.97,0.2,9.383684874,2.667087
AC4_OL50_021920_20x20_b,1.328092543,3.562743369,0.266556469,0.322504206,-0.199163828,0.000632124,0.560932172,51.86,1.07,16.95,0.22,3.92,7.09,4.24,0.97,0.2,9.383684874,2.65759134
AC4_OL50_021920_256s_20x20_c,1.27225149,3.009470772,0.258526773,0.255704262,-0.156403628,0.000533248,0.587611553,51.86,1.07,16.95,0.22,3.92,7.09,4.24,0.97,0.2,9.383684874,2.6622265
AC4_OL51_021920_15x20_a,1.596170556,5.294247002,0.306809234,0.22496083,-0.502185389,0.000831852,0.66245174,54.63,1.15,16.41,0.22,3.75,6.54,4.22,1.2,0.15,8.962698641,2.52678431
AC4_OL51_021920_15x20_b,1.562509208,4.876840998,0.240300031,0.164593406,-0.455560024,0.000761189,0.689935205,54.63,1.15,16.41,0.22,3.75,6.54,4.22,1.2,0.15,8.962698641,2.48945244
AC4_OL51_021920_15x20_c,1.520787783,4.606776394,0.255689784,0.146297636,-0.434307909,0.000701915,0.70073593,54.63,1.15,16.41,0.22,3.75,6.54,4.22,1.2,0.15,8.962698641,2.50406054
AC4_OL53_101220_256s_30x30_a,0.828098336,1.063441197,0.48555672,-0.021804578,-0.009614359,0.000257014,0.49205964,47.95,1,18.88,0.19,4.34,9.84,3.47,0.67,0.11,9.285687933,4.03892744
AC4_OL53_101220_256s_30x30_b,0.833094841,1.097075232,0.488371481,-0.019714043,-0.010735938,0.000265162,0.49075,47.95,1,18.88,0.19,4.34,9.84,3.47,0.67,0.11,9.285687933,4.02991798
AC4_OL53_101220_256s_30x30_c,0.824515756,1.036052415,0.491834977,-0.028477888,-0.011205338,0.000252097,0.493742396,47.95,1,18.88,0.19,4.34,9.84,3.47,0.67,0.11,9.285687933,4.01684381
AC4_RH1_OL2_022120_256s_30x30_a,1.609208782,2.162081417,0.434425522,-0.011941228,-0.390654592,0.000656233,0.76480513,53.65,1.22,16.14,0.2,4.5,6.72,3.98,0.99,0.2,9.344686403,2.66071797
AC4_RH1_OL2_022120_256s_30x30_b,1.628933936,2.41006108,0.437229468,0.029185273,-0.401103852,0.000699483,0.749560436,53.65,1.22,16.14,0.2,4.5,6.72,3.98,0.99,0.2,9.344686403,2.60696411
AC4_RH1_OL2_022120_256s_30x30_c,1.63575273,2.496197786,0.441049499,0.04095587,-0.407654722,0.00071441,0.744085885,53.65,1.22,16.14,0.2,4.5,6.72,3.98,0.99,0.2,9.344686403,2.53558413
AC4_RH1_OL3_MI1_022120_256s_20x25_a,0.997153478,4.305130026,0.245941172,0.326109527,-0.355084735,0.000801874,0.268832376,49.32,1.12,16.9,0.26,5.14,7.84,3.52,0.77,0.14,11.7706038,3.0571644
AC4_RH1_OL3_MI1_022120_256s_20x25_b,1.013765522,4.431477746,0.24228199,0.335920732,-0.370802797,0.000825986,0.26441305,49.32,1.12,16.9,0.26,5.14,7.84,3.52,0.77,0.14,11.7706038,3.07982404
AC4_RH1_OL3_MI1_022120_256s_20x25_c,1.004705397,4.302539169,0.250058413,0.315149393,-0.365758003,0.000807569,0.271228943,49.32,1.12,16.9,0.26,5.14,7.84,3.52,0.77,0.14,11.7706038,3.07378848
AC4_RH1_OL3_MI2_022120_256s_20x20_a,0.704120134,0.95678653,0.091421989,-0.205179138,-0.078240885,0.000261467,0.498052698,47.77,0.84,17.03,0.25,5.14,8.27,3.31,0.66,0.11,13.29755332,2.65127475
AC4_RH1_OL3_MI2_022120_256s_20x20_b,0.70238447,0.941780491,0.091600716,-0.21083969,-0.074191525,0.000259567,0.498718052,47.77,0.84,17.03,0.25,5.14,8.27,3.31,0.66,0.11,13.29755332,2.66303
AC4_RH1_OL3_MI2_022120_256s_20x20_c,0.74557076,1.566737382,0.112962891,-0.123461367,-0.104359635,0.000360743,0.463970855,47.77,0.84,17.03,0.25,5.14,8.27,3.31,0.66,0.11,13.29755332,2.63687129
AC4_RH3_OL1BIG_022120_256s_20x25_a,1.282595788,2.507159732,0.340807797,0.010752887,-0.315056154,0.000500301,0.565981624,53.95,1.18,16.45,0.24,4.39,6.52,4.4,1.06,0.18,9.187690993,2.86458628
AC4_RH3_OL1BIG_022120_256s_20x25_b,1.263281976,2.213551562,0.328133166,-0.033514039,-0.298584831,0.0004538,0.583044078,53.95,1.18,16.45,0.24,4.39,6.52,4.4,1.06,0.18,9.187690993,2.84983287
AC4_RH3_OL1BIG_022120_256s_20x25_c,1.253083952,2.087278398,0.319597669,-0.048609516,-0.283388999,0.000422802,0.592490817,53.95,1.18,16.45,0.24,4.39,6.52,4.4,1.06,0.18,9.187690993,2.87261783
AC4_RH3_OL1SMALL_022120_256s_20x25_a,1.42100671,4.280960155,0.446495148,0.334981444,-0.494425963,0.000883841,0.447344814,53.95,1.18,16.45,0.24,4.39,6.52,4.4,1.06,0.18,9.187690993,2.72828292
AC4_RH3_OL1SMALL_022120_256s_20x25_b,1.413313573,4.209219165,0.457757064,0.328297343,-0.488907274,0.000870861,0.450572076,53.95,1.18,16.45,0.24,4.39,6.52,4.4,1.06,0.18,9.187690993,2.74255062
AC4_RH3_OL1SMALL_022120_256s_20x25_c,1.430692698,4.321659251,0.452751812,0.335690441,-0.503328946,0.000894431,0.446091665,53.95,1.18,16.45,0.24,4.39,6.52,4.4,1.06,0.18,9.187690993,2.75836436
AC4_RH3_OL2_022120_256s_30x30_a,1.130746901,2.412844841,0.151758651,0.195649531,-0.090069456,0.000594623,0.53552642,49.38,1.84,15.69,0.22,4.3,5.76,3.96,1.05,0.2,13.83553496,3.16603491
AC4_RH3_OL2_022120_256s_30x30_b,1.129633554,2.312806514,0.138683822,0.181471464,-0.089305531,0.000580823,0.542814148,49.38,1.84,15.69,0.22,4.3,5.76,3.96,1.05,0.2,13.83553496,3.13409948
AC4_RH3_OL2_022120_256s_30x30_c,1.133884231,2.372624719,0.139751266,0.190995917,-0.085861402,0.00059087,0.539429971,49.38,1.84,15.69,0.22,4.3,5.76,3.96,1.05,0.2,13.83553496,3.16874537
AC4_RH3_OL3_022120_256s_20x20_a,1.744522198,3.841634198,0.598290715,-0.039947341,-0.475971673,0.000647669,0.879822623,53.07,1.21,18.48,0.18,3.72,7.59,4.33,0.94,0.22,8.561712409,2.35454991
AC4_RH3_OL3_022120_256s_20x20_b,1.787011979,4.398766406,0.617540019,0.022115945,-0.513476058,0.000736215,0.852604253,53.07,1.21,18.48,0.18,3.72,7.59,4.33,0.94,0.22,8.561712409,2.58911006
AC4_RH3_OL3_022120_256s_20x20_c,1.710170723,3.9365872,0.619650185,-0.010616841,-0.461171441,0.000632258,0.869068619,53.07,1.21,18.48,0.18,3.72,7.59,4.33,0.94,0.22,8.561712409,2.39107009
21ALV1846-9_44x44_s1_EP_103um,1.355521427,3.520477365,0.100249803,0.467072495,0.103168631,0.000166025,0.722002617,49.67,0.57,17.45,0.16,6.95,13.46,2.07,0.71,0.13,7.03,1.387128309
21ALV1846-9_44x44_s2_EP_103um,1.38765829,3.060482131,0.212725543,0.41395998,0.07161857,8.64E-05,0.921517374,49.67,0.57,17.45,0.16,6.95,13.46,2.07,0.71,0.13,7.03,1.490364827
21ALV1846-9_44x44_s3_EP_103um,1.340476847,3.269956134,0.103242542,0.44787715,0.108715581,0.0001165,0.755781021,49.67,0.57,17.45,0.16,6.95,13.46,2.07,0.71,0.13,7.03,1.398400134
23WOK5-4_44x44_s1_EP_147um,1.421374731,0.21575487,0.061498512,-0.170533241,0.145857296,-0.000408464,1.236847242,50.88,1.27,17.22,0.15,7.57,10.74,3.15,0.19,0.16,8.11,1.043671437
23WOK5-4_44x44_s2_EP_147um,1.49038092,1.98789184,-0.05353284,0.112003159,0.069054979,-0.000130462,0.956208396,50.88,1.27,17.22,0.15,7.57,10.74,3.15,0.19,0.16,8.11,0.974798584
23WOK5-4_44x44_s3_EP_147um,1.511578651,1.832889255,-0.063023811,0.098050117,0.083562631,-0.000177144,1.052815769,50.88,1.27,17.22,0.15,7.57,10.74,3.15,0.19,0.16,8.11,1.010798667
ALV1833-11_44x44_s1_EP_108um,1.265266236,0.988937233,-0.195456883,-0.009286259,0.126051745,-0.000284484,0.908421329,51.13,1.04,17.16,0.15,7.55,11.92,2.86,0.25,0.18,7.55,1.023730768
ALV1833-11_44x44_s2_EP_108um,1.258597326,1.007718579,-0.199143306,-0.007757305,0.131539441,-0.000284467,0.885896842,51.13,1.04,17.16,0.15,7.55,11.92,2.86,0.25,0.18,7.55,1.02119915
ALV1833-11_44x44_s3_EP_108um,1.268627518,1.026384214,-0.193619075,-0.010367391,0.124010616,-0.000275307,0.888952608,51.13,1.04,17.16,0.15,7.55,11.92,2.86,0.25,0.18,7.55,1.020965926
CD33_12-2-2_VG9764_44x44_s1_EP_105um,1.372543562,0.17993401,-0.989992131,-0.154243096,0.221353192,-0.000366703,0.962918188,50.8,1.68,14.02,0.22,6.75,11.01,2.56,0.09,0.12,12.14,0.266193632
CD33_12-2-2_VG9764_44x44_s2_EP_105um,1.367665495,0.240977239,-0.98724894,-0.158666487,0.214988584,-0.000349422,0.935802914,50.8,1.68,14.02,0.22,6.75,11.01,2.56,0.09,0.12,12.14,0.263785097
CD33_12-2-2_VG9764_44x44_s3_EP_105um,1.375994205,0.274811413,-0.983535074,-0.15255812,0.21168437,-0.000342951,0.944392469,50.8,1.68,14.02,0.22,6.75,11.01,2.56,0.09,0.12,12.14,0.266843558
CD33_22-1-1_VG9812_44x44_s1_EP_73um,0.82818747,-1.765106649,-0.625836598,-0.166162706,0.341623324,-0.000640294,0.994772393,51.3,1.01,14.87,0.17,7.72,12.32,2.12,0.07,0.07,9.53,0.538808637
CD33_22-1-1_VG9812_44x44_s2_EP_73um,0.919000633,-0.349990691,-0.619728731,-0.049401293,0.23741305,-0.000356436,0.723164779,51.3,1.01,14.87,0.17,7.72,12.32,2.12,0.07,0.07,9.53,0.523105397
CD33_22-1-1_VG9812_44x44_s3_EP_73um,0.896814586,-0.666606603,-0.632990568,-0.094551993,0.268642807,-0.000391896,0.719014562,51.3,1.01,14.87,0.17,7.72,12.32,2.12,0.07,0.07,9.53,0.530471193
Fiege63_256s,1.529426048,-2.047498842,0.564470216,-0.646662398,0.316079213,-0.000889981,1.916169085,46.78,2.72,14.87,0.14,10.52,9.8,2.93,0.92,0.4,10.57,2.884956937
Fiege63_256s_2,1.744187916,-1.270842608,0.839434972,-0.506736109,0.056355472,-0.000595496,1.868209992,46.78,2.72,14.87,0.14,10.52,9.8,2.93,0.92,0.4,10.57,2.911825362
Fiege63_256s_3,1.778092943,-0.352245967,0.531138492,-0.448230714,0.21948746,-0.000551657,1.889430221,46.78,2.72,14.87,0.14,10.52,9.8,2.93,0.92,0.4,10.57,2.924850914
Fiege73_256s,0.938509137,-1.715392316,1,-0.75,0.75,-0.001338504,2.010563464,46.78,2.72,14.87,0.14,10.52,9.8,2.93,0.92,0.4,10.57,3.911817943
Fiege73_256s_2,0.907965635,-1.967275569,1,-0.75,0.75,-0.001391588,2.029322808,46.78,2.72,14.87,0.14,10.52,9.8,2.93,0.92,0.4,10.57,3.917967181
Fiege73_256s_2_highres,0.87988087,-1.795422134,1,-0.75,0.75,-0.001371881,2.01057608,46.78,2.72,14.87,0.14,10.52,9.8,2.93,0.92,0.4,10.57,3.878671346
Fiege73_2_256s,0.907965635,-1.967275569,1,-0.75,0.75,-0.001391588,2.029322808,46.78,2.72,14.87,0.14,10.52,9.8,2.93,0.92,0.4,10.57,3.917967181
STD_C1_020320_256s_20x50_a,0.518085735,-0.35791662,0.558558343,-0.213103247,-0.198664975,-2.43E-05,0.52832453,46.47,0.87,18.05,0.15,6.15,11.79,1.95,0.3,0.14,9.564701701,3.387936924
STD_C1_020320_256s_20x50_b,0.530968382,-0.276145915,0.553440483,-0.21159264,-0.207901815,-4.83E-06,0.528042689,46.47,0.87,18.05,0.15,6.15,11.79,1.95,0.3,0.14,9.564701701,3.398438234
STD_C1_020320_256s_20x50_c,0.523696558,-0.576453306,0.547030322,-0.250412422,-0.19929133,-4.60E-05,0.537267145,46.47,0.87,18.05,0.15,6.15,11.79,1.95,0.3,0.14,9.564701701,3.429328633
