,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,PH_4500_S2N,ERR_5200,ERR_4500
AC4_EUH102_030920_256s_15x20_a,2.711240067288831,0.26655405641212454,2.711240067288831,0.26655405641212454,-,1.0329199368927522,0.17240436101982898,253.8962722353369,37.89283590050507,236.69953162066815,52.13455386803248,271.09301285000566,55.00414841911148,1.2666912373510606,0.2797644499273715,1.249587245442764,0.29938957308699393,3.62852631333965,4.414296938300191,*,-
AC4_EUH102_030920_256s_15x20_b,2.716638946275802,0.2675214318811495,2.716638946275802,0.2675214318811495,-,1.036413819407257,0.1731531510035308,282.4995431846998,38.09951215702207,279.42352083437146,53.204890660850616,285.57556553502815,54.548427256697515,1.2877602970198392,0.2827122866075524,1.0692102577672453,0.25679844258188095,3.3002873558163386,4.742229617965848,*,-
AC4_EUH102_030920_256s_15x20_c,2.740825390669946,0.2697646535876107,2.740825390669946,0.2697646535876107,-,1.0348828310916125,0.17234086856342926,256.4966564461759,37.128673073750235,262.443201640719,51.554530403053136,250.55011125163279,53.44421251913412,1.0548342565917523,0.2740137945293056,1.837795073960592,0.4364747385538647,2.793253347508299,4.524856219792343,*,-
AC4_EUH33_030920_256s_20x20_a,1.3869096422799507,0.13089632370405296,1.3869096422799507,0.13089632370405296,-,0.237800728346523,0.03975177240965876,96.55607050399396,31.10369762640343,55.296698668774106,32.76113131488601,137.81544233921383,52.881644254956115,0.40975873012867003,0.08226155551183924,1.239329194070425,0.2902255138514538,1.7375573686878683,5.133869994622923,*,-
AC4_EUH33_030920_256s_20x20_b,1.391496432901291,0.1311821910214468,1.391496432901291,0.1311821910214468,-,0.2399942831980089,0.04000787389975098,89.72935441286997,30.373824917628834,47.0899420492471,30.65467590873243,132.36876677649283,52.44585594151039,0.40554190452259453,0.08142138283169129,1.1310286163145142,0.24966520916542467,1.2899415819373974,5.637653596705687,*,-
AC4_EUH33_030920_256s_20x20_c,1.3892236305884118,0.13131704706652586,1.3892236305884118,0.13131704706652586,-,0.23789878442435308,0.03969410132970991,85.82713576076898,29.42433717581607,41.844562441909105,29.31635982605644,129.80970907962887,51.02663539264205,0.39878972360760506,0.08508899065750376,1.139234919464587,0.2514671594617503,1.52343072477988,5.378954910594732,*,-
AC4_OL21_012821_256s_20x20_a,2.784663076482487,0.3418298528750039,2.784663076482487,0.3418298528750039,-,1.0540551285999724,0.19111039492755408,423.02642753057205,77.98381389943877,411.8383922297181,104.25442955890517,434.214462831426,116.00394320261911,1.024349361101191,0.23399519659997295,1.4405163258697642,0.3550993881279667,1.2815013280476686,3.638058780593711,*,*
AC4_OL21_012821_256s_20x20_b,2.77058684079123,0.33894447647237413,2.77058684079123,0.33894447647237413,-,1.0826168176266586,0.19679721704135905,598.4289097920692,87.33192273383561,619.8801394143738,117.03491817537896,576.9776801697647,129.6544902471059,1.1176961115878246,0.29349006070764083,1.115557748520685,0.2762664861535106,1.3875845643098783,3.7205102523165294,*,*
AC4_OL21_012821_256s_20x20_c,2.8036013541086455,0.34369155654460454,2.8036013541086455,0.34369155654460454,-,1.0664199053860557,0.19363692014238096,479.1163968463628,80.77352677080954,468.42202583300684,107.04841780692729,489.81076785971874,120.98796119041047,1.2864304769520478,0.3056172891354409,1.3760354482804822,0.34242766809387837,2.5451358517562808,2.579896859764041,*,*
AC4_OL21_012821_256s_20x25_a,2.712283371786561,0.33229241832722944,2.712283371786561,0.33229241832722944,-,1.0094499960672094,0.18347202320895334,244.29776046503167,47.583798422249494,1.8119779681148522e-20,24.659659176583787,488.59552093006334,91.91720567147274,0.3515092449642622,0.08173466096465343,1.5598468610194298,0.38385930080928005,0.9615760056121383,4.149120776595627,*,-
AC4_OL21_012821_256s_20x25_b,2.70981261142362,0.33191235596717866,2.70981261142362,0.33191235596717866,-,1.0062168387855983,0.18263783219392218,237.78847958758922,47.336815633414076,7.560400951608037e-32,27.63398765492414,475.57695917517844,90.55086517275714,1.150423333055746,0.26924779588755743,1.5482266524596784,0.37687825912097134,1.6937925849795226,2.679242249635975,*,*
AC4_OL21_012821_256s_20x25_c,2.7131135429486903,0.3330054782595693,2.7131135429486903,0.3330054782595693,-,1.007318395220609,0.18300825545788457,249.8654284188499,47.46034913859864,4.68683961005853e-24,25.208924203494455,499.7308568376998,91.5120161614484,0.890725587188347,0.20205295750094415,1.9351342370332718,0.4741945271993824,1.3617437578644,3.071591030767005,*,*
AC4_OL24_020320_256s_25x25_CO2_a,2.2357720297530577,0.19256804513353243,2.2357720297530577,0.19256804513353243,-,1.283014009763042,0.19324415311065776,413.3716205253562,43.31352718026537,452.8894787037476,58.357683869528444,373.8537623469648,64.02052233906349,1.1972317036712534,0.2314659348243009,1.0555304884870427,0.22328824270668104,5.003325198092388,5.553622588742376,-,-
AC4_OL24_020320_256s_25x25_CO2_b,2.2132976480090547,0.19067974703560764,2.2132976480090547,0.19067974703560764,-,1.2772801855193305,0.19251476678195295,415.46486284375413,43.05724570420131,459.8767000930236,58.27042745608579,371.05302559448467,63.40554324830669,1.1936316992299623,0.23132997653097329,0.9736783836167762,0.20618042226240735,6.048251910019346,6.349984179681745,-,-
AC4_OL24_020320_256s_25x25_CO2_c,2.2025685175803886,0.19005028357442105,2.2025685175803886,0.19005028357442105,-,1.2763762626635877,0.19214392150231893,419.8322637420738,43.806831053459,464.42307807546456,58.7804431041426,375.2414494086831,64.96932581046116,1.1645987386061216,0.22812984127693067,1.0452774458130087,0.22144722423412166,3.519523442730627,9.745640692315208,*,-
AC4_OL24_020320_256s_25x30_H2O_a,2.743356031769512,0.23649793687664508,2.743356031769512,0.23649793687664508,-,1.2166235348461067,0.1833307389303207,593.8384121794056,49.87837675548507,580.2155059084146,65.49531602340276,607.4613184503966,75.24475696048898,1.0061416658186866,0.1942186115241481,1.1610834937233916,0.2471922478004917,5.799957908387434,9.039916524106857,-,-
AC4_OL24_020320_256s_25x30_H2O_b,2.793837509035168,0.24067381944328814,2.793837509035168,0.24067381944328814,-,1.2517346501776234,0.18842172708557026,598.8215168861964,49.054397292195716,607.7275178742697,65.89774636176382,589.915515898123,72.68302827512731,0.9965594168799997,0.19225862426246754,1.3044907906463903,0.27764635096545726,4.42471158373912,9.134293919260356,-,-
AC4_OL24_020320_256s_25x30_H2O_c,2.7986144406766362,0.24104293386227316,2.7986144406766362,0.24104293386227316,-,1.2399384123730681,0.18691199225925972,607.6598400517814,49.782446715488675,609.1801189934179,66.22811926476622,606.1395611101451,74.34382437414541,1.0382574433152207,0.2003706240624391,1.267578036902453,0.2695380947472117,5.708032795673567,9.641421393934412,-,-
