,AVG_BL_BP,PCA1_BP,PCA2_BP,PCA3_BP,PCA4_BP,m_BP,b_BP,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
AC4_EUH102_030920_256s_15x20_a,0.5233642832547972,-1.0618489790903611,0.5080793244164139,-0.187672706863506,0.20190753792091246,-0.0003666555036885867,0.8524500223185921,0.8365512649800266,0.011519294818821527,0.17261671243624954,0.013588828354937691,0.11023885084349425,0.0029603565960974044,0.1069362154007999,0.16584221094415935,0.05760024782627635,0.007324840764331209,0.0011272011243831216
AC4_EUH102_030920_256s_15x20_b,0.4568990591860082,-1.7155729338575354,0.4946163126012594,-0.26017255782468923,0.275560874183607,-0.0004800052660532857,0.8913793505042451,0.8365512649800266,0.011519294818821527,0.17261671243624954,0.013588828354937691,0.11023885084349425,0.0029603565960974044,0.1069362154007999,0.16584221094415935,0.05760024782627635,0.007324840764331209,0.0011272011243831216
AC4_EUH102_030920_256s_15x20_c,0.5291361760889228,-0.8867649703507527,0.5107496390090814,-0.16826198064139428,0.19619154605725114,-0.00034282288374298976,0.8474756936704717,0.8365512649800266,0.011519294818821527,0.17261671243624954,0.013588828354937691,0.11023885084349425,0.0029603565960974044,0.1069362154007999,0.16584221094415935,0.05760024782627635,0.007324840764331209,0.0011272011243831216
AC4_EUH33_030920_256s_20x20_a,1.2502674486014402,5.257992002436727,-0.37136972304625293,0.5777384192314657,-0.07509515487925401,0.0006727577221751497,0.3997473470648736,0.8824900133155793,0.01202013372398768,0.1792859945076501,0.013526207026113094,0.10982127943878403,0.0032422953195352525,0.08634293030041384,0.12803731984721117,0.07228266393885661,0.012208067940552016,0.001972601967670463
AC4_EUH33_030920_256s_20x20_b,1.274493750094147,5.41404660570529,-0.3673631354982965,0.5908025176332281,-0.09259086424678216,0.0007091980662969963,0.39348798915589295,0.8824900133155793,0.01202013372398768,0.1792859945076501,0.013526207026113094,0.10982127943878403,0.0032422953195352525,0.08634293030041384,0.12803731984721117,0.07228266393885661,0.012208067940552016,0.001972601967670463
AC4_EUH33_030920_256s_20x20_c,1.2753562141477608,5.54219539424731,-0.35981967377688723,0.6102836196130198,-0.10201265627555113,0.0007233933821380103,0.3853333073719568,0.8824900133155793,0.01202013372398768,0.1792859945076501,0.013526207026113094,0.10982127943878403,0.0032422953195352525,0.08634293030041384,0.12803731984721117,0.07228266393885661,0.012208067940552016,0.001972601967670463
AC4_OL21_012821_256s_20x20_a,0.4434349649226906,-1.0863425697692821,-0.30735259447421137,-0.14210293109885372,0.11282627129687645,-0.0002639677174029189,0.4841874490641423,0.8382157123834887,0.01565121578644229,0.17173401333856417,0.013025236395516313,0.10564556539168199,0.002537448510940632,0.09378628636079435,0.1467614404376808,0.06469943803455691,0.009023354564755838,0.001409001405478902
AC4_OL21_012821_256s_20x20_b,0.3320142236204434,-1.4509920239186782,-0.32325781151211685,-0.04617518597902676,0.20147067278937056,-0.00038618654561411916,0.4838503328389841,0.8382157123834887,0.01565121578644229,0.17173401333856417,0.013025236395516313,0.10564556539168199,0.002537448510940632,0.09378628636079435,0.1467614404376808,0.06469943803455691,0.009023354564755838,0.001409001405478902
AC4_OL21_012821_256s_20x20_c,0.4847699038423492,-0.5349848350790019,-0.32890481212753264,-0.04028396426901699,0.09500552463074637,-0.00018317068024826058,0.4536156661239251,0.8382157123834887,0.01565121578644229,0.17173401333856417,0.013025236395516313,0.10564556539168199,0.002537448510940632,0.09378628636079435,0.1467614404376808,0.06469943803455691,0.009023354564755838,0.001409001405478902
AC4_OL21_012821_256s_20x25_a,1.286537177132458,6.997389969652227,0.13251666458545364,0.5329153493866164,-0.4929317995466258,0.001305592953200033,0.08643548346386075,0.8382157123834887,0.01565121578644229,0.17173401333856417,0.013025236395516313,0.10564556539168199,0.002537448510940632,0.09378628636079435,0.1467614404376808,0.06469943803455691,0.009023354564755838,0.001409001405478902
