,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD
AC4_EUH102_030920_256s_15x20_a,1.2103872978522416,1.957924804096199e-05,1.524134,0.3142694326790509,-,0.24605813489054146,0.003069885144992232,0.019893489064893143,0.003337592430309729,1517.5107330086564,6.095169205966538,30.56520586229708,3.8946361268544387,0.02272408587905122,0.003468751436678322,1434.8274701631683,4.123983139139305,25.578459901246603,2.8831875762160237,0.010924621267860776,0.0013000481460641398,0.010582607391059965,0.0009489751420162606,5.018519990213393,-,6.744548991714189,-,0.41227999152978245,0.051988881082999684,-1.8380259304769564,0.5429470107676161,0.4924974327857143,0.019878423133163122,-0.2533248093005874,0.0732963097292093,0.27005078182880554,0.040181863773322,-0.0005327447868590485,9.187742258234679e-05,0.8910927279847375,0.02798568206437636,0.017531414067581765,0.0144339450756798,-0.12295968742554625,0.016505933358831076
AC4_EUH102_030920_256s_15x20_b,1.2127326880811296,1.1181527167441697e-05,1.520704,0.32234649341990124,-,0.2452806705888158,0.003091530126497668,0.022346733681355948,0.0033787900737208597,1514.9461566454124,5.606045566421803,30.25130368134891,3.9354178856295756,0.02406753726948306,0.0035403198202457204,1434.5028693230654,4.1285647871743505,25.333519278191325,2.8218620683137168,0.011555712386288898,0.0008320860033694283,0.010768617195061518,0.0004638023992254341,4.645948847192711,-,8.779257068943105,-,0.4546232518928991,0.056369218710886064,-1.2378953451427592,0.5867684056136716,0.5425042489330658,0.02012272898346719,-0.19397816669775528,0.07875158698986191,0.24936064663873056,0.044020293682141394,-0.0004231898614807653,9.942576158625438e-05,0.8625606989483148,0.03016837528866002,0.02839056850064995,0.014533306443467583,-0.11711838263061089,0.016126210838983336
AC4_EUH102_030920_256s_15x20_c,1.2232303956064214,1.1835818273219034e-05,1.515157,0.31904757226823544,-,0.24578042883795556,0.0031492818345369602,0.022048130725071922,0.0032800358489327593,1520.6998780700749,5.808615831570559,32.047894638778224,3.725165777360333,0.021543562894090703,0.003528350642307982,1436.5569294966135,4.22830952621591,26.29367651204693,3.1136945808129504,0.011539777393069195,0.0016896139275825606,0.012550774578404094,0.0009566632536584989,4.725949878217883,-,5.539845825793687,-,0.4829591199736018,0.06389295539618521,-0.906432891735029,0.6633638769722463,0.5297030264541474,0.0205204443839379,-0.1434214075690757,0.08718531601073824,0.21655565500681945,0.05074441639480293,-0.0003760892127590735,0.00011255705106808798,0.8440018453515091,0.03399124817542489,0.023465093690611033,0.014847895207805035,-0.1235529367826129,0.016913986316784688
AC4_EUH33_030920_256s_20x20_a,0.6832144858915624,4.6490804619328295e-05,0.8172756,0.13922953392718265,-,0.06472015418419641,0.002962386275278242,0.0017545119209515056,0.0017371223051332921,1534.9999999999998,9.684925337637644,29.175253981598665,3.959828407896757,0.00874939248809864,0.00330236025186475,1415.0000000000002,4.444542734025809,27.693978494625753,3.735596776814026,0.004879927641844789,0.0007401726736546573,0.011182061384494721,0.000392305154491187,2.8168910740896576,*,7.191665371385565,-,0.9963637454424343,0.044155614878561886,2.7520350688952053,0.4530071011443121,-0.409088746913163,0.018683125935531415,0.29426641989133107,0.05755228971807755,0.11625566502152378,0.03954027088330592,0.0002227009765539099,7.699766620246843e-05,0.5185201643246544,0.023023408964446105,0.03122918991925264,0.014394705258038647,-0.047013569782775703,0.01293708256148839
AC4_EUH33_030920_256s_20x20_b,0.6854433918292283,4.422372623694092e-05,0.8181513,0.13892248385969896,-,0.06465257534146006,0.0029915065572654054,0.0012797517816847508,0.0017224629048570722,1534.9999999999998,9.573059836591831,29.4925170661894,3.9556147494017764,0.00859143707097197,0.0033587735791922764,1415.0000000000002,4.503390486194242,27.67379433069189,3.7843697486488193,0.004717753057500923,0.0008314432156500465,0.010859905450668547,0.0005843881957280221,2.035866027679324,*,8.612906973978912,-,0.9897746264472315,0.04220799225038605,2.7515611184282847,0.43405208031813236,-0.39949289517224923,0.01869869002699588,0.30260886117505353,0.0553965900685933,0.12322831237953082,0.03808323163324124,0.00022035336236086983,7.367884090135503e-05,0.5168923706539384,0.022114190781950586,0.03686484000125782,0.014277763825122924,-0.04841446743459763,0.012981260963182896
AC4_EUH33_030920_256s_20x20_c,0.6843393550186652,4.337211604193689e-05,0.8196414,0.13878983852804977,-,0.06375704873942352,0.003029306223668237,2.3983333499440214e-30,0.0014076171366049102,1508.852502389126,9.669355974955124,30.000000000000007,4.064562581583395,0.008410853188451067,0.003374163069357766,1415.0000000000002,4.2091695124144435,27.70784517363157,3.7590236770729977,0.004728808491243252,0.0011112381883938564,0.011655063819070019,0.0009855024142514288,2.452756722787155,*,8.679776348379798,-,1.0178034167149645,0.035293551660441236,2.9999999999999996,0.35955572785542655,-0.3687195779912874,0.018742531999268296,0.3105005034960972,0.04666175346518959,0.09196986789917866,0.033385704328732675,0.0002749760777559881,6.1029504641708414e-05,0.5038679691142715,0.018293251628253796,0.03992506678834404,0.014187228918804307,-0.0529774034783522,0.012723449885499512
AC4_OL21_012821_256s_20x20_a,0.8617023556234177,0.0012086559015187087,0.9665232,0.11149244807395374,-,0.1731201740211178,0.0030602388281854805,0.015296616002379516,0.003875640390159061,1516.3718361792232,6.51919846083036,27.589967530285435,3.616427752260162,0.02185439248325279,0.004429377718957486,1415.0000000000002,2.6585137079837686,33.67791708147538,3.791058198072269,0.005474687299970744,0.0009316546830995236,0.007600652170698591,0.00027473516684959633,1.5459646049415738,*,4.981678950150843,-,0.7984851486716702,0.027792480001992206,2.9999999999999996,0.27779001517560414,-0.05551274812109469,0.019932003721595815,0.2734662046479604,0.040684240485716706,-0.217989007117862,0.03249007142034482,0.00047631115199865134,4.756376930905598e-05,0.2611768530170236,0.014342811500880086,0.032678453212483555,0.014450171869459691,0.0019612210002801674,0.01505288767902845
AC4_OL21_012821_256s_20x20_b,0.8574703745505592,0.0008279952103546215,0.9566054,0.10949791885583948,-,0.18099541866371027,0.0030509474943079215,0.024643348630053425,0.003924918290399606,1516.7721171473036,4.539492078551602,30.380504851328165,3.390184599546304,0.02407890664207802,0.004511207393138309,1416.0776494863976,3.5359780654671185,34.095041482417145,3.588119794757123,0.005844152304474493,4.578148491254243e-05,0.006738128119238595,0.000254241318952907,1.639984475994171,*,5.821581292304322,-,0.8030918027793457,0.028113483773054962,2.9999999999999996,0.2816765590520635,-0.11305757962783146,0.020092960508145147,0.32308268924516464,0.04209986607622609,-0.23737483057652473,0.03256713000365502,0.0004710383344314782,4.819977121231346e-05,0.261030193460156,0.014579197764569915,0.021618903435511563,0.01447620591078792,0.0471717448589865,0.01591774909293417
AC4_OL21_012821_256s_20x20_c,0.867399291017215,0.0019677320734150672,0.9680783,0.11171096735013816,-,0.17281377861288966,0.003080932835304947,0.012922702139702749,0.003856324416525322,1519.2539395736806,7.079763573586665,27.33978236430354,3.7324257605479727,0.021989504665554518,0.004393475890800069,1415.0000000000002,2.115966555234733,34.16824988785375,3.7399787591812816,0.006577215222776499,0.0005723263342340405,0.007317879284931647,0.0006514760449590235,2.9314328102941705,*,3.48787900279448,*,0.802676000283093,0.019973574821642203,2.9999999999999996,0.1920273306779135,0.0004892464611836475,0.019406825109090857,0.2405046935665701,0.031360163228970006,-0.23323738379961229,0.028502873176913666,0.0004963462068502554,3.319800104735531e-05,0.257876896679156,0.010038829018713271,0.046931452853076136,0.014175286964801413,-0.003138971589033898,0.014529709385280157
AC4_OL21_012821_256s_20x25_a,0.8399180918907382,0.0016589157009055198,0.94686,0.12350920859455836,-,0.16527959019888847,0.0029999637756808993,4.222379177985666e-28,0.0010761403915897584,1508.7624082404545,10.005591574363132,30.000000000000032,4.0901365061279735,0.028604957334494717,0.003531035993164949,1415.0000000000002,1.054603933734616,36.07291723702843,2.9257510796092663,0.007904799023330371,0.0009208739012016758,0.00648619564931464,0.00026906077657995,4.834288870550925,-,4.514396662359434,-,0.6150048019407228,0.06349533415254506,1.1553895465169917,0.6594130180167238,0.15740009808216945,0.019131680203932695,-0.05526235325416491,0.08131033216663507,0.021897191119904003,0.05732700901017443,0.00021963916327556607,0.00011128537023476018,0.3478305884999479,0.03331610982240207,0.06152456947730346,0.01423284438734416,-0.03161792068457982,0.013145412480853685
AC4_OL21_012821_256s_20x25_b,0.8391725526384871,0.001871197258093256,0.9504877,0.120635587895052,-,0.1647565021569374,0.0030064093195220137,5.601882171659823e-41,0.0010430080578962384,1534.9844389238538,9.976129109294286,29.99999999999997,3.715604806755667,0.02856140777865072,0.0033979456943593928,1415.0000000000002,0.9676804941849922,35.390219922019924,2.9030111971490884,0.007464064476457761,0.00010724183056517642,0.007344136911355564,0.0007516018485538151,2.4762927465687583,*,3.329509840783437,*,0.6803401944195727,0.06211625114598671,1.7451262271544759,0.6441380547363602,0.15600690170863601,0.01900966842565971,0.010259807168040655,0.0795493421016687,-0.03514335155857818,0.05620630208714862,0.00032694093836361913,0.00010876129211718405,0.3170174160465929,0.03252187838113887,0.05899529082931047,0.01446940617551173,-0.035461179827773415,0.013000060647363506
AC4_OL21_012821_256s_20x25_c,0.8401688202378731,0.0018128909816074094,0.9523702,0.12252156878957877,-,0.16516659458269253,0.0029932076002285846,1.3767309471110417e-19,0.0012257353406622455,1500.0122466845448,9.956904656403312,30.0000000000004,4.0702143602900875,0.028613114173206403,0.0034900865384912792,1415.0000000000002,1.1663686929667467,35.268653539582544,3.0605786939449304,0.006155726937699956,0.0006601968250887744,0.007512094108720678,0.00021153001954514431,2.118867768135486,*,3.1224292530833506,*,0.5432860922308073,0.06961601167140366,0.4550644634339608,0.721628314760663,0.12286526155016048,0.0192939581485928,-0.11837026828550262,0.08877191172375672,0.0782774418294079,0.062036090409766736,8.441198345843302e-05,0.00012181306644376639,0.3844931479681099,0.03640167429835905,0.05757517134052951,0.014811011428704586,-0.031290791569647716,0.013539528735450009
AC4_OL24_020320_256s_25x25_CO2_a,1.379724509102872,0.004357165079401451,1.660588,0.2976652508777538,-,0.4433424835495966,0.003204499471283157,0.060249875245374916,0.003936638323975687,1527.4796973997607,2.543697129955386,34.08090788633414,2.671859266817939,0.05656328874936539,0.004700905493961563,1419.3124495051768,2.125790259888589,35.02585640195653,2.387940445294431,0.01536620926675506,0.0009743123287614531,0.01164814531112286,4.351117705898436e-05,6.552661408144142,-,7.660938640177413,-,1.2024011950243096,0.07052373697329044,1.2042194742242556,0.7288489309686631,0.42185000950010915,0.021665089164847117,-0.07922026265182991,0.09555299152625736,-0.0809624445322437,0.06124634614915931,9.382022771423528e-07,0.00012380317544923632,0.9164806642161413,0.03723735524112489,0.01669844274456967,0.015166601730663495,0.05874558739955435,0.02470460246529948
AC4_OL24_020320_256s_25x25_CO2_b,1.366160952130514,0.004403841210638524,1.662697,0.29884343986240636,-,0.44134412708283616,0.003161272369124546,0.0624597186254264,0.0039181245005426545,1526.259331228975,2.432157360065167,33.777040860359016,2.6678875253170142,0.05861528068099712,0.004865824020034243,1418.9422083528268,2.080433982182265,35.46503601642792,2.3461210097405094,0.014061004895418276,0.0008144064949566498,0.009929075659923925,0.00014385602821526244,7.625992936396891,-,8.04990320530017,-,1.2754436217247922,0.06328709943658721,1.9446698582436712,0.6537332120289636,0.4319310496738814,0.021393985171193716,0.018369517771440445,0.08572840210554687,-0.12564528283770177,0.057655557547527846,0.00013418430949257933,0.00011089797576047476,0.8783516483131425,0.0333489204374818,0.010229692945524524,0.015055362482533103,0.07056251414940928,0.02456035715054277
AC4_OL24_020320_256s_25x25_CO2_c,1.3596786355883477,0.004310735738297931,1.669422,0.3008239708317153,-,0.43950924809549685,0.0031461671619270677,0.06173484642724464,0.003914594564420671,1527.8163195665786,2.5132082628579773,34.20213146341706,2.679461095599411,0.05897140112399361,0.004847696195787708,1418.9659449383194,2.059973704985718,35.979126891370335,2.2801310602672182,0.015834143076759847,0.0004955911311707376,0.010060272203965694,0.0001196078064117385,5.1291210322148295,-,11.471559433875791,-,1.2771320523004763,0.060840455222533237,2.1368300585528304,0.6285048754261051,0.4624627512897412,0.0211203529705189,0.03931443741304507,0.08301780178929773,-0.1270726410007685,0.05565082986998984,0.00016226539661057406,0.00010676746684068437,0.8658338144974961,0.032143776090109995,0.01691492689670085,0.014627200006843238,0.05651032153049164,0.025396362337340658
