,H2OT_MEAN,H2OT_STD,H2OT_3550_M,H2OT_3550_STD,H2OT_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,ERR_5200,PH_4500_S2N,ERR_4500,H2O_EXP,H2O_EXP_STD,CO2_EXP,CO2_EXP_STD
21ALV1846-9_44x44_s1_EP_103um,1.387128309130337,0.1081924749655268,1.387128309130337,0.1081924749655268,-,0.3330234207357322,0.0557289048059375,7.770651961961369,3.6645719300930617,2.9621116498762155e-34,1.1202054649671394,15.541303923922738,7.243030404434439,0.7413281117799958,0.178439074909583,1.0059632931699385,0.2573973000339128,17.131728416419776,-,8.75324017198633,-,1.89,0.19,,
21ALV1846-9_44x44_s2_EP_103um,1.4903648269838603,0.1164169308251232,1.4903648269838603,0.1164169308251232,-,0.3411481209820363,0.0571017315789426,16.10769478100888,6.329735048271279,5.389330897961538e-26,1.2713071136069836,32.21538956201776,12.59547384373242,0.7227301134162779,0.1785851093337643,0.8702595015281044,0.2230631803966515,12.388415800110986,-,9.730795215746944,-,1.89,0.19,,
21ALV1846-9_44x44_s3_EP_103um,1.398400134303837,0.1092026579322391,1.398400134303837,0.1092026579322391,-,0.3329333808444564,0.0557306689381197,10.128119878804087,4.366291952794663,1.1770048752800282e-25,1.1201224320126029,20.25623975760817,8.660447298232343,0.7050443880026165,0.1696422643685827,0.9995177673937552,0.2556583309907165,17.618603145221613,-,10.249104892706972,-,1.89,0.19,,
23WOK5-4_44x44_s1_EP_147um,1.0436714373711462,0.0784005828177895,1.0436714373711462,0.0784005828177895,-,0.1867973991961136,0.0313908827034228,20.05133294464109,5.604450932892961,2.0005762977574724e-22,2.564398206317553,40.10266588928218,10.911615044357752,0.3990232364704464,0.0999943824372229,0.5489201916850142,0.1416126842154328,9.736001411796336,-,8.894459241865942,-,1.6,0.16,64.0,6.4
23WOK5-4_44x44_s2_EP_147um,0.9747985844615942,0.0732400602275046,0.9747985844615942,0.0732400602275046,-,0.1777381164624038,0.0298691014674256,17.591627989666183,5.202960101432803,2.479307132956114e-22,2.189047542691533,35.183255979332365,10.17306473606861,0.42387082567045,0.1036127147264444,0.6415509645234869,0.1660571830261284,11.925778101428044,-,11.297509831985488,-,1.6,0.16,64.0,6.4
23WOK5-4_44x44_s3_EP_147um,1.0107986670112634,0.0759203181784096,1.0107986670112634,0.0759203181784096,-,0.1821075794538498,0.0305689453935595,17.628438255783486,5.400319770936123,1.3707882039711082e-16,2.308147702904966,35.25687651156697,10.551126418303822,0.4512019411947149,0.1098954878442377,0.6738525764184458,0.1747007631770844,19.97360576198945,-,12.449098706217844,-,1.6,0.16,64.0,6.4
ALV1833-11_44x44_s1_EP_108um,1.0237307677989556,0.0793673245509045,1.0237307677989556,0.0793673245509045,-,0.1060615375678189,0.0187165870371126,28.06132157491867,8.354712371842387,4.48603467525819,7.869005793457865,51.63660847457915,14.740543513975036,0.4617586070977135,0.1161734004571755,0.5719599581542606,0.1482497192941297,13.788354886001896,-,6.18261231584605,-,1.2,0.12,102.0,10.2
ALV1833-11_44x44_s2_EP_108um,1.021199150406028,0.0792609599203474,1.021199150406028,0.0792609599203474,-,0.1064295188447722,0.0187920282306144,25.3953762768889,8.156945004708746,1.2749695567958308,7.29416959475219,49.51578299698197,14.59239860894584,0.4703058350124317,0.1172703782667541,0.61032283536623,0.1609792751480865,15.080797364439908,-,7.282843770570449,-,1.2,0.12,102.0,10.2
ALV1833-11_44x44_s3_EP_108um,1.0209659261627446,0.0790838893098722,1.0209659261627446,0.0790838893098722,-,0.1061316576835369,0.018738093491779,26.42452569159635,7.964937376830908,1.5486636096353097,7.093023125410291,51.30038777355739,14.26358764861586,0.4569151451025801,0.1118986174588351,0.5701866902849325,0.1489610415449589,15.91082999583586,-,8.936403024621699,-,1.2,0.12,102.0,10.2
BF73_100x100_051823_sp1,0.818360626648183,0.0608511603434856,0.818360626648183,0.0608511603434856,-,0.0818017076855158,0.0147232240439012,2258.017371728445,62.60843732467609,2231.1933496674837,87.33122824006063,2284.8413937894065,89.73584719070755,0.5382790021100807,0.143667543477131,0.5054459951551435,0.1414818934239507,36.28671136625064,-,13.439968094569386,-,0.715,0.0715,2152.0,20.0
BF73_100x100_051823_sp2,0.829235926813833,0.0616023187152972,0.829235926813833,0.0616023187152972,-,0.0851807287138233,0.0152749090454139,2267.821605009017,62.60879107559488,2234.443551054384,87.23778608527404,2301.19965896365,89.82767701955741,0.5238966094422919,0.1404984044479389,0.4737427476914057,0.1324717483558764,34.24006382673283,-,13.815243382574524,-,0.715,0.0715,2152.0,20.0
BF73_100x100_051823_sp3,0.8246051339280623,0.0612093338802057,0.8246051339280623,0.0612093338802057,-,0.0772234880334508,0.0139194552690226,2213.3085296468475,61.36204053953914,2184.6024553950733,85.509541377067,2242.0146038986218,88.03021305317765,0.4516990370621853,0.1233008074550487,0.4427238299346129,0.1238409662771847,29.17340786646984,-,10.053469926233973,-,0.715,0.0715,2152.0,20.0
BF73_1_RA,0.7259594509059266,0.0605484202998693,0.7259594509059266,0.0605484202998693,-,0.1076230931083842,0.0214048097273664,2099.130286290648,81.65969805441647,1981.968083323322,109.03400946623532,2216.2924892579745,121.59280375528304,0.523343684974376,0.1414131513535336,0.7327244200337528,0.2183076317051128,3.05948039510166,*,7.632681631327515,-,0.715,0.0715,2152.0,20.0
BF73_2_RA,0.7300535234221746,0.0608344326729882,0.7300535234221746,0.0608344326729882,-,0.1041058818974969,0.0207362119689168,2101.753995011936,81.68563091149149,1979.766213759028,108.7551670188526,2223.741776264844,121.91178300859656,0.5140852461641731,0.166484656275807,0.7442869601287492,0.2131853786727917,3.5403539827729404,*,7.616881619351129,-,0.715,0.0715,2152.0,20.0
BF73_3_RA,0.7104809888123075,0.0592124425150192,0.7104809888123075,0.0592124425150192,-,0.1006748431468267,0.020270557277361,2065.566129919524,80.59397130500771,1939.576656105588,106.90898461059122,2191.5556037334595,120.63176137478054,0.4355277897811004,0.1280615585171571,0.6860850258077643,0.2058406547345359,3.205556215233573,*,5.3886974815142175,-,0.715,0.0715,2152.0,20.0
BF76_100x100_051823_sp1,0.7389307780364345,0.0559354179235677,0.7389307780364345,0.0559354179235677,-,0.0941644811403114,0.0172137747665321,1839.0111310077828,54.501074701220126,1823.90472473909,76.4889767029001,1854.117537276476,77.6589017260424,0.4813261604957742,0.1296846224777849,0.4090419488452002,0.1147142119525535,33.88963513069528,-,13.052166611675649,-,0.669,0.0669,2035.0,49.0
BF76_100x100_051823_sp2,0.748711939393931,0.0568066961297887,0.748711939393931,0.0568066961297887,-,0.0782348950960439,0.0145256402598386,1786.7591423944436,52.91702981424479,1759.3769850981776,73.60010181486862,1814.1412996907093,76.0517796654862,0.5008704918958281,0.1340495822447913,0.4469932684483993,0.1253978035400461,30.539655462386904,-,14.019451125312631,-,0.669,0.0669,2035.0,49.0
BF76_100x50_051823_sp3,0.7533568894966458,0.0570522372237122,0.7533568894966458,0.0570522372237122,-,0.0330211536232972,0.0075552436204693,1662.428568146975,49.519104198731405,1634.3378845613436,68.65353765457228,1690.5192517326066,71.38107935644781,0.4956253397459229,0.1361191495886104,0.4900978686749124,0.1406038759201304,20.53246907024968,-,8.458016210849086,-,0.669,0.0669,2035.0,49.0
BF76_1_RA,0.6667358466048465,0.0551859506706367,0.6667358466048465,0.0551859506706367,-,0.0723618268703817,0.0156805482622332,1674.5446277443034,64.72016371199771,1559.801023473924,85.12457719896315,1789.2882320146823,97.51207474117707,0.4431822962483964,0.1377554565932854,0.7651612703827245,0.219638272138198,3.4126766998089337,*,4.48050698938845,-,0.669,0.0669,2035.0,49.0
BF76_2_RA,0.6671640319837976,0.0553294318150996,0.6671640319837976,0.0553294318150996,-,0.0731797135547597,0.0158392498994891,1666.7349006656054,64.42062906090109,1552.597230764125,84.93543521112055,1780.872570567086,96.88158565953805,0.4586140541548538,0.1466158661581845,0.7308931325512271,0.2076876137279295,3.207075326526189,*,4.655246971885553,-,0.669,0.0669,2035.0,49.0
BF76_3_RA,0.6731979358343124,0.0557959389081307,0.6731979358343124,0.0557959389081307,-,0.0755522454932105,0.0161994828443004,1697.6628784211816,65.44600443469874,1583.566145090476,86.12587292603743,1811.7596117518872,98.56496334192224,0.470313624776538,0.1665877448879301,0.7082080065545269,0.2087920682590194,3.500655232338783,*,4.393942161883067,-,0.669,0.0669,2035.0,49.0
BF77_1_RA,0.7021268600073062,0.0584495057095044,0.7021268600073062,0.0584495057095044,-,0.0248401894812587,0.0099145313170129,629.1054764452031,27.388742326854103,539.4599302684511,34.04862538683341,718.751022621955,42.909951459472914,0.4695268189139165,0.1441621472504073,0.6641039529112566,0.1991473336391833,3.356839471213199,*,4.614171889234028,-,0.696,0.0696,703.0,19.0
BF77_2_RA,0.7025698314756357,0.0584209696545049,0.7025698314756357,0.0584209696545049,-,0.0199356576295787,0.0094420980148502,653.7403566220082,28.69571855105365,571.2818919326189,36.30666054683388,736.1988213113974,44.44776094003066,0.4974753647806095,0.1482356957460442,0.6776492475068723,0.2152264545677129,3.109039499020889,*,4.370294900282783,-,0.696,0.0696,703.0,19.0
BF77_3_RA,0.7005622706537984,0.0582385481511872,0.7005622706537984,0.0582385481511872,-,0.0231541256893851,0.0097854144521356,629.6455378940373,27.69185500338549,537.041653606387,34.35636616348855,722.2494221816876,43.43956075001683,0.4326246820430538,0.1304510386971202,0.7278486806558356,0.2085661965644839,2.3337938288849425,*,4.3615288167537605,-,0.696,0.0696,703.0,19.0
BF77_50x50_051823_sp1,0.875453369515902,0.0769627086948646,0.875453369515902,0.0769627086948646,-,0.0433523601058978,0.0134247785902681,705.2072620424883,34.901751470217285,712.7106993224266,48.81917895313401,697.7038247625499,49.89205136188664,0.5915401420957325,0.1820003662689336,1.1640071190662398,0.3330972048015031,9.447809487220963,-,13.840642922813563,-,0.696,0.0696,703.0,19.0
BF77_50x50_051823_sp2,0.8728868730916512,0.076815581143167,0.8728868730916512,0.076815581143167,-,0.0612710672399549,0.0157645643104319,729.1615759634561,37.95763034245077,704.8933772248861,51.147588725943486,753.4297747020262,56.09858262361266,0.1190976614200947,0.0328606868093042,1.0357141027322063,0.304399288054997,2.052263730769709,*,14.363919432884256,-,0.696,0.0696,703.0,19.0
