,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,ERR_5200,PH_4500_S2N,ERR_4500,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
AC4_OL21_012821_256s_20x25_c,2.713113543,0.332682314,2.713113543,0.332682314,-,0.97868532,0.177356349,274.5557886,46.87330157,3.74E-15,23.49135442,549.1115773,90.75561618,1.374747793,0.348833816,1.950186302,0.47911226,2.118877933,*,3.122418012,*,2707.433322,2707.433322,0.691304071,0.468564339,65.06302366,7.445963922,35.49733602,8.555656321,269.949475,18.66837411,0.940791542,0.297668467,0.809316841,0.276587468
AC4_OL24_020320_256s_25x25_CO2_a,2.23577203,0.192906294,2.23577203,0.192906294,-,1.268664952,0.190958597,598.3449945,44.06759396,617.1376463,59.94836008,579.5523427,64.60654359,1.629117919,0.332647179,1.447785652,0.306344833,6.552650544,-,7.661165242,-,2676.509806,2676.509806,0.706274103,0.518029692,66.13141525,7.525829484,37.35737051,8.64678177,253.4055677,19.62032838,1.010784346,0.300884535,0.862198809,0.279598449
AC4_OL24_020320_256s_25x25_CO2_b,2.213297648,0.190816612,2.213297648,0.190816612,-,1.262436301,0.190342024,618.9574968,44.79798448,638.5396826,61.3012896,599.3753109,65.3420963,1.490415589,0.301876864,1.233835732,0.261760171,7.626073178,-,8.05014503,-,2677.106856,2677.106856,0.706274103,0.518029692,66.13141525,7.525829484,37.35737051,8.64678177,253.4055677,19.62032838,1.010784346,0.300884535,0.862198809,0.279598449
AC4_OL24_020320_256s_25x25_CO2_c,2.202568518,0.189972717,2.202568518,0.189972717,-,1.257120593,0.189441924,616.51029,44.55428486,630.5302271,60.38947377,602.4903529,65.52441267,1.678189628,0.328961517,1.249968235,0.265184259,5.129177902,-,11.47146052,-,2677.392075,2677.392075,0.706274103,0.518029692,66.13141525,7.525829484,37.35737051,8.64678177,253.4055677,19.62032838,1.010784346,0.300884535,0.862198809,0.279598449
AC4_OL24_020320_256s_25x30_H2O_a,2.743356032,0.236382051,2.743356032,0.236382051,-,1.216370853,0.183023081,772.7414962,48.9901683,762.5732628,66.61484926,782.9097297,71.85129239,1.025116518,0.197898344,1.587913742,0.353013997,5.909345303,-,12.42689917,-,2663.16797,2663.16797,0.706274103,0.518029692,66.13141525,7.525829484,37.35737051,8.64678177,253.4055677,19.62032838,1.010784346,0.300884535,0.862198809,0.279598449
AC4_OL24_020320_256s_25x30_H2O_b,2.793837509,0.240761841,2.793837509,0.240761841,-,1.249728693,0.18843347,755.7450457,48.38610833,762.2157008,66.76941277,749.2743905,70.04789389,1.114921259,0.222607652,1.663132465,0.364564548,4.989432184,-,11.35117029,-,2661.855818,2661.855818,0.706274103,0.518029692,66.13141525,7.525829484,37.35737051,8.64678177,253.4055677,19.62032838,1.010784346,0.300884535,0.862198809,0.279598449
AC4_OL24_020320_256s_25x30_H2O_c,2.798614441,0.241391648,2.798614441,0.241391648,-,1.238499442,0.186461787,738.0714671,47.47109525,741.2153707,65.4795711,734.9275635,68.74914767,1.055226831,0.203673319,1.574194875,0.335631134,5.627601526,-,11.8644408,-,2661.731789,2661.731789,0.706274103,0.518029692,66.13141525,7.525829484,37.35737051,8.64678177,253.4055677,19.62032838,1.010784346,0.300884535,0.862198809,0.279598449
AC4_OL27_020520_256s_20x25_a,3.134003816,0.239813536,2.506550722,0.203403488,*,1.230727588,0.187136626,558.3556755,32.48855879,610.7552352,48.2117255,513.0749908,43.89922267,1.196150574,0.243443567,1.923255053,0.445429327,7.740349165,-,8.82072704,-,2702.9052,2685.783713,0.693906423,0.489632137,65.24875011,7.459824966,35.82067965,8.571529928,262.9032563,19.07680682,0.952958912,0.298229286,0.818509707,0.277111183
AC4_OL27_020520_256s_20x25_b,3.120763218,0.233207701,2.393879102,0.194299214,*,1.196056795,0.18193994,484.1047093,30.15017269,508.2841046,43.97613531,467.0850905,42.06844255,1.156422003,0.234487699,1.947784041,0.434028927,6.066754068,-,9.830755709,-,2705.995277,2686.1317,0.693906423,0.489632137,65.24875011,7.459824966,35.82067965,8.571529928,262.9032563,19.07680682,0.952958912,0.298229286,0.818509707,0.277111183
AC4_OL27_020520_256s_20x25_c,3.111244378,0.23591603,2.4021688,0.194921867,*,1.191260776,0.181306839,483.7247468,30.15198918,515.6106838,44.20510515,458.8177436,41.74732047,1.053404119,0.224880739,1.942427325,0.439828815,7.839902692,-,10.36753928,-,2705.760858,2686.381984,0.693906423,0.489632137,65.24875011,7.459824966,35.82067965,8.571529928,262.9032563,19.07680682,0.952958912,0.298229286,0.818509707,0.277111183
