Sample,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
AC4_OL44_021420_256s_25x25_c,53.21,1.2,17.15,1.93,7.04,0.17,3.62,7.08,4.43,0.97,0.16
AC4_OL45_012821_256s_20x25_a,49.59,0.84,18.52,2.1,7.65,0.23,4.42,9.01,3.88,0.65,0.16
AC4_OL45_012821_256s_20x25_b,49.59,0.84,18.52,2.1,7.65,0.23,4.42,9.01,3.88,0.65,0.16
AC4_OL45_012821_256s_20x25_c,49.59,0.84,18.52,2.1,7.65,0.23,4.42,9.01,3.88,0.65,0.16
AC4_OL46_021420_256s_30x30_a,48.57,0.84,18.25,2.18,7.97,0.19,4.75,9.36,3.62,0.62,0.11
AC4_OL46_021420_256s_30x30_b,48.57,0.84,18.25,2.18,7.97,0.19,4.75,9.36,3.62,0.62,0.11
AC4_OL46_021420_256s_30x30_c,48.57,0.84,18.25,2.18,7.97,0.19,4.75,9.36,3.62,0.62,0.11
AC4_OL48_021720_256s_25x25_CO2_a,53.32,1.16,16.94,1.87,6.84,0.17,3.86,7.13,4.41,1.03,0.2
AC4_OL48_021720_256s_25x25_CO2_b,53.32,1.16,16.94,1.87,6.84,0.17,3.86,7.13,4.41,1.03,0.2
AC4_OL48_021720_256s_25x25_CO2_c,53.32,1.16,16.94,1.87,6.84,0.17,3.86,7.13,4.41,1.03,0.2
AC4_OL48_021720_256s_25x25_H2O_a,53.32,1.16,16.94,1.87,6.84,0.17,3.86,7.13,4.41,1.03,0.2
AC4_OL48_021720_256s_25x25_H2O_b,53.32,1.16,16.94,1.87,6.84,0.17,3.86,7.13,4.41,1.03,0.2
AC4_OL48_021720_256s_25x25_H2O_c,53.32,1.16,16.94,1.87,6.84,0.17,3.86,7.13,4.41,1.03,0.2
AC4_OL49_021920_30x30_CO2_a,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14
AC4_OL49_021920_30x30_CO2_b,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14
AC4_OL49_021920_30x30_CO2_c,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14
AC4_OL49_021920_30x30_H2O_a,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14
AC4_OL49_021920_30x30_H2O_b,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14
AC4_OL49_021920_30x30_H2O_c,52.34,1.04,17.92,1.93,7.03,0.2,3.63,7.72,4.25,0.78,0.14
AC4_OL50_021920_20x20_a,51.86,1.07,16.95,2.06,7.53,0.22,3.92,7.09,4.24,0.97,0.2
AC4_OL50_021920_20x20_b,51.86,1.07,16.95,2.06,7.53,0.22,3.92,7.09,4.24,0.97,0.2
AC4_OL50_021920_256s_20x20_c,51.86,1.07,16.95,2.06,7.53,0.22,3.92,7.09,4.24,0.97,0.2
AC4_OL51_021920_15x20_a,54.63,1.15,16.41,1.97,7.19,0.22,3.75,6.54,4.22,1.2,0.15
AC4_OL51_021920_15x20_b,54.63,1.15,16.41,1.97,7.19,0.22,3.75,6.54,4.22,1.2,0.15
AC4_OL51_021920_15x20_c,54.63,1.15,16.41,1.97,7.19,0.22,3.75,6.54,4.22,1.2,0.15
AC4_OL53_101220_256s_30x30_a,47.95,1.0,18.88,2.04,7.45,0.19,4.34,9.84,3.47,0.67,0.11
AC4_OL53_101220_256s_30x30_b,47.95,1.0,18.88,2.04,7.45,0.19,4.34,9.84,3.47,0.67,0.11
AC4_OL53_101220_256s_30x30_c,47.95,1.0,18.88,2.04,7.45,0.19,4.34,9.84,3.47,0.67,0.11
AC4_RH1_OL2_022120_256s_30x30_a,53.65,1.22,16.14,2.05,7.5,0.2,4.5,6.72,3.98,0.99,0.2
AC4_RH1_OL2_022120_256s_30x30_b,53.65,1.22,16.14,2.05,7.5,0.2,4.5,6.72,3.98,0.99,0.2
AC4_RH1_OL2_022120_256s_30x30_c,53.65,1.22,16.14,2.05,7.5,0.2,4.5,6.72,3.98,0.99,0.2
AC4_RH1_OL3_MI1_022120_256s_20x25_a,49.32,1.12,16.9,2.59,9.44,0.26,5.14,7.84,3.52,0.77,0.14
AC4_RH1_OL3_MI1_022120_256s_20x25_b,49.32,1.12,16.9,2.59,9.44,0.26,5.14,7.84,3.52,0.77,0.14
AC4_RH1_OL3_MI1_022120_256s_20x25_c,49.32,1.12,16.9,2.59,9.44,0.26,5.14,7.84,3.52,0.77,0.14
AC4_RH1_OL3_MI2_022120_256s_20x20_a,47.77,0.84,17.03,2.92,10.67,0.25,5.14,8.27,3.31,0.66,0.11
AC4_RH1_OL3_MI2_022120_256s_20x20_b,47.77,0.84,17.03,2.92,10.67,0.25,5.14,8.27,3.31,0.66,0.11
AC4_RH1_OL3_MI2_022120_256s_20x20_c,47.77,0.84,17.03,2.92,10.67,0.25,5.14,8.27,3.31,0.66,0.11
AC4_RH3_OL1BIG_022120_256s_20x25_a,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18
AC4_RH3_OL1BIG_022120_256s_20x25_b,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18
AC4_RH3_OL1BIG_022120_256s_20x25_c,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18
AC4_RH3_OL1SMALL_022120_256s_20x25_a,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18
AC4_RH3_OL1SMALL_022120_256s_20x25_b,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18
AC4_RH3_OL1SMALL_022120_256s_20x25_c,53.95,1.18,16.45,2.02,7.37,0.24,4.39,6.52,4.4,1.06,0.18
AC4_RH3_OL2_022120_256s_30x30_a,49.38,1.84,15.69,3.04,11.1,0.22,4.3,5.76,3.96,1.05,0.2
AC4_RH3_OL2_022120_256s_30x30_b,49.38,1.84,15.69,3.04,11.1,0.22,4.3,5.76,3.96,1.05,0.2
AC4_RH3_OL2_022120_256s_30x30_c,49.38,1.84,15.69,3.04,11.1,0.22,4.3,5.76,3.96,1.05,0.2
AC4_RH3_OL3_022120_256s_20x20_a,53.07,1.21,18.48,1.88,6.87,0.18,3.72,7.59,4.33,0.94,0.22
AC4_RH3_OL3_022120_256s_20x20_b,53.07,1.21,18.48,1.88,6.87,0.18,3.72,7.59,4.33,0.94,0.22
AC4_RH3_OL3_022120_256s_20x20_c,53.07,1.21,18.48,1.88,6.87,0.18,3.72,7.59,4.33,0.94,0.22
STD_C1_020320_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020320_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020320_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020520_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020520_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_020520_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021220_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021220_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021220_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021420_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021420_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021420_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021720_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021720_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021720_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021920_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021920_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_021920_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_022120_256s_20x50_a,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_022120_256s_20x50_b,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_C1_022120_256s_20x50_c,46.47,0.87,18.05,1.95,7.81,0.15,6.15,11.79,1.95,0.3,0.14
STD_CN92C_OL2_020320_256s_20x25_a,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020320_256s_20x25_b,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020320_256s_20x25_c,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020520_256s_20x25_a,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020520_256s_20x25_b,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_020520_256s_20x25_c,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021220_20x25_a,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021220_20x25_b,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021220_20x25_c,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021420_256s_20x25_a,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021420_256s_20x25_b,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021420_256s_20x25_c,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021720_256s_20x25_a,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021720_256s_20x25_b,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021720_256s_20x25_c,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021920_256s_20x25_a,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021920_256s_20x25_b,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_021920_256s_20x25_c,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_022120_256s_20x25_a,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_022120_256s_20x25_b,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_CN92C_OL2_022120_256s_20x25_c,46.26,1.04,17.64,0.0,9.87,0.18,5.72,11.37,2.13,0.32,0.17
STD_D1010_020320_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_020320_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_020320_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_020520_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_020520_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_020520_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021220_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021220_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021220_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021420_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021420_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021420_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021720_256s_80x80_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021720_256s_80x80_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021720_256s_80x80_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021720_256s_50x50_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021720_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021720_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021720_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021920_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021920_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_021920_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_022120_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_022120_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_022120_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_030920_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_030920_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_030920_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_031020_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_031020_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_031020_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_012821_256s_100x100_a,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_012821_256s_100x100_b,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_D1010_012821_256s_100x100_c,51.41,1.26,16.58,0.0,7.58,0.0,7.57,10.98,3.01,0.37,0.18
STD_ETF46_020320_256s_15x15_a,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_020320_256s_15x15_b,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_020320_256s_15x15_c,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_020520_256s_15x15_a,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_020520_256s_15x15_b,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_020520_256s_15x15_c,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021220_256s_15x20_a,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021220_256s_15x20_b,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021220_256s_15x20_c,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021420_256s_15x20_a,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021420_256s_15x20_b,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021420_256s_15x20_c,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021720_256s_15x20_a,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021720_256s_15x20_b,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021720_256s_15x20_c,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021920_256s_15x20_a,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021920_256s_15x20_b,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_021920_256s_15x20_c,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_022120_256s_15x20_a,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_022120_256s_15x20_b,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
STD_ETF46_022120_256s_15x20_c,47.46,0.84,11.18,0.0,9.0,0.14,12.43,13.17,1.64,1.1,0.27
21ALV1846-9_44x44_s1_EP_103um,49.67,0.57,17.45,0.0,7.03,0.16,6.95,13.46,2.07,0.71,0.13
21ALV1846-9_44x44_s2_EP_103um,49.67,0.57,17.45,0.0,7.03,0.16,6.95,13.46,2.07,0.71,0.13
21ALV1846-9_44x44_s3_EP_103um,49.67,0.57,17.45,0.0,7.03,0.16,6.95,13.46,2.07,0.71,0.13
23WOK5-4_44x44_s1_EP_147um,50.88,1.27,17.22,0.0,8.11,0.15,7.57,10.74,3.15,0.19,0.16
23WOK5-4_44x44_s2_EP_147um,50.88,1.27,17.22,0.0,8.11,0.15,7.57,10.74,3.15,0.19,0.16
23WOK5-4_44x44_s3_EP_147um,50.88,1.27,17.22,0.0,8.11,0.15,7.57,10.74,3.15,0.19,0.16
ALV1833-11_44x44_s1_EP_108um,51.13,1.04,17.16,0.0,7.55,0.15,7.55,11.92,2.86,0.25,0.18
ALV1833-11_44x44_s2_EP_108um,51.13,1.04,17.16,0.0,7.55,0.15,7.55,11.92,2.86,0.25,0.18
ALV1833-11_44x44_s3_EP_108um,51.13,1.04,17.16,0.0,7.55,0.15,7.55,11.92,2.86,0.25,0.18
CD33_12-2-2_VG9764_44x44_s1_EP_105um,50.8,1.68,14.02,0.0,12.14,0.22,6.75,11.01,2.56,0.09,0.12
CD33_12-2-2_VG9764_44x44_s2_EP_105um,50.8,1.68,14.02,0.0,12.14,0.22,6.75,11.01,2.56,0.09,0.12
CD33_12-2-2_VG9764_44x44_s3_EP_105um,50.8,1.68,14.02,0.0,12.14,0.22,6.75,11.01,2.56,0.09,0.12
CD33_22-1-1_VG9812_44x44_s1_EP_73um,51.3,1.01,14.87,0.0,9.53,0.17,7.72,12.32,2.12,0.07,0.07
CD33_22-1-1_VG9812_44x44_s2_EP_73um,51.3,1.01,14.87,0.0,9.53,0.17,7.72,12.32,2.12,0.07,0.07
CD33_22-1-1_VG9812_44x44_s3_EP_73um,51.3,1.01,14.87,0.0,9.53,0.17,7.72,12.32,2.12,0.07,0.07
Fiege63_256s,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
Fiege63_256s_2,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
Fiege63_256s_3,46.78,2.72,14.87,0.0,10.57,0.14,10.52,9.8,2.93,0.92,0.4
