Wavenumber,Absorbance,Absorbance_Hat,BL_NIR_H2O,Subtracted_Peak
4900.441,0.5759188000000001,0.5759188000000001,0.5771469353753725,-0.0012281353753724744
4902.369000000001,0.5803473000000001,0.5777804,0.577421886322981,0.00035851367701900116
4904.298,0.580846,0.5777804,0.5776968372693626,8.356273063736541e-05
4906.227,0.5777804,0.5783885999999999,0.5779717882132905,0.00041681178670938124
4908.155,0.5775511,0.5783885999999999,0.5782467391535381,0.00014186084646183872
4910.083,0.5783885999999999,0.5783885999999999,0.5785216900888791,-0.00013309008887918417
4912.012,0.578684,0.578684,0.5787966410180875,-0.00011264101808750038
4913.94,0.5820429,0.5820429,0.5790715919398036,0.0029713080601964093
4915.869000000001,0.5823729999999999,0.5823243,0.579346542852556,0.0029777571474439712
4917.798,0.5823243,0.5823243,0.5796214937548754,0.002702806245124645
4919.726,0.5833182,0.5823243,0.5798964446452951,0.002427855354704911
4921.655,0.5820692,0.5820692,0.5801713955223512,0.0018978044776487568
4923.583,0.5801257,0.5820692,0.5804463463845826,0.0016228536154173634
4925.512,0.5802301999999999,0.5820692,0.5807212972305298,0.0013479027694701662
4927.44,0.5833349,0.5833349,0.5809962480587345,0.0023386519412654794
4929.369000000001,0.5836669,0.5836669,0.5812711988677396,0.002395701132260397
4931.2970000000005,0.5849264,0.5836669,0.58154614965609,0.002120750343910016
4933.226,0.5844560000000001,0.5836669,0.5818211004223328,0.0018457995776671732
4935.155,0.5824969,0.5844087,0.5820960511650168,0.0023126488349831664
4937.083,0.5824739999999999,0.5844087,0.5823710018826924,0.0020376981173075848
4939.012,0.5844087,0.5844087,0.582645952573912,0.0017627474260879517
4940.94,0.5865579000000001,0.5844087,0.5829209032372301,0.0014877967627698885
4942.869000000001,0.585154,0.5844087,0.5831958538712027,0.0012128461287973513
4944.7970000000005,0.5838996999999999,0.5849718,0.5834708044743868,0.0015009955256132246
4946.726,0.5840291,0.5849718,0.5837457550453405,0.0012260449546594998
4948.654,0.5849718,0.5849718,0.5840207055826228,0.0009510944173772851
4950.583,0.5878677,0.5878677,0.5842956560847932,0.003572043915206824
4952.512,0.5898121999999999,0.5898121999999999,0.5845706065504125,0.005241593449587412
4954.44,0.5923913000000001,0.5923913000000001,0.5848455569780447,0.00754574302195532
4956.369000000001,0.5929078000000001,0.5923913000000001,0.585120507366259,0.0072707926337410855
4958.2970000000005,0.5926884,0.5923913000000001,0.5853954577136322,0.006995842286367848
4960.226,0.5921658000000001,0.5921658000000001,0.5856704080187486,0.006495391981251486
4962.154,0.5912991999999999,0.5921658000000001,0.5859453582801988,0.006220441719801295
4964.083,0.591625,0.5921658000000001,0.5862203084965799,0.005945491503420164
4966.0109999999995,0.5945729000000001,0.5945729000000001,0.5864952586664951,0.00807764133350497
4967.94,0.5975581,0.5961548000000001,0.586770208788553,0.00938459121144708
4969.869000000001,0.5975397,0.5961548000000001,0.5870451588613701,0.009109641138629998
4971.7970000000005,0.5961548000000001,0.5961548000000001,0.5873201088835723,0.008834691116427762
4973.726,0.593023,0.5932427,0.5875950588537944,0.00564764114620564
4975.654,0.5924,0.5932427,0.5878700087706795,0.005372691229320492
4977.583,0.5932427,0.5932427,0.588144958632876,0.005097741367124042
4979.5109999999995,0.5965005999999999,0.5955666999999999,0.5884199084390369,0.007146791560962984
4981.44,0.5980783000000001,0.5961850000000001,0.5886948581878202,0.007490141812179885
4983.3679999999995,0.5955666999999999,0.5965005999999999,0.5889698078778905,0.0075307921221093865
4985.2970000000005,0.5961850000000001,0.5980783000000001,0.5892447575079206,0.00883354249207946
4987.226,0.5991366,0.5991366,0.5895197070765902,0.009616892923409837
4989.154,0.6016364000000001,0.5991366,0.5897946565825877,0.009341943417412346
4991.083,0.6006467,0.5991366,0.5900696060246101,0.009066993975389903
4993.0109999999995,0.597567,0.5983208000000001,0.5903445554013638,0.007976244598636328
4994.939,0.597296,0.5983208000000001,0.5906195047115637,0.007701295288436438
4996.8679999999995,0.5983208000000001,0.5983208000000001,0.5908944539539327,0.0074263460460674
4998.7970000000005,0.5996435,0.5990721999999999,0.5911694031272012,0.007902796872798712
5000.725,0.5990721999999999,0.5991193,0.5914443522301069,0.007674947769893081
5002.654,0.5991193,0.5996435,0.5917193012613954,0.007924198738604615
5004.583,0.6010634,0.6010634,0.5919942502198198,0.009069149780180252
5006.5109999999995,0.6024598000000001,0.6011838,0.5922691991041408,0.00891460089585927
5008.439,0.6021348000000001,0.6021348000000001,0.5925441479131284,0.00959065208687171
5010.3679999999995,0.6011838,0.6024598000000001,0.5928190966455612,0.009640703354438895
5012.295999999999,0.6028534999999999,0.6028534999999999,0.593094045300227,0.009759454699772907
5014.225,0.6041810000000001,0.6032791999999999,0.5933689938759233,0.00991020612407656
5016.154,0.6055702,0.6041810000000001,0.5936439423714569,0.010537057628543178
5018.082,0.6032791999999999,0.605364,0.5939188907856437,0.011445109214356264
5020.0109999999995,0.605364,0.6055702,0.5941938391173103,0.011376360882689673
5021.939,0.6090561999999999,0.6054170999999999,0.5944687873652944,0.010948312634705526
5023.8679999999995,0.6083356,0.6062155,0.5947437355284454,0.011471764471554624
5025.795999999999,0.6054170999999999,0.6083356,0.5950186836056227,0.013316916394377265
5027.725,0.6062155,0.6063876,0.5952936315956975,0.011093968404302545
5029.653,0.6097296,0.6063876,0.595568579497554,0.010819020502445986
5031.582,0.6063876,0.607466,0.5958435273100873,0.011622472689912677
5033.5109999999995,0.607466,0.6090829000000001,0.5961184750322027,0.012964424967797372
