Wavenumber,Absorbance
399.2095,6
401.138,6
403.0666,6
404.9951,2.496628
406.9237,6
408.8522,6
410.7808,1.505499
412.7093,1.102572
414.6378,1.323631
416.5664,1.828671
418.495,2.038756
420.4235,1.242391
422.3521,1.518559
424.2806,1.13408
426.2091,1.162171
428.1377,6
430.0663,6
431.9948,2.196343
433.9233,1.160438
435.8519,1.043318
437.7804,0.8176267
439.709,0.8006874
441.6375,0.7971294
443.5661,0.8847106
445.4946,1.344345
447.4232,1.831903
449.3517,6
451.2803,6
453.2088,1.275341
455.1374,1.083612
457.0659,1.354713
458.9945,1.673324
460.923,1.188344
462.8516,1.270474
464.7801,6
466.7086,1.68686
468.6372,2.318633
470.5657,1.502689
472.4943,1.31929
474.4229,1.256733
476.3514,1.171359
478.2799,0.9686727
480.2085,1.085238
482.137,0.8754908
484.0656,0.8693513
485.9941,0.9327399
487.9227,0.9712512
489.8512,1.054109
491.7798,1.058497
493.7083,6
495.6369,6
497.5654,0.9431485
499.494,0.782992
501.4225,1.173821
503.3511,1.204841
505.2796,1.085119
507.2082,1.141668
509.1367,0.8952346
511.0652,1.013307
512.9938,1.295889
514.9224,1.810882
516.8509,1.180519
518.7795,0.6501035
520.708,0.7251397
522.6365,1.766712
524.5651,6
526.4937,1.130476
528.4222,1.484837
530.3507,1.513127
532.2793,1.353267
534.2078,1.539361
536.1364,1.261577
538.0649,1.115917
539.9935,1.159574
541.922,1.010593
543.8506,0.562242
545.7791,0.5036454
547.7076,0.8366604
549.6362,1.361015
551.5648,6
553.4933,1.171216
555.4219,1.167463
557.3504,6
559.2789,6
561.2075,6
563.136,2.189407
565.0646,1.65193
566.9932,1.208137
568.9217,0.8430482
570.8502,0.6947443
572.7788,0.6193982
574.7073,0.6243796
576.6359,0.7569196
578.5645,1.359133
580.493,1.108906
582.4215,1.422138
584.3501,6
586.2786,1.427169
588.2072,0.7375276
590.1357,0.6380873
592.0643,0.7497717
593.9928,1.5883
595.9214,6
597.8499,6
599.7784,1.178022
601.707,0.6541872
603.6356,0.5716807
605.5641,0.755801
607.4927,1.336913
609.4212,6
611.3497,6
613.2783,6
615.2068,6
617.1354,0.8915441
619.064,0.8127948
620.9925,0.9282219
622.921,1.138785
624.8496,1.178995
626.7781,1.185621
628.7067,0.9431401
630.6353,0.9753376
632.5638,1.12815
634.4923,1.354047
636.4209,6
638.3494,6
640.278,6
642.2065,6
644.1351,1.668707
646.0636,1.537051
647.9922,2.092807
649.9207,6
651.8492,6
653.7778,6
655.7064,1.025112
657.6349,1.398561
659.5635,6
661.492,1.395786
663.4205,0.8965106
665.3491,0.9039745
667.2776,0.7162858
669.2062,0.6069907
671.1348,1.244062
673.0633,6
674.9918,6
676.9204,6
678.8489,6
680.7775,1.218844
682.7061,0.6713843
684.6346,0.7719588
686.5631,6
688.4917,0.9386366
690.4202,1.95072
692.3488,6
694.2773,6
696.2059,6
698.1344,2.548438
700.063,1.394143
701.9915,6
703.92,0.4283413
705.8486,-0.119635
707.7772,0.6820824
709.7057,6
711.6343,6
713.5628,6
715.4913,6
717.4199,0.6362021
719.3484,1.453345
721.277,0.8248743
723.2056,0.1328007
725.1341,-0.1100822
727.0626,0.7189061
728.9912,1.226745
730.9197,0.1874119
732.8483,-0.3651533
734.7769,1.315159
736.7054,6
738.6339,6
740.5625,6
742.491,6
744.4196,6
746.3481,6
748.2767,6
750.2052,6
752.1338,0.3112084
754.0623,-0.137852
755.9908,-1.161459
757.9194,6
759.848,6
761.7765,6
763.7051,6
765.6336,6
767.5621,6
769.4907,0.07004833
771.4193,6
773.3478,6
775.2764,6
777.2049,6
779.1334,-0.4166137
781.062,6
782.9905,6
784.9191,6
786.8477,6
788.7762,-0.08956569
790.7047,4.169185
792.6333,0.355026
794.5618,1.797821
796.4904,6
798.4189,6
800.3475,6
802.276,0.7378052
804.2046,0.432266
806.1331,0.4053389
808.0616,0.8951284
809.9902,2.635549
811.9188,6
813.8473,6
815.7759,6
817.7044,6
819.6329,1.151772
821.5615,0.9848254
823.4901,1.395062
825.4186,2.886599
827.3472,6
829.2757,2.10152
831.2042,1.844032
833.1328,1.393153
835.0613,1.209924
836.9899,1.164953
838.9185,1.274627
840.847,1.682682
842.7755,6
844.7041,6
846.6326,2.00897
848.5612,1.988336
850.4897,2.906646
852.4183,6
854.3468,6
856.2754,2.354464
858.2039,1.645487
860.1324,1.616844
862.061,1.68265
863.9896,2.654747
865.9181,6
867.8467,2.509423
869.7752,2.259798
871.7037,2.085975
873.6323,2.156795
875.5609,2.538819
877.4894,6
879.418,6
881.3465,3.108622
