Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2
1484.944,0,0,0
1486.872,0,0,0
1488.801,0,0,0
1490.729,0,0,0
1492.658,0,0,0
1494.586,0,0,0
1496.515,0,0,0
1498.443,0,0,0
1500.372,0,0,0
1502.3,0,0,0
1504.229,0,0,0
1506.157,0,0,0
1508.086,0,0,0
1510.014,-0.00092027,-0.001044999,-0.002938357
1511.943,-0.000764985,-0.000809076,-0.00122667
1513.871,-0.000463326,-0.001095398,-0.000619426
1515.8,0.000438648,-0.001402523,-0.000547892
1517.728,0.001745892,-0.000256963,-0.000570885
1519.657,0.003328755,0.000930385,-0.000357947
1521.585,0.004053143,0.001462209,0.000326412
1523.514,0.004863579,0.002276512,0.001637412
1525.442,0.006784551,0.003702674,0.00366364
1527.371,0.009023585,0.004284757,0.006439619
1529.299,0.010050816,0.002722954,0.009957324
1531.228,0.010737908,-0.000769177,0.014176625
1533.156,0.011552095,-0.004967546,0.019034677
1535.085,0.012850117,-0.008947774,0.024454242
1537.013,0.01354076,-0.011684339,0.030350952
1538.942,0.01454182,-0.015217008,0.036639506
1540.87,0.016042879,-0.017847949,0.043238808
1542.799,0.018192855,-0.019648284,0.050076044
1544.727,0.021583057,-0.020189527,0.05703602
1546.656,0.023893056,-0.019619399,0.064287609
1548.584,0.025511268,-0.019717069,0.071585383
1550.513,0.027303804,-0.020182548,0.078677539
1552.441,0.029577687,-0.020542333,0.085591062
1554.37,0.031801373,-0.022176042,0.092743536
1556.298,0.033418334,-0.023411067,0.100362479
1558.227,0.03494477,-0.024117834,0.108252817
1560.155,0.037683324,-0.025294395,0.116372148
1562.084,0.042001931,-0.026598717,0.124619563
1564.012,0.045995113,-0.027226526,0.13288471
1565.941,0.050382564,-0.02842129,0.141058332
1567.869,0.055433661,-0.029082187,0.148947694
1569.798,0.060942403,-0.028867356,0.156415427
1571.726,0.066956829,-0.027917492,0.16359333
1573.655,0.072004426,-0.027902148,0.170269291
1575.583,0.07738298,-0.028971234,0.176194174
1577.512,0.084257967,-0.031042762,0.181166092
1579.44,0.092308742,-0.033327203,0.185215903
1581.369,0.100924133,-0.035522923,0.188222811
1583.297,0.110240767,-0.038728377,0.190076049
1585.226,0.120634161,-0.043018772,0.190792967
1587.154,0.132695051,-0.046895383,0.190371403
1589.083,0.146289936,-0.050974219,0.188775924
1591.011,0.161267189,-0.055093632,0.185935349
1592.94,0.178662501,-0.058778854,0.182185312
1594.868,0.19804378,-0.06152694,0.178038711
1596.797,0.21976947,-0.064034509,0.173499899
1598.725,0.244527252,-0.066140461,0.1685877
1600.654,0.272706296,-0.068485666,0.163246296
1602.582,0.303735327,-0.069582978,0.157481034
1604.511,0.336633021,-0.069586159,0.151401926
1606.439,0.374238643,-0.068692961,0.145004667
1608.368,0.415941633,-0.067158642,0.138045136
1610.296,0.459747978,-0.064111618,0.131096103
1612.225,0.507274326,-0.059331557,0.124348577
1614.153,0.557374645,-0.052331284,0.117623475
1616.082,0.608994571,-0.045031126,0.110840841
1618.01,0.662613357,-0.036870673,0.103773459
1619.939,0.716524284,-0.028286455,0.096732319
1621.867,0.768052146,-0.020269945,0.089736197
1623.796,0.816713183,-0.012763931,0.082127209
1625.724,0.861706948,-0.005604502,0.073663456
1627.653,0.901505083,-0.000478912,0.064530378
1629.581,0.934149698,0.002281472,0.054831566
1631.51,0.959179718,0.001147375,0.044441651
1633.438,0.979322357,-0.003999658,0.033027958
1635.367,0.990880814,-0.012201427,0.02064063
1637.295,0.992018987,-0.021964587,0.0076856
1639.224,0.987318424,-0.03442053,-0.005797985
1641.152,0.978057509,-0.050425285,-0.019558538
1643.081,0.959442485,-0.069316974,-0.03319861
