Wavenumber,Absorbance,BL_MIR_3550,Subtracted_Peak,Subtracted_Peak_Hat
1901.5479999999998,0.5856416999999999,0.4777538793395584,0.10788782066044156,0.09013315059631644
1903.477,0.5841441999999999,0.477733076345911,0.10641112365408889,0.09013315059631644
1905.406,0.5831251000000001,0.4777122733522646,0.10541282664773544,0.09013315059631644
1907.3339999999998,0.5813969,0.4776914703586216,0.10370542964137841,0.09013315059631644
1909.263,0.5798802,0.47767066736498576,0.1022095326350142,0.09013315059631644
1911.191,0.5784709,0.47764986437136225,0.10082103562863776,0.09013315059631644
1913.12,0.5768715,0.4776290613777573,0.09924243862224269,0.09013315059631644
1915.0479999999998,0.5742739,0.47760825838417814,0.09666564161582186,0.09013315059631644
1916.977,0.5716707,0.4775874553906333,0.09408324460936668,0.09013315059631644
1918.905,0.5693768,0.47756665239713186,0.09181014760286815,0.09013315059631644
1920.8339999999998,0.567679,0.4775458494036836,0.09013315059631644,0.09013315059631644
1922.7620000000002,0.5662463000000001,0.4775250464102994,0.08872125358970068,0.08872125358970068
1924.691,0.5646380999999999,0.4775042434169908,0.0871338565830091,0.0871338565830091
1926.62,0.5626625,0.47748344042377017,0.08517905957622979,0.08517905957622979
1928.5479999999998,0.5613154,0.4774626374306505,0.08385276256934954,0.08385276256934954
1930.477,0.5596234,0.4774418344376458,0.08218156556235418,0.08218156556235418
1932.405,0.5572921999999999,0.47742103144477116,0.07987116855522874,0.07987116855522874
1934.3339999999998,0.5559003,0.47740022845204255,0.07850007154795746,0.07850007154795746
1936.2620000000002,0.5539833000000001,0.47737942545947676,0.07660387454052331,0.07660387454052331
1938.191,0.552111,0.47735862246709126,0.07475237753290875,0.07475237753290875
1940.119,0.5507523,0.4773378194749042,0.07341448052509575,0.07341448052509575
1942.0479999999998,0.5493958000000001,0.4773170164829345,0.07207878351706559,0.07207878351706559
1943.976,0.5477012,0.47729621349120166,0.07040498650879834,0.07040498650879834
1945.905,0.5452584,0.4772754104997264,0.06798298950027365,0.06798298950027365
1947.8339999999998,0.5435519,0.47725460750853005,0.06629729249146993,0.06629729249146993
1949.7620000000002,0.5420049,0.47723380451763464,0.06477109548236537,0.06477109548236537
1951.691,0.540199,0.4772130015270631,0.0629859984729369,0.0629859984729369
1953.619,0.5374718,0.47719219853683853,0.060279601463161525,0.060279601463161525
1955.5479999999998,0.5354106,0.4771713955469846,0.058239204453015336,0.058239204453015336
1957.476,0.5340457,0.47715059255752595,0.056895107442474,0.056895107442474
1959.405,0.5320453,0.4771297895684878,0.05491551043151227,0.05491551043151227
1961.3329999999999,0.5294492,0.47710898657989614,0.05234021342010381,0.05234021342010381
1963.2620000000002,0.5277901999999999,0.4770881835917776,0.05070201640822225,0.05070201640822225
1965.191,0.5260336999999999,0.47706738060415915,0.048966319395840785,0.048966319395840785
1967.119,0.5243154000000001,0.4770465776170682,0.0472688223829319,0.0472688223829319
1969.0479999999998,0.5231670999999999,0.4770257746305325,0.04614132536946741,0.04614132536946741
1970.976,0.5217532,0.4770049716445805,0.04474822835541953,0.04474822835541953
1972.905,0.5199349,0.4769841686592408,0.04295073134075916,0.04295073134075916
1974.8329999999999,0.5183485999999999,0.4769633656745427,0.04138523432545721,0.04138523432545721
1976.7620000000002,0.5165597,0.47694256269051577,0.039617137309484185,0.039617137309484185
1978.69,0.5146930000000001,0.4769217597071898,0.03777124029281026,0.03777124029281026
1980.619,0.5133641999999999,0.47690095672459504,0.0364632432754049,0.0364632432754049
1982.547,0.5118157999999999,0.4768801537427619,0.03493564625723805,0.03493564625723805
1984.476,0.5095438,0.4768593507617212,0.03268444923827879,0.03268444923827879
1986.405,0.50776,0.4768385477815042,0.030921452218495793,0.030921452218495793
1988.3329999999999,0.5064757000000001,0.4768177448021427,0.02965795519785741,0.02965795519785741
1990.2620000000002,0.5046354999999999,0.4767969418236691,0.027838558176330797,0.027838558176330797
1992.19,0.5025312,0.47677613884611575,0.025755061153884207,0.025755061153884207
1994.119,0.5009719,0.4767553358695152,0.02421656413048484,0.02421656413048484
1996.047,0.49986309999999995,0.4767345328939003,0.023128567106099673,0.023128567106099673
1997.976,0.4984065,0.4767137299193044,0.02169277008069559,0.02169277008069559
1999.904,0.49698230000000004,0.476692926945761,0.020289373054239057,0.020289373054239057
2001.8329999999999,0.49627200000000005,0.4766721239733037,0.019599876026696328,0.019599876026696328
2003.761,0.4954981,0.47665132100196705,0.018846778998032943,0.018846778998032943
2005.69,0.4943403,0.4766305180317855,0.01770978196821449,0.01770978196821449
2007.619,0.4933795999999999,0.47660971506279354,0.01676988493720638,0.01676988493720638
2009.547,0.4925486,0.4765889120950257,0.015959687904974318,0.015959687904974318
2011.476,0.49166309999999996,0.47656810912851677,0.015094990871483194,0.015094990871483194
2013.404,0.4906647,0.4765473061633022,0.0141173938366978,0.0141173938366978
2015.3329999999999,0.4900075,0.47652650319941764,0.013480996800582346,0.013480996800582346
2017.261,0.48915870000000006,0.47650570023689887,0.012652999763101191,0.012652999763101191
2019.19,0.4880192,0.4764848972757822,0.011534302724217793,0.011534302724217793
2021.118,0.48691809999999996,0.47646409431610426,0.010454005683895706,0.010454005683895706
2023.047,0.48524639999999997,0.4764432913579019,0.008803108642098045,0.008803108642098045
2024.975,0.48380280000000003,0.4764224884012121,0.007380311598787936,0.007380311598787936
2026.904,0.48359140000000006,0.4764016854460721,0.007189714553927973,0.007189714553927973
2028.8329999999999,0.48323770000000005,0.4763808824925195,0.006856817507480573,0.006856817507480573
2030.761,0.4822117,0.47636007954059195,0.005851620459408069,0.005851620459408069
