Sub_Repeats,PH_1515_norm,PH_1515_BP_norm,PH_1515_STD_norm,PH_1430_norm,PH_1430_BP_norm,PH_1430_STD_norm,Py_Devol_1430,Py_Devol_1515,H2OT_MEAN,H2OT_STD,CO2_MEAN,CO2_STD,PH_1515_STD_net,PH_1430_STD_net,H2OT_STD_net,CO2_STD_net
CI_LMT_BA17,2.1447727249063684,1.973108886628185,0.005427338277425066,2.09002404224827,1.9582704768615664,0.006152823807422917,0.9366813105254249,0.9197466634189402,0.22787462016262588,0.02657036408721715,18759.465137558123,1283.0936118325194,0.12521711850925185,0.12536328846085706,0.05014583811615503,1756.708782382874
CI_LMT_BA3,1.0402279926053892,1.0339347096051796,0.012134543627853388,1.0206102659982013,0.9946377640549539,0.016130194629324936,0.9745519883460655,0.993950092628783,0.4348335596666338,0.1069586590466829,10133.008946319804,1690.7102962302386,0.012134543627853388,0.016130194629324936,0.1069586590466829,1690.7102962302383
CI_LMT_BA4,1.3667011963013564,1.2511995849926392,0.005519757028556105,1.312123928678912,1.2249442888404083,0.006505509089547395,0.9335583797132038,0.9154887610976751,0.3253681629937699,0.0370955756769813,12376.380116956398,836.1871271798869,0.005519757028556105,0.006505509089547395,0.0370955756769813,836.1871271798868
CI_Ref_10,0.6261859229741422,0.5737821919381204,0.0026565469573982636,0.6352216154482986,0.597411155469653,0.002988599783346422,0.942065183738003,0.9168952279262871,0.8021877221616476,0.06991590420396915,5355.8770386487095,229.2619335826169,0.07047845214097857,0.10919892039748487,0.07316683865245756,853.3794452333861
CI_Ref_11,0.767926532170018,0.7045791278694424,0.007293679580214423,0.7507758255366519,0.7041633980972012,0.009690762717844947,0.9374468701467075,0.9165952292913193,1.0508659454056282,0.14763458451060515,6525.794908310162,578.7290882982326,0.05937877253668607,0.06316983525700333,0.1808628033638325,829.7694975671714
CI_Ref_14,0.3488221456659091,0.3177148658776483,0.006728561562020733,0.3303793968955395,0.3070872649182905,0.008800085431937645,0.930109961895482,0.9107648189333633,1.070283742067633,0.1465389256318356,2899.690436839893,253.63141524937797,0.03766857758004259,0.03880864452904245,0.150119661814342,461.68128136974804
CI_Ref_15,0.2753430023718122,0.2499234818272841,0.012867502109469362,0.24737412812797024,0.23169848737126383,0.015507587708832933,0.9367771196352294,0.9089546941290217,1.0052156648470203,0.3187496631358788,2281.712525865238,501.7560441878797,0.022763372258635547,0.03368854001242658,0.3251612922185664,565.4663839866586
CI_Ref_18,0.3030942671650717,0.2864270407080207,0.006267891258978227,0.29314269152949923,0.2801886515800777,0.007707233394838239,0.9563887735325552,0.9455694960068864,1.0067668776980523,0.13051782449872612,2647.6006744367173,216.84974439655713,0.038140942101281744,0.031217921496143407,0.1371881368579806,372.96658082025516
CI_Ref_20,0.30969516279170906,0.2955246614860151,0.005337417124126095,0.29896934768527467,0.2874950730631366,0.006938207049963521,0.961303488206578,0.9533174045352858,0.7774879146289791,0.08983076073616926,2713.7720689578205,196.8563090578146,0.03540314015679429,0.03503696050879335,0.10332918559510836,374.6238420005123
CI_Ref_23,0.2517413239431073,0.23068412373077726,0.003260570159491973,0.24191100592006354,0.2310259736683816,0.004122950044569653,0.9545269316328611,0.9157329564772052,1.0010572744350859,0.09093666271545277,2178.256093444643,104.747712682685,0.020669383073776873,0.01338211348542605,0.09265982019165987,191.00292057959734
