Sample ID,PH_3550_M,PH_3550_STD,H2OT_3550_MAX,BL_H2OT_3550_MAX,H2OT_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200_x,STN_P4500,ERR_4500_x,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD,Repeats,PH_1430,PH_1515,Thickness,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_S2N,ERR_5200_y,PH_4500_S2N,ERR_4500_y,Density,Density_Sat,Tau,Eta,epsilon_H2OT_3550,sigma_epsilon_H2OT_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500
CI_Ref_10_chip1_100x100_256s_sp2,0.928308241,0.000641789,0.8924728,-0.013528097,-,0.184462738,0.003036868,1.274168821,0.003865694,1527.827955,0.127095625,34.73738583,0.190603115,1.295653687,0.004280326,1425.395585,0.146692544,40.0,0.036499286,0.004110534,0.000115252,0.005703253,0.000101151,23.00558764,-,9.795080309,-,1.617964496,0.031490494,2.133176852,0.337893949,0.271143531,0.020706374,-0.175384159,0.056439093,-0.3,0.003071952,-0.000117286,5.81e-05,0.898313615,0.018883805,-0.21106496,0.017000821,1.285741918,0.028474569,CI_Ref_10,1.374416107,1.401492817,117.79,0.789630702,0.060628184,0.789630702,0.060628184,-,0.313580279,0.052456538,4980.85719,154.2704751,4939.214995,216.3708153,5022.499384,219.9572417,0.279076611,0.067879183,0.439532405,0.113529598,23.00558764,-,9.795080309,-,2867.827856,2867.827856,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_10_chip1_100x100_256s_sp3,0.930629406,0.00032559,0.8898615,-0.018125086,-,0.184871194,0.003091202,1.302262119,0.00329573,1527.680088,0.119676708,34.18198537,0.169410792,1.322993476,0.003418797,1425.787121,0.131247531,40.0,0.060214725,0.002806731,0.000105489,0.006704859,1.05e-05,14.90854304,-,15.50760616,-,1.733484074,0.018374422,3.0,0.185655819,0.030397662,0.020079111,0.035042607,0.034437982,-0.3,0.003572897,5.65e-05,3.25e-05,0.854809837,0.010492573,-0.238487574,0.017097497,1.352409206,0.026923367,CI_Ref_10,1.383680563,1.40674332,117.94,0.790945057,0.060647735,0.790945057,0.060647735,-,0.314012591,0.052563727,5084.05545,157.5896593,5043.907219,220.9967923,5124.203681,224.7185366,0.190398583,0.046528634,0.516292285,0.132723125,14.90854304,-,15.50760616,-,2867.786656,2867.786656,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_10_chip1_100x100_256s_sp4,0.983842641,0.001483794,0.9380032,-0.02074518,-,0.205204294,0.003083536,1.450053798,0.003855427,1527.659637,0.106768061,34.06982656,0.156595063,1.486690118,0.004319112,1425.635984,0.122846775,40.0,0.03004468,0.00850421,0.000231191,0.004422365,4.47e-06,26.65604939,-,10.60728479,-,1.522793296,0.03172483,-0.085045696,0.339371483,0.452391956,0.020564379,-0.422375663,0.056994831,-0.3,0.002276281,-0.000479108,5.85e-05,1.057287859,0.018965205,-0.254078682,0.017036597,1.514058685,0.026798402,CI_Ref_10,1.584180807,1.597648156,120.49,0.818374512,0.062613201,0.818374512,0.062613201,-,0.341130985,0.056982442,5566.236722,171.1189124,5496.797085,239.0297931,5635.676358,244.9315959,0.564616811,0.137010848,0.333286313,0.085721498,26.65604939,-,10.60728479,-,2866.92736,2866.92736,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_10_chip1_100x100_256s_sp5,0.909613948,0.000752292,0.8788415,-0.0081647,-,0.182673307,0.003096163,1.244952488,0.003832069,1528.173463,0.144296256,36.49749676,0.225723717,1.252415874,0.004168596,1424.432126,0.162085041,40.0,0.021364832,0.003732062,8.49e-05,0.005798107,4.49e-05,19.01575155,-,16.79653593,-,1.409843022,0.030916569,0.762522273,0.329559682,0.392686816,0.020716156,-0.15203852,0.055046443,-0.3,0.002935119,-0.000304477,5.68e-05,0.918543455,0.018401197,-0.155810561,0.017278879,1.121801954,0.032712194,CI_Ref_10,1.330854492,1.360380963,115.84,0.787070269,0.060416465,0.787070269,0.060416465,-,0.315892822,0.052944476,4923.887739,153.4751662,4909.172699,216.2356526,4938.602779,217.8546513,0.257749969,0.06238743,0.45454728,0.116913799,19.01575155,-,16.79653593,-,2867.908122,2867.908122,0.658079264,0.270885507,62.69181262,7.269861454,31.36913593,8.351746513,336.0640387,14.54781983,0.785448024,0.290441484,0.691949477,0.269889839
CI_Ref_11_1_100x100_256s_sp1,0.482308806,0.001010431,0.459961,-0.013603771,-,0.097375211,0.003214671,0.572384675,0.003820196,1526.43688,0.309692051,33.2487477,0.434784161,0.569716472,0.004879379,1427.232667,0.376581711,38.75608612,0.448989129,0.000648852,0.00022723,0.003162543,3.57e-05,3.992879093,*,8.020748259,-,0.69865522,0.038114905,2.410825139,0.393861566,0.001053847,0.022467535,0.115563004,0.063368974,-0.3,0.016109855,0.000194466,6.89e-05,0.207624259,0.021758668,-0.146363641,0.017519701,0.602498442,0.026743997,CI_Ref_11,0.618045,0.630865,25.0,1.943612317,0.287721319,1.943612317,0.287721319,-,0.761694441,0.160614981,10725.85147,1010.656537,10750.90945,1430.268609,10700.79349,1428.299077,0.19867631,0.092539158,1.108581825,0.312671002,3.992879093,*,8.020748259,-,2818.338214,2818.338214,0.668686049,0.281382917,63.44880503,7.325903496,32.6870347,8.417099411,332.5531332,14.78355966,0.835040347,0.292762379,0.72941818,0.272030319
CI_Ref_11_1_100x100_256s_sp2,0.26023825,0.000225753,0.2432597,-0.011887864,-,0.064797588,0.003184125,0.349814178,0.00387176,1525.989487,0.529193347,33.76832077,0.747241979,0.34579268,0.005290778,1426.96909,0.634045458,38.3084,0.743184982,0.002028871,0.000127833,0.000343516,4.94e-06,8.30892453,-,4.079891875,-,0.326277219,0.069619458,0.643140044,0.719366021,0.098919785,0.022651731,-0.034271923,0.095407295,-0.179295332,0.061412344,8.79e-05,0.000122355,0.11863034,0.036873193,-0.093205937,0.018392072,0.382680862,0.027742937,CI_Ref_11,0.369160391,0.380577294,24.89,1.038706791,0.154052671,1.038706791,0.154052671,-,0.502028768,0.107802617,6470.360167,611.7389681,6507.76713,869.214149,6432.953203,861.025565,0.615307577,0.168641831,0.119265731,0.033625598,8.30892453,-,4.079891875,-,2845.481192,2845.481192,0.668686049,0.281382917,63.44880503,7.325903496,32.6870347,8.417099411,332.5531332,14.78355966,0.835040347,0.292762379,0.72941818,0.272030319
CI_Ref_11_1_100x100_256s_sp3,0.313707105,7.18e-05,0.3005452,-0.006805205,-,0.065774685,0.003156413,0.412596146,0.003846044,1526.971972,0.418922681,33.77305493,0.613738654,0.416043956,0.004803673,1427.040867,0.504553827,39.31589271,0.501419933,0.002430613,0.000148168,0.002916551,0.000141017,4.964144076,-,4.149642517,-,0.484309596,0.043218027,1.512480193,0.451818292,0.107361347,0.021856872,0.199778488,0.06872151,-0.3,0.024555781,0.000217546,7.8e-05,0.131284618,0.024466366,-0.097192837,0.017430495,0.40991918,0.027818261,CI_Ref_11,0.43947749,0.439290085,26.99,1.160890217,0.161113822,1.160890217,0.161113822,-,0.472469194,0.097916027,7146.205541,622.4798511,7116.471572,876.3389793,7175.93951,884.2819989,0.683437178,0.18305938,0.93882195,0.263408059,4.964144076,-,4.149642517,-,2841.757459,2841.757459,0.668686049,0.281382917,63.44880503,7.325903496,32.6870347,8.417099411,332.5531332,14.78355966,0.835040347,0.292762379,0.72941818,0.272030319
CI_Ref_11_1_100x100_256s_sp4,0.267663803,0.000210396,0.2740422,0.012344968,-,0.05879975,0.003163113,0.359071037,0.003874861,1525.845456,0.485371852,33.18232969,0.674563834,0.359317745,0.005300057,1427.019253,0.577503174,38.43287952,0.708940351,0.000432085,0.000130495,0.002480227,2.4e-05,3.222309032,*,19.67412292,-,0.157534748,0.069680543,-1.286257987,0.721175355,0.192709396,0.021994603,-0.354531723,0.094334393,-0.003928921,0.064463551,-0.000258475,0.00012238,0.262472918,0.036806602,-0.094326791,0.017728133,0.413437946,0.025678826,CI_Ref_11,0.386795055,0.402823945,27.77,0.953000829,0.12831355,0.953000829,0.12831355,-,0.406375051,0.083929353,5960.819014,502.2582795,5958.771959,708.3457657,5962.86607,712.2498111,0.116893083,0.048655932,0.768142737,0.209709535,3.222309032,*,19.67412292,-,2848.104395,2848.104395,0.668686049,0.281382917,63.44880503,7.325903496,32.6870347,8.417099411,332.5531332,14.78355966,0.835040347,0.292762379,0.72941818,0.272030319
CI_Ref_14_1_100x100_256s_sp2,0.293354068,0.000238776,0.2709153,-0.017734265,-,0.035642112,0.003158922,0.161110602,0.003688683,1528.638327,1.25228657,35.63261107,1.672862147,0.154949697,0.004930725,1427.793982,1.330837983,38.28161218,1.23540625,0.003663855,0.000315557,0.00386616,1.52e-06,4.077804313,-,4.434663964,-,0.645420713,0.047260157,2.869154416,0.485624318,-0.000749915,0.021057951,0.263228428,0.065858227,-0.22392076,0.047669872,0.000451502,8.25e-05,0.055900486,0.024865991,-0.032906114,0.018165709,0.101081869,0.031309592,CI_Ref_14,0.165436123,0.177031819,27.63,1.047237527,0.14109645,1.047237527,0.14109645,-,0.248218676,0.05456029,2626.907825,226.2014891,2678.113653,323.8734924,2575.701996,315.8708844,1.002169663,0.276240844,1.208919403,0.332767546,4.077804313,-,4.434663964,-,2846.526532,2846.526532,0.666827664,0.282499166,63.3161745,7.316072289,32.45612934,8.40566678,332.1797989,14.80848523,0.826351414,0.292356689,0.722853393,0.271655451
CI_Ref_14_1_100x100_256s_sp3,0.295181339,0.000185126,0.2746656,-0.017394736,-,0.042633124,0.003109587,0.186686586,0.0036819,1527.163654,0.909274527,33.13184369,1.314091361,0.181199859,0.004710941,1428.891155,1.112409578,38.45461827,1.107929485,0.004048856,0.000310291,0.006972173,0.000241135,4.086661497,-,4.009645124,-,0.585410759,0.05697685,2.257568883,0.590540237,-0.023358014,0.021451039,0.224521318,0.079484426,-0.227791873,0.050278187,0.000342084,0.000100337,0.087111877,0.030387522,-0.046311108,0.017845889,0.173839541,0.027142732,CI_Ref_14,0.196187297,0.204820615,27.14,1.093329957,0.151496476,1.093329957,0.151496476,-,0.308054423,0.066691548,3172.47305,280.5087154,3219.787904,400.7054684,3125.158196,392.6521172,1.149064938,0.3158916,2.262012222,0.633747769,4.086661497,-,4.009645124,-,2845.117688,2845.117688,0.666827664,0.282499166,63.3161745,7.316072289,32.45612934,8.40566678,332.1797989,14.80848523,0.826351414,0.292356689,0.722853393,0.271655451
