,BL5200_BL_M,BL5200_BL_STD,BL4500_BL_M,BL4500_BL_STD,BL3550_BL_M,BL3550_BL_STD,BL1635_M,BL1635_STD,BL1515_M,BL1515_STD,BL1430_M,BL1430_STD,Thickness,H2Ot_3550_SAT,ERR_5200,ERR_4500
21ALV1846-9_44x44_s1_EP_103um,0.1578347100673412,0.0001906305860961942,0.0872319547764706,4.174219443402407e-05,0.09299406796734588,0.002442854333200509,0.4500381866254143,0.0014393153314740314,0.4500381866254143,0.0014393153314740314,0.4500381866254143,0.0014393153314740314,103.0,-,-,-
21ALV1846-9_44x44_s2_EP_103um,0.2846986969076813,0.000430504923805617,0.21504174762630066,1.5336536115556836e-05,0.22051860011330737,0.0024722986365694364,0.5943083054492365,0.0013695334531550745,0.5943083054492365,0.0013695334531550745,0.5943083054492365,0.0013695334531550745,103.0,-,-,-
21ALV1846-9_44x44_s3_EP_103um,0.1662120091725176,0.0001916360684009834,0.09615045762682929,5.002864827207114e-05,0.10354291152954546,0.0024341609023555005,0.46582668334968125,0.0013991095319132554,0.46582668334968125,0.0013991095319132554,0.46582668334968125,0.0013991095319132554,103.0,-,-,-
23WOK5-4_44x44_s1_EP_147um,0.34297137976267167,0.00032894748198981645,0.2640148424404544,1.358687855366978e-06,0.25309462001581445,0.0015872345489343514,0.664099025122858,0.0013564839666412208,0.664099025122858,0.0013564839666412208,0.664099025122858,0.0013564839666412208,147.0,-,-,-
23WOK5-4_44x44_s2_EP_147um,0.19596514340271767,0.00024445003551351715,0.11620236585569164,8.264852528622818e-05,0.10749584589098826,0.0013505071683280264,0.5053368184284249,0.001339704187728134,0.5053368184284249,0.001339704187728134,0.5053368184284249,0.001339704187728134,147.0,-,-,-
23WOK5-4_44x44_s3_EP_147um,0.2484357140376298,0.0002716686982165881,0.17034341500919217,0.00012874489678641574,0.1634383711080337,0.001319540269951304,0.5764825532614659,0.0013899832599446453,0.5764825532614659,0.0013899832599446453,0.5764825532614659,0.0013899832599446453,147.0,-,-,-
ALV1833-11_44x44_s1_EP_108um,0.2190189306388756,0.00038560800642781494,0.1401924028620305,9.973542331995394e-05,0.11609909206793534,0.0004925173928126481,0.45745827106234477,0.0015155681063287435,0.45745827106234477,0.0015155681063287435,0.45745827106234477,0.0015155681063287435,108.0,-,-,-
ALV1833-11_44x44_s2_EP_108um,0.19949696181293683,0.00017289608148121231,0.12098268570157311,0.0001988842251633218,0.09725015129461116,0.0004820325364631915,0.43868104067275115,0.001406412904392315,0.43868104067275115,0.001406412904392315,0.43868104067275115,0.001406412904392315,108.0,-,-,-
ALV1833-11_44x44_s3_EP_108um,0.20248566220092964,0.00021852028178515577,0.12403279599202544,0.00019102327852271768,0.09979112223864044,0.0005262786250337492,0.44114010526472475,0.0014055398384946217,0.44114010526472475,0.0014055398384946217,0.44114010526472475,0.0014055398384946217,108.0,-,-,-
BF73_100x100_051823_sp1,0.3766881429061848,0.00027940018867748137,0.2239818689932366,1.446693861843482e-06,0.13135598481450994,0.00026884077296370347,0.8582390158801252,0.0015101606760537052,0.8582390158801252,0.0015101606760537052,0.8582390158801252,0.0015101606760537052,191.7,-,-,-
