Sample ID,PH_3550_M,PH_3550_STD,H2Ot_3550_MAX,BL_H2Ot_3550_MAX,H2Ot_3550_SAT,PH_1635_BP,PH_1635_STD,PH_1515_BP,PH_1515_STD,P_1515_BP,P_1515_STD,STD_1515_BP,STD_1515_STD,PH_1430_BP,PH_1430_STD,P_1430_BP,P_1430_STD,STD_1430_BP,STD_1430_STD,PH_5200_M,PH_5200_STD,PH_4500_M,PH_4500_STD,STN_P5200,ERR_5200,STN_P4500,ERR_4500,AVG_BL_BP,AVG_BL_STD,PC1_BP,PC1_STD,PC2_BP,PC2_STD,PC3_BP,PC3_STD,PC4_BP,PC4_STD,m_BP,m_STD,b_BP,b_STD,PH_1635_PC1_BP,PH_1635_PC1_STD,PH_1635_PC2_BP,PH_1635_PC2_STD,H2Ot_MEAN,H2Ot_STD,H2Ot_3550_M,H2Ot_3550_STD,H2Ot_3550_SAT,H2Om_1635_BP,H2Om_1635_STD,CO2_MEAN,CO2_STD,CO2_1515_BP,CO2_1515_STD,CO2_1430_BP,CO2_1430_STD,H2Om_5200_M,H2Om_5200_STD,OH_4500_M,OH_4500_STD,PH_5200_STN,ERR_5200,PH_4500_STN,ERR_4500,Density,Density_Sat,Tau,Eta,epsilon_H2Ot_3550,sigma_epsilon_H2Ot_3550,epsilon_H2Om_1635,sigma_epsilon_H2Om_1635,epsilon_CO2,sigma_epsilon_CO2,epsilon_H2Om_5200,sigma_epsilon_H2Om_5200,epsilon_OH_4500,sigma_epsilon_OH_4500,Repeats,PH_1430,PH_1515,Thickness,PH_1515_norm,PH_1515_BP_norm,PH_1515_STD_norm,PH_1430_norm,PH_1430_BP_norm,PH_1430_STD_norm,Py_Devol_1430,Py_Devol_1515
ND70_02_01_06032022_150x150_sp1,3.230515695738424,0.0056524196268738,2.930676,-0.030428516294916,*,0.3405391553173728,0.0031272773734377,0.3596680049135123,0.0034901602567676,1525.2875621871467,0.4637649297251305,30.17784281368151,0.530936132127337,0.3654539522340322,0.0037713947049489,1431.8377586136437,0.5492028825560445,38.51331971988619,0.6402463810130252,0.0128150488720344,0.0001062492054221,0.0164794727066911,0.0002324980393007,12.857689469226292,-,11.766686711017876,-,2.0378135586023136,0.0245547169884414,2.9999999999999996,0.2487420653409421,0.7581318986110102,0.0209643065449138,0.0157068907504265,0.0434912605878509,-0.2999999999999999,0.0070229167217608,0.0003001032420051,4.386226131021315e-05,1.0230860954345364,0.0139685142573474,-0.0406331067600383,0.0144746295817698,0.3861015223197414,0.0221137161247369,1.910877808426806,0.1800269319589618,2.773844368140317,0.2122495156391061,*,0.5908909995512224,0.0997618104846335,1402.9054696695198,42.80746935237189,1378.578692024456,59.311889576249456,1400.7557652705534,60.451039520064775,0.8948100218383052,0.2208447443749366,1.3019551869748347,0.3426931638280715,12.857689469226292,-,11.766686711017876,-,2784.663772010372,2811.191022145661,0.6543516197086039,0.2369765309972724,62.455763085951425,7.229957312505135,30.905973907123787,8.328721722128673,341.7931467030245,13.109108850778435,0.7680193838817067,0.2895986186657249,0.6787815501395684,0.2691664125907487,ND70-2,0.316455906,0.362817312,119.5,0.1518064066945607,0.15048870498473318,0.0014603180990659414,0.13240832887029289,0.15290960344520177,0.0015779894162966108,1.1548337234509765,0.9913198544216993
ND70_02_01_06032022_150x150_sp2,3.229339281506778,0.0055074999773618,3.011005,-0.0059287952128369,*,0.3538365031819146,0.0031645922061386,0.3627301730814014,0.0037493440607495,1525.0850686081274,0.4740298278742605,30.2008315425936,0.5252381743466301,0.3653843316888293,0.0044337005907915,1432.273663617064,0.5546521327239903,38.30614933565263,0.7113679184992578,0.0082148267253272,6.926589849129231e-05,0.0166357202882334,0.0003110802527126,10.457739221568236,-,16.51877519902364,-,2.031145313045724,0.0358359706349975,2.290755074282021,0.3742118469642715,0.6679701608561592,0.0212402735254924,0.100801499809692,0.0613652428613555,-0.2999999999999999,0.0076468318886412,0.000327134002738,6.539289289886159e-05,1.0347938178142964,0.0208750407909871,-0.0517359122501639,0.014327527382794,0.3896867787965148,0.022043051215912,1.946611050070232,0.1824320834925351,2.7739046705096086,0.2123533924521451,*,0.6142010806481206,0.1037459298863199,1408.6796376310976,43.25577228777183,1390.852450986623,60.113032431845,1401.0295558386636,61.23097109053083,0.5738212160347763,0.14164149444203,1.314806842728134,0.3461436651732196,10.457739221568236,-,16.51877519902364,-,2784.694537833707,2810.1062171531553,0.6543516197086039,0.2369765309972724,62.455763085951425,7.229957312505135,30.905973907123787,8.328721722128673,341.7931467030245,13.109108850778435,0.7680193838817067,0.2895986186657249,0.6787815501395684,0.2691664125907487,ND70-2,0.288433199,0.333362993,119.5,0.1394824238493724,0.15176994689598383,0.0015687632053345188,0.12068334686192467,0.15288047350997042,0.0018551048497035566,1.266790137042544,1.0880937017547154
ND70_02_01_06032022_150x150_sp3,3.230188067012769,0.0031824589393666,2.957131,-0.0006738411801398,*,0.3432206927889188,0.0030455231684581,0.3673930407678938,0.0033735847389508,1524.5484212423917,0.4523930257965982,30.68729382656087,0.5371779716095277,0.3579318433606852,0.0036088318818028,1431.8008936718857,0.5429626036793874,36.34788048670846,0.6123514830942985,0.0129022762501412,7.853973234694596e-05,0.0147319707159755,0.000253236799549,9.700994816670445,-,14.423720394791232,-,2.0411922295961733,0.0162374825074232,2.9999999999999996,0.1547293464958732,0.4265802788301782,0.020565454903171,0.2301276725824595,0.0305129091878875,-0.2999999999999999,0.0173922547971794,0.0003788629163812,2.7272002964232933e-05,1.006974335955259,0.008633531002406,-0.0693589894142496,0.0143357428881693,0.3851363494367925,0.0219136125304195,1.7761935728224434,0.1627643354006119,2.769520463155329,0.2119673383641632,*,0.5946758731090086,0.1006016240637177,1403.2937580617927,42.71669943742084,1406.1356402171216,60.379206833078186,1369.92448377932,59.08995470860275,0.899587565861631,0.2219630680607278,1.1621979538014469,0.3061452350218457,9.700994816670445,-,14.423720394791232,-,2784.672340156149,2815.2944379049472,0.6543516197086039,0.2369765309972724,62.455763085951425,7.229957312505135,30.905973907123787,8.328721722128673,341.7931467030245,13.109108850778435,0.7680193838817067,0.2895986186657249,0.6787815501395684,0.2691664125907487,ND70-2,0.281350617,0.328214452,119.5,0.13732822259414224,0.15372093755978822,0.0014115417317785775,0.11771992343096234,0.14976227755677204,0.0015099714986622594,1.272191428535894,1.1193688715690493
ND70_02_01_100x100_256s_20231013_sp6,1.1055391803492036,0.0026266240022263,1.050466,-0.0312127126494493,-,0.1437674615133365,0.0031311800678278,0.1388726607595158,0.0037156317925368,1524.5819643962818,1.1738361972475333,30.646661266617137,1.3911600055728683,0.1344778813241437,0.0045655936962085,1432.3396583240662,1.4355026355120466,36.99274106462981,1.554402839066864,0.0043893529696333,0.0002683152098895,0.006889003220644,0.0001734558773547,9.161902193274535,-,10.682866778144586,-,0.666386618692859,0.0680403949418586,-0.1660051888624869,0.7047581046603663,0.4696340887149606,0.0214745969639084,-0.2198208094457859,0.0936752013315937,-0.191066297046626,0.056693030291516,-3.1888212445857155e-06,0.0001198481363782,0.3991176440383491,0.0362032598181828,-0.048583575550457,0.0151613744622077,0.1836016169257424,0.0223502566316164,2.2988936667213453,0.2189667638942736,2.2988936667213453,0.2189667638942736,-,0.6041370006175562,0.1087826798862904,1268.6861817512622,68.67168252009948,1289.0834193019923,96.83505599162156,1248.288944200532,97.39698071123593,0.7422421086284747,0.1955419713565371,1.3180856219520891,0.358452127290454,9.161902193274535,-,10.682866778144586,-,2799.4975610907836,2799.4975610907836,0.6543516197086039,0.2369765309972724,62.455763085951425,7.229957312505135,30.905973907123787,8.328721722128673,341.7931467030245,13.109108850778435,0.7680193838817067,0.2895986186657249,0.6787815501395684,0.2691664125907487,ND70-2,0.143963,0.160454,49.55366818,0.16189921542958519,0.14012349222571296,0.0037490986328600788,0.14525968035006526,0.13568912884073772,0.004606716176514241,0.9341141913140439,0.8654982783820646
ND70_02_01_100x100_256s_20231013_sp7,1.1445661886354286,0.0040367368466542,1.091131,-0.0319848897061519,-,0.1398301538713108,0.0031665806328669,0.1300890680983242,0.0035473214027134,1525.0800235183751,1.167553103624026,30.20170641274835,1.4811786938601756,0.1278560825459556,0.0041499317523419,1431.6629944103329,1.428455056011977,36.857877955589075,1.5255796137523845,0.0016104352185296,8.55969585184716e-05,0.0098596127624116,0.0005289834967029,1.9766517695880796,*,10.548429088004672,-,0.9725480882905504,0.0383481487636675,2.9999999999999996,0.3950978070179992,0.4794754628984458,0.0209341909057157,-0.0511695951014991,0.0572078570977592,-0.2999999999999999,0.0333987321069954,0.0004872636357435,6.7472982976659e-05,0.2629238193700273,0.0206625285845754,-0.0190757131408232,0.0146617961528326,0.1474644292767319,0.022467054689279,2.3811760305963117,0.2270196769058929,2.3811760305963117,0.2270196769058929,-,0.5878702879990753,0.1060404114504811,1197.7535930791942,64.63147086567547,1208.1223341156626,90.99078143036112,1187.384852042726,91.81277579800576,0.2724546265745893,0.0711643886010948,1.8873521394824937,0.5225852060850803,1.9766517695880796,*,10.548429088004672,-,2797.042006819634,2797.042006819634,0.6543516197086039,0.2369765309972724,62.455763085951425,7.229957312505135,30.905973907123787,8.328721722128673,341.7931467030245,13.109108850778435,0.7680193838817067,0.2895986186657249,0.6787815501395684,0.2691664125907487,ND70-2,0.141276,0.167948,49.56545985,0.16942039931462471,0.1312295583376134,0.0035784207525247037,0.142514566017892,0.128976996211562,0.004186314184213001,0.9050092198671789,0.7745794418410712
ND70_02_01_100x100_256s_20231013_sp8,1.1542936162254387,0.0036950718503924,1.101676,-0.0308059300792035,-,0.1392369716313876,0.0031388827141243,0.1273700575334776,0.0035333432040285,1524.7948818286093,1.209312923388576,30.332730627077165,1.50937291456903,0.1248778013656034,0.00431777892484,1431.5537799269237,1.4401588368567289,36.059291437952915,1.637891530926383,0.0019186526769853,0.000203141696591,0.0100931451043897,0.0006294018886916,1.7331751821598222,*,7.024641247990978,-,0.9745478356209016,0.0289747563523506,2.9999999999999996,0.2933008729566175,0.4266819356385062,0.0201513158584107,-0.0746704513290719,0.0438972577239382,-0.2659743572465785,0.033237380571101,0.0004536201663773,5.016469131260798e-05,0.2773264577434827,0.0152770934269254,-0.0125401468115593,0.0146894238708368,0.1336406071809436,0.0218661712705493,2.4054301866152055,0.2293252757839973,2.4054301866152055,0.2293252757839973,-,0.5863556539888335,0.1059056976373298,1173.257871205878,63.81145926743943,1184.8498790777453,89.48640044428308,1161.665863334011,90.9933704776658,0.3251420687258242,0.0909703908988174,1.9352874020961797,0.5394120918163724,1.7331751821598222,*,7.024641247990978,-,2796.319785794252,2796.319785794252,0.6543516197086039,0.2369765309972724,62.455763085951425,7.229957312505135,30.905973907123787,8.328721722128673,341.7931467030245,13.109108850778435,0.7680193838817067,0.2895986186657249,0.6787815501395684,0.2691664125907487,ND70-2,0.138794,0.166893,49.50022297,0.16857802852842382,0.12865604424718574,0.0035690174629818437,0.14019532809389282,0.12613862511416016,0.004361373207810421,0.8997348686946366,0.7631839414084329
ND70_03_01_30June2022_150x150_sp1,0.9387916706324312,0.0024095131123316,0.8512006,-0.0661093614807537,-,0.1500279251802378,0.0031822116837605,0.1310853702107752,0.0037136953622949,1523.8852430796626,1.2097896570396447,29.69737833092529,1.3509935423780206,0.1274941800567193,0.0043654726858616,1433.3777628824555,1.4579291105777334,36.33665782445747,1.6219334824287526,0.0041674481183511,0.0001378830042326,0.009133609471174,0.0004863132410737,18.954680043856538,-,15.56147658080602,-,0.5852559070595508,0.05398862390933,1.2829193894821391,0.561770693390816,0.3870405552657668,0.0209652012198391,0.0098095242045946,0.0785578124127917,-0.2829589295038431,0.041103642641458,0.0002567538526316,9.572859425616996e-05,0.1594517233409124,0.0293064337387366,-0.0430356824148986,0.0145292077099945,0.152891039413686,0.0202899279812683,3.2655301596430992,0.4179177136702109,3.2655301596430992,0.4179177136702109,-,1.0689161531022089,0.2175069619992078,1983.1189220816009,160.10225300000178,2010.66076419531,228.16180359467683,1955.5770799678912,224.6622287860833,1.2066189260954636,0.3399804700393874,2.9796116012277247,0.8906423617166828,18.954680043856538,-,15.56147658080602,-,2778.8695105650017,2778.8695105650017,0.649720340707674,0.2294934659580812,62.125105109592305,7.205591472888485,30.3305350186184,8.300070588485939,344.1734631167209,12.941025138560756,0.7463657070140335,0.2885787056167198,0.6624214543470153,0.2682307191099471,ND70-3,0.12695089,0.141618387,30.0,0.23603064500000004,0.2184756170179587,0.006189492270491499,0.2115848166666667,0.2124903000945322,0.007275787809769334,1.0042795293260198,0.9256239460683534
ND70_03_01_30June2022_150x150_sp2,0.9441085152260698,0.0027126715196555,0.8552208,-0.0679512059527828,-,0.1506588937859082,0.0031679864724255,0.1330593561309222,0.0037481854333469,1523.5903684125362,1.155510681280541,29.360593452396305,1.2890543011656572,0.1293833054623543,0.0043188734959863,1433.364422964156,1.4036995078198091,36.35308700803622,1.60908439067632,0.002695293094994,0.0002432644210627,0.010467009631858,0.0002317956199293,7.415940654584971,-,15.881766791893972,-,0.6019121315969191,0.0483083550808391,1.3449090642185806,0.5029930975925733,0.4034283751441237,0.0212247275444904,0.0242121274688497,0.0728319485636572,-0.2999999999999999,0.0339182123465947,0.0002853845202442,8.608540901292553e-05,0.1554689565370075,0.0265589214862461,-0.0489150936071842,0.0147445056215216,0.1637182064800952,0.0201229244319242,3.7214425709009182,0.5236448901158172,3.7214425709009182,0.5236448901158172,-,1.2163855332444915,0.2589451264106184,2280.835434283134,206.17114456094455,2312.783237937418,294.12180182770516,2248.88763062885,288.9957250339592,0.8843228870147697,0.2689509243028097,3.86941024483571,1.169998023871257,7.415940654584971,-,15.881766791893972,-,2765.68577936529,2765.68577936529,0.649720340707674,0.2294934659580812,62.125105109592305,7.205591472888485,30.3305350186184,8.300070588485939,344.1734631167209,12.941025138560756,0.7463657070140335,0.2885787056167198,0.6624214543470153,0.2682307191099471,ND70-3,0.127281421,0.141806731,26.6,0.2665540056390977,0.2501115716746658,0.007045461340877631,0.23925079135338345,0.24320170199690658,0.008118183263132142,1.0165136784759363,0.9383148119458605
ND70_03_01_30June2022_150x150_sp3,1.0283367502291476,0.0029372807199576,0.9510617,-0.0552450519860859,-,0.1652807996887575,0.0031509957014255,0.1445766110075757,0.0037686617869095,1523.533066395479,1.119805862760273,29.755992009851223,1.256857183188918,0.1403682183542189,0.0044161334584169,1433.2388969242843,1.352686915005014,36.24777279192453,1.5444324993041498,0.0020530631412266,8.816014224602168e-05,0.0107846272543965,0.0002029559991543,3.1968306094211876,*,16.197179370333597,-,0.5793449228055527,0.0579599396147023,0.5939826006742401,0.603274111884131,0.4054797854507093,0.0213812561920548,-0.0305246712590049,0.0831628473885932,-0.2575495933328807,0.0462056069338305,0.0001880410523403,0.0001027605631599,0.2158824284596233,0.0313498414372191,-0.0513483685672052,0.014744542110346,0.1702980296276536,0.0203881247641422,4.067948435081592,0.5724715858524653,4.067948435081592,0.5724715858524653,-,1.3392126820187409,0.2848226800514898,2485.2551035841643,223.73137580882155,2521.9602066143425,320.04300799404956,2448.5500005539857,312.7225401523742,0.6760173594836708,0.1965393237710481,4.001086757739543,1.2081019582540462,3.1968306094211876,*,16.197179370333597,-,2755.828332663615,2755.828332663615,0.649720340707674,0.2294934659580812,62.125105109592305,7.205591472888485,30.3305350186184,8.300070588485939,344.1734631167209,12.941025138560756,0.7463657070140335,0.2885787056167198,0.6624214543470153,0.2682307191099471,ND70-3,0.140806098,0.157009582,26.6,0.29513079323308267,0.27176054700672125,0.007083950727273496,0.26467311654135334,0.26385003450041145,0.00830100274138515,0.996890194018578,0.9208139348309056
ND70_03_01_30June2022_150x150_sp4,1.0847636529045293,3.650392163757139e-05,1.010081,-0.0485375646530453,-,0.1639641870447595,0.0031859044319298,0.1528328276923678,0.0037135360335081,1521.513746179137,1.007506108373836,29.93711746514922,1.2162933517848182,0.1426779624700276,0.0042483949995727,1432.6873501984826,1.217371344579986,33.53941517625696,1.4378525211549629,0.0087555556241767,0.0007677090676222,0.0138805076433209,0.0002183794351404,3.313314057527465,*,4.923773973537898,-,0.5485110881552238,0.0704866794673612,0.8484408057325452,0.7283099543106692,-0.188199643267452,0.0214394313471398,0.0607306189854921,0.0958075167547109,0.1341462504508471,0.059377340305152,6.049275720362503e-05,0.0001237530714659,0.2438656195854094,0.0372606674555555,-0.0796223301648107,0.0149162908414552,0.1755373823171141,0.0203309887150162,4.933360056788262,0.7768494225240881,4.933360056788262,0.7768494225240881,-,1.4955169526198644,0.3316064512377378,3029.26027094604,311.6918880615408,3133.3570782333213,453.6166522627013,2925.163463658759,427.5970826881913,3.196270685645476,0.9700234224163536,5.74660374784836,1.7364885512349617,3.313314057527465,*,4.923773973537898,-,2713.866947200537,2713.866947200537,0.6570070530817772,0.2442497578945877,62.6453522308407,7.243942648455072,31.235912921476466,8.345127865442304,339.4795784962073,13.271125826759478,0.7804349382447211,0.290182249438123,0.688161927427815,0.269702716606457,ND70-3,0.124916181,0.143899934,23.3,0.3087981416309013,0.3279674413999309,0.007968961445296352,0.26806047424892704,0.3061758851288146,0.009116727466894205,1.1421895972790554,1.0620771215389702
