Wavenumber,Absorbance
993.2023,2.917984
995.1307,2.955499
997.0593,6
998.9879,6
1000.916,6
1002.845,2.809911
1004.774,2.584419
1006.702,2.808356
1008.631,3.712419
1010.559,3.05345
1012.488,2.64086
1014.416,2.617561
1016.345,2.818566
1018.273,2.771725
1020.202,2.700782
1022.13,2.55059
1024.059,2.559523
1025.988,2.56604
1027.916,2.525492
1029.845,2.474835
1031.773,2.527095
1033.702,2.539105
1035.63,2.561054
1037.559,2.60473
1039.487,2.430391
1041.416,2.356727
1043.344,2.474882
1045.273,2.501314
1047.202,2.474517
1049.13,2.508896
1051.059,2.47437
1052.987,2.458125
1054.916,2.545397
1056.844,2.409446
1058.773,2.279186
1060.701,2.266725
1062.63,2.360302
1064.558,2.371389
1066.487,2.346
1068.416,2.388257
1070.344,2.398983
1072.273,2.352305
1074.201,2.322803
1076.13,2.314626
1078.058,2.380361
1079.987,2.389561
1081.915,2.336169
1083.844,2.34269
1085.773,2.342438
1087.701,2.300739
1089.63,2.291608
1091.558,2.369752
1093.487,2.345328
1095.415,2.268945
1097.344,2.322984
1099.272,2.307738
1101.201,2.271195
1103.129,2.299155
1105.058,2.362516
1106.987,2.372427
1108.915,2.314805
1110.844,2.238041
1112.772,2.227368
1114.701,2.246706
1116.629,2.243568
1118.558,2.257908
1120.486,2.233103
1122.415,2.222332
1124.344,2.25017
1126.272,2.26015
1128.201,2.294886
1130.129,2.318154
1132.058,2.313675
1133.986,2.234837
1135.915,2.188846
1137.843,2.199574
1139.772,2.216569
1141.7,2.178089
1143.629,2.16816
1145.557,2.233019
1147.486,2.265269
1149.415,2.187955
1151.343,2.161524
1153.272,2.158845
1155.2,2.165036
1157.129,2.185045
1159.057,2.203333
1160.986,2.164031
1162.914,2.163358
1164.843,2.168729
1166.771,2.165386
1168.7,2.170485
1170.629,2.170689
1172.557,2.167884
1174.486,2.189169
1176.414,2.193575
1178.343,2.197496
1180.271,2.22632
1182.2,2.217911
1184.128,2.169772
1186.057,2.154927
1187.986,2.133169
1189.914,2.14524
1191.843,2.164672
1193.771,2.172576
1195.7,2.200568
1197.628,2.200107
1199.557,2.209599
1201.485,2.239024
1203.414,2.205337
1205.343,2.134316
1207.271,2.119882
1209.2,2.109528
1211.128,2.116463
1213.057,2.12018
1214.985,2.089206
1216.914,2.058461
1218.842,2.022442
1220.771,1.957984
1222.699,1.865945
1224.628,1.77986
1226.557,1.709793
1228.485,1.624396
1230.414,1.539384
1232.342,1.469177
1234.271,1.403175
1236.199,1.338605
1238.128,1.275307
1240.056,1.22143
1241.985,1.174758
1243.913,1.127771
1245.842,1.080118
1247.771,1.041761
1249.699,1.00687
1251.628,0.9740061
1253.556,0.9432098
1255.485,0.9131041
1257.413,0.8851804
1259.342,0.8581328
1261.27,0.8334693
1263.199,0.810594
1265.127,0.7881059
1267.056,0.7682504
1268.985,0.7487025
1270.913,0.7296897
1272.842,0.7134026
1274.77,0.6978356
1276.699,0.680856
1278.627,0.6653977
1280.556,0.6515121
1282.484,0.6374634
1284.413,0.623399
1286.342,0.61114
1288.27,0.5987438
1290.199,0.5870104
1292.127,0.5757332
1294.056,0.5654148
1295.984,0.5551093
1297.913,0.5455431
1299.841,0.5363263
1301.77,0.5269114
1303.698,0.5184274
1305.627,0.5108668
1307.556,0.5030669
1309.484,0.4955336
1311.413,0.4882863
1313.341,0.4813298
1315.27,0.4742529
1317.198,0.4676665
1319.127,0.4616003
1321.055,0.4560756
1322.984,0.45116
1324.912,0.4455657
1326.841,0.4398971
1328.77,0.4348744
1330.698,0.4308904
1332.627,0.4269958
1334.555,0.4228746
1336.484,0.4192882
1338.412,0.4157691
1340.341,0.4120891
1342.269,0.4090727
1344.198,0.4072003
1346.126,0.4052129
1348.055,0.4029845
1349.984,0.4003222
1351.912,0.3976695
1353.841,0.3955081
1355.769,0.3932558
1357.698,0.3908885
1359.626,0.3886501
1361.555,0.386833
1363.483,0.3850608
1365.412,0.3834026
1367.341,0.3826758
1369.269,0.3820378
1371.198,0.3805138
1373.126,0.3791965
1375.055,0.3787299
1376.983,0.3783635
1378.912,0.3780987
1380.84,0.3785379
1382.769,0.3782313
1384.698,0.3776973
1386.626,0.3779593
1388.555,0.3789105
1390.483,0.3795032
1392.412,0.3796172
1394.34,0.3797402
1396.269,0.3801928
1398.197,0.3807903
1400.126,0.3808435
1402.054,0.3806429
1403.983,0.3814388
1405.911,0.3821334
1407.84,0.3813115
1409.769,0.3806396
1411.697,0.3808897
1413.626,0.3811972
1415.554,0.3811604
1417.483,0.3809172
1419.411,0.3812983
1421.34,0.3815401
1423.268,0.3816151
1425.197,0.3817536
1427.125,0.3810698
1429.054,0.3806322
1430.983,0.3808835
1432.911,0.380829
1434.84,0.3807213
1436.768,0.3804338
1438.697,0.379783
1440.625,0.3797266
1442.554,0.3793786
1444.482,0.3780451
1446.411,0.3769657
1448.34,0.3756602
1450.268,0.3745532
1452.197,0.3729551
1454.125,0.3701737
1456.054,0.3674607
1457.982,0.3653656
1459.911,0.3637308
1461.839,0.3623044
1463.768,0.3609676
1465.697,0.3588653
1467.625,0.357084
1469.554,0.3566563
1471.482,0.3566645
1473.411,0.3566295
1475.339,0.3564706
1477.268,0.3566417
1479.196,0.3573363
1481.125,0.3586985
1483.053,0.3599961
1484.982,0.361428
1486.911,0.3633297
1488.839,0.3652375
1490.768,0.3668198
1492.696,0.3681308
1494.625,0.3700424
1496.553,0.3717794
1498.482,0.3732797
1500.41,0.3743463
1502.339,0.3752604
1504.267,0.3759754
1506.196,0.3762725
1508.125,0.3771009
1510.053,0.3780553
1511.982,0.3780327
1513.91,0.3776083
1515.839,0.3775688
1517.767,0.3774799
1519.696,0.3769612
1521.624,0.3759083
1523.553,0.3753705
1525.481,0.3752016
1527.41,0.374132
1529.339,0.3738227
1531.267,0.3740774
1533.196,0.3736528
1535.124,0.3727623
1537.053,0.3720511
1538.981,0.3722605
1540.91,0.3719415
1542.838,0.3717054
1544.767,0.3715168
1546.696,0.370833
1548.624,0.3704205
1550.553,0.3697199
1552.481,0.3693618
1554.41,0.3689696
1556.338,0.3682326
1558.267,0.3681371
1560.195,0.3676011
1562.124,0.366879
1564.052,0.366815
1565.981,0.3666103
1567.91,0.3657698
1569.838,0.3651935
1571.767,0.3655632
1573.695,0.3659043
1575.624,0.3669137
1577.552,0.3682821
1579.481,0.3688384
1581.409,0.3699367
1583.338,0.3717662
1585.266,0.3740414
1587.195,0.3768233
1589.124,0.379945
1591.052,0.3840549
1592.981,0.3893833
1594.909,0.3952331
1596.838,0.4013347
1598.766,0.4072316
1600.695,0.4149866
1602.623,0.424387
1604.552,0.4337821
1606.48,0.4438105
1608.409,0.4553669
1610.338,0.4674466
1612.266,0.4802803
1614.195,0.4939437
1616.123,0.5087893
1618.052,0.5241243
1619.98,0.5386344
1621.909,0.553046
1623.837,0.5667923
1625.766,0.5791169
1627.695,0.5906469
1629.623,0.6009329
1631.552,0.6080946
1633.48,0.6128078
1635.409,0.6161841
1637.337,0.6174132
1639.266,0.6162488
1641.194,0.6127482
1643.123,0.6076013
1645.052,0.6016293
1646.98,0.5936023
1648.909,0.5830258
1650.837,0.5722525
1652.766,0.56137
1654.694,0.5484704
1656.623,0.5358182
1658.551,0.5235683
1660.48,0.5115482
1662.408,0.4988119
1664.337,0.4866238
1666.266,0.4746448
1668.194,0.4630392
1670.123,0.4514409
1672.051,0.4406384
1673.98,0.430328
1675.908,0.4201638
1677.837,0.4105142
1679.765,0.4016778
1681.694,0.3933871
1683.622,0.38548
1685.551,0.3778665
1687.479,0.3706771
1689.408,0.3640826
1691.337,0.358069
1693.265,0.3518607
1695.194,0.3463648
1697.122,0.3413142
1699.051,0.3366461
1700.979,0.3323799
1702.908,0.3286153
1704.836,0.3249859
1706.765,0.3220834
1708.694,0.3193584
1710.622,0.317179
1712.551,0.3159333
1714.479,0.3145762
1716.408,0.3135104
1718.336,0.3132317
1720.265,0.3132378
1722.193,0.3128006
1724.122,0.31205
1726.051,0.3116003
1727.979,0.3110509
1729.908,0.3099588
1731.836,0.3090657
1733.765,0.3086017
1735.693,0.3076706
1737.622,0.3059978
1739.55,0.3045217
1741.479,0.3032099
1743.407,0.3014089
1745.336,0.2994173
1747.265,0.2974116
1749.193,0.2957917
1751.122,0.293966
1753.05,0.2922052
1754.979,0.2908273
1756.907,0.2895985
1758.836,0.2882811
1760.764,0.286924
1762.693,0.2857123
1764.621,0.2846202
1766.55,0.2835001
1768.479,0.2825698
1770.407,0.2815265
1772.336,0.2806131
1774.264,0.2797475
1776.193,0.2794419
1778.121,0.2788655
1780.05,0.2780751
1781.978,0.277601
1783.907,0.2772132
1785.835,0.2766256
1787.764,0.2762163
1789.693,0.2760141
1791.621,0.2758502
1793.55,0.2756849
1795.478,0.2755488
1797.407,0.2755853
1799.335,0.2749996
1801.264,0.2743923
1803.192,0.2736839
1805.121,0.2732076
1807.049,0.2723197
1808.978,0.2711602
1810.907,0.2704082
1812.835,0.2692754
1814.764,0.2679501
1816.692,0.2671424
1818.621,0.266229
1820.549,0.2648418
1822.478,0.2636534
1824.406,0.2625815
1826.335,0.2614315
1828.264,0.2601675
1830.192,0.2589775
1832.121,0.2579189
1834.049,0.2568468
1835.978,0.2558407
1837.906,0.2554259
1839.835,0.2547421
1841.763,0.2539969
1843.692,0.253334
1845.62,0.2530118
1847.549,0.2526932
1849.478,0.2519593
1851.406,0.2511106
1853.335,0.2511031
1855.263,0.251175
1857.192,0.2510161
1859.12,0.2507929
1861.049,0.2502383
1862.977,0.2497799
1864.906,0.2495028
1866.834,0.2487897
1868.763,0.2480257
1870.692,0.2471393
1872.62,0.2466076
1874.549,0.2464205
1876.477,0.2452556
1878.406,0.2435505
1880.334,0.2423666
1882.263,0.2411402
1884.191,0.2398462
1886.12,0.2387077
1888.048,0.237503
1889.977,0.2363584
1891.906,0.2352881
1893.834,0.2342114
1895.763,0.2331908
1897.691,0.232002
1899.62,0.2309832
1901.548,0.2301228
1903.477,0.2293703
1905.405,0.2288268
1907.334,0.2280698
1909.263,0.227491
1911.191,0.2272691
1913.12,0.2268593
1915.048,0.2261583
1916.977,0.2255571
1918.905,0.2254291
1920.834,0.2251794
1922.762,0.2247693
1924.691,0.2245318
1926.62,0.2243749
