Wavenumber,Absorbance,Absorbance_Hat,BL_NIR_H2O,Subtracted_Peak
4275.590999999999,0.4520123,0.4520123,0.45187174786535944,0.00014055213464053695
4277.52,0.45294700000000004,0.4526603,0.4522025092782887,0.0004577907217113153
4279.448,0.4526603,0.45294700000000004,0.452533270691218,0.0004137293087820293
4281.377,0.45301090000000005,0.45301090000000005,0.4528640321041476,0.00014686789585244275
4283.306,0.4535628,0.4535628,0.45319479351707787,0.000368006482922123
4285.234,0.4541982,0.454162,0.45352555493000923,0.0006364450699907764
4287.162,0.454162,0.4541982,0.4538563163429426,0.00034188365705739576
4289.090999999999,0.45476590000000006,0.4543853,0.4541870777558794,0.00019822224412058276
4291.02,0.45557299999999995,0.4543853,0.4545178391688214,-0.0001325391688213884
4292.948,0.4543853,0.45476590000000006,0.4548486005817701,-8.270058177006767e-05
4294.877,0.4539183,0.4552319,0.455179361994595,5.253800540500064e-05
4296.805,0.4552319,0.4552319,0.45551012340708313,-0.00027822340708311133
4298.733,0.456771,0.456771,0.4558408848190212,0.0009301151809787966
4300.662,0.4577701,0.45733630000000003,0.45617164622991774,0.0011646537700822912
4302.590999999999,0.45733630000000003,0.45746390000000003,0.45650240763928246,0.0009614923607175752
4304.52,0.45746390000000003,0.4577701,0.45683316904662624,0.0009369309533737713
4306.448,0.45861899999999994,0.45861899999999994,0.45716393045146053,0.0014550695485394116
4308.376,0.4594902,0.45906320000000006,0.4574946918532976,0.001568508146702452
4310.305,0.45911179999999996,0.45911179999999996,0.4578254532516511,0.0012863467483488766
4312.233,0.45906320000000006,0.4594902,0.45815621464603584,0.0013339853539641733
4314.162,0.45983450000000003,0.45983450000000003,0.4584869760359676,0.0013475239640324266
4316.090999999999,0.4611032,0.45983450000000003,0.45881773742096305,0.0010167625790369894
4318.02,0.4610915,0.45983450000000003,0.4591484988005399,0.0006860011994601622
4319.948,0.4597782999999999,0.460834,0.45947926017421703,0.0013547398257829912
4321.876,0.4591432,0.460834,0.45981002154151374,0.0010239784584862854
4323.805,0.460834,0.460834,0.46014078290195043,0.0006932170980495922
4325.733,0.46215609999999996,0.460834,0.4604715442550487,0.0003624557449513066
4327.662,0.46112349999999996,0.46112349999999996,0.4608023056003304,0.00032119439966954433
4329.590999999999,0.4605281,0.461475,0.4611330669373175,0.0003419330626825423
4331.519,0.461475,0.461475,0.46146382826553206,1.1171734467962935e-05
4333.447,0.46261030000000003,0.46261030000000003,0.4617945895844966,0.0008157104155034345
4335.376,0.4629858,0.4629858,0.4621253508937334,0.000860449106266592
4337.305,0.46398900000000004,0.46398900000000004,0.46245611219276506,0.0015328878072349839
4339.233,0.46633389999999997,0.4654925999999999,0.4627868734811147,0.002705726518885232
4341.162,0.46712120000000007,0.4654925999999999,0.4631176347583068,0.0023749652416931166
4343.09,0.4654925999999999,0.46575320000000003,0.4634483960238681,0.0023048039761319195
4345.019,0.4648603,0.46575320000000003,0.4637791572773279,0.0019740427226721535
4346.947,0.46575320000000003,0.46575320000000003,0.46410991851821726,0.0016432814817827768
4348.876,0.4665460999999999,0.4661188,0.4644406797460692,0.001678120253930826
4350.805,0.4661188,0.4665460999999999,0.4647714409604178,0.0017746590395821271
4352.733,0.466974,0.466974,0.4651022021607985,0.0018717978392014945
4354.662,0.46829529999999997,0.46829529999999997,0.46543296334674844,0.0028623366532515293
4356.59,0.4698771,0.46891859999999996,0.46576372451780623,0.003154875482193731
4358.519,0.47038209999999997,0.46891859999999996,0.46609448567351325,0.0028241143264867152
4360.447,0.46891859999999996,0.46891859999999996,0.46642524681341385,0.0024933531865861114
4362.376,0.46783969999999997,0.46891859999999996,0.4667560079370553,0.002162592062944668
4364.305,0.46877209999999997,0.46891859999999996,0.4670867690439872,0.0018318309560127477
4366.233,0.4706484,0.47047079999999997,0.4674175301337612,0.0030532698662387725
4368.161,0.47047079999999997,0.4706484,0.46774829120593053,0.002900108794069489
4370.09,0.470955,0.470955,0.46807905226005136,0.0028759477399486477
4372.019,0.4723545,0.4723545,0.4684098132956824,0.003944686704317635
4373.947,0.47262550000000003,0.47262550000000003,0.4687405743123851,0.0038849256876149485
4375.876,0.4727371,0.4727371,0.4690713353097247,0.003665764690275297
4377.804,0.47299659999999993,0.47299659999999993,0.4694020962872703,0.003594503712729624
4379.732,0.4746831,0.4746831,0.46973285724459424,0.004950242755405787
4381.661,0.4752585999999999,0.4752585999999999,0.4700636181812725,0.005194981818727407
4383.59,0.47527479999999994,0.47527479999999994,0.4703943790968857,0.0048804209031142465
4385.519,0.4767483,0.4767483,0.47072513999101956,0.006023160008980455
4387.447,0.47709830000000003,0.47709830000000003,0.4710559008632643,0.00604239913673571
4389.375,0.47771890000000006,0.47771890000000006,0.4713866617132161,0.0063322382867839755
4391.304,0.47875070000000003,0.47771890000000006,0.47171742254047666,0.006001477459523397
4393.232,0.47811450000000005,0.47771890000000006,0.4720481833446538,0.005670716655346242
4395.161,0.4769806,0.4769806,0.4723789441253609,0.004601655874639066
4397.09,0.47685320000000003,0.47685320000000003,0.4727097048822168,0.004143495117783225
4399.019,0.47631540000000006,0.47685320000000003,0.4730404656148446,0.0038127343851554474
4400.947,0.47597520000000004,0.47685320000000003,0.4733712263228714,0.003481973677128658
4402.875,0.47858409999999996,0.47858409999999996,0.4737019870059277,0.004882112994072263
4404.804,0.481187,0.48030329999999993,0.4740327476636475,0.006270552336352431
4406.732,0.48040059999999996,0.48040059999999996,0.474363508295669,0.006037091704330977
4408.661,0.48030329999999993,0.481187,0.4746942689016365,0.006492731098363458
