Wavenumber,Absorbance,STD
4870,0.000174227,5.96E-06
4871,0.000205502,5.83E-06
4872,0.00023936,5.70E-06
4873,0.00027576,5.59E-06
4874,0.00031466,5.49E-06
4875,0.000356014,5.39E-06
4876,0.000399777,5.31E-06
4877,0.000445903,5.24E-06
4878,0.000494343,5.17E-06
4879,0.000545048,5.11E-06
4880,0.000597969,5.06E-06
4881,0.000653055,5.01E-06
4882,0.000710254,4.97E-06
4883,0.000769515,4.94E-06
4884,0.000830785,4.91E-06
4885,0.000894012,4.88E-06
4886,0.000959142,4.86E-06
4887,0.001026122,4.84E-06
4888,0.001094897,4.82E-06
4889,0.001165415,4.81E-06
4890,0.001237622,4.80E-06
4891,0.001311462,4.79E-06
4892,0.001386884,4.78E-06
4893,0.001463832,4.78E-06
4894,0.001542254,4.77E-06
4895,0.001622097,4.77E-06
4896,0.001703307,4.77E-06
4897,0.001785833,4.77E-06
4898,0.001869621,4.76E-06
4899,0.001954621,4.76E-06
4900,0.002040782,4.76E-06
4901,0.002128052,4.76E-06
4902,0.002216381,4.76E-06
4903,0.00230572,4.76E-06
4904,0.002396021,4.76E-06
4905,0.002487234,4.76E-06
4906,0.002579313,4.76E-06
4907,0.00267221,4.76E-06
4908,0.002765879,4.76E-06
4909,0.002860275,4.76E-06
4910,0.002955353,4.76E-06
4911,0.003051069,4.76E-06
4912,0.003147379,4.76E-06
4913,0.003244242,4.76E-06
4914,0.003341615,4.76E-06
4915,0.003439458,4.76E-06
4916,0.003537731,4.76E-06
4917,0.003636394,4.75E-06
4918,0.00373541,4.75E-06
4919,0.00383474,4.75E-06
4920,0.003934349,4.75E-06
4921,0.0040342,4.75E-06
4922,0.004134258,4.75E-06
4923,0.00423449,4.75E-06
4924,0.004334862,4.74E-06
4925,0.004435343,4.74E-06
4926,0.004535901,4.74E-06
4927,0.004636506,4.74E-06
4928,0.004737129,4.74E-06
4929,0.004837742,4.74E-06
4930,0.004938317,4.74E-06
4931,0.005038829,4.74E-06
4932,0.005139252,4.74E-06
4933,0.005239562,4.74E-06
4934,0.005339737,4.74E-06
4935,0.005439754,4.74E-06
4936,0.005539593,4.73E-06
4937,0.005639235,4.73E-06
4938,0.00573866,4.73E-06
4939,0.005837853,4.73E-06
4940,0.005936796,4.73E-06
4941,0.006035476,4.73E-06
4942,0.006133879,4.73E-06
4943,0.006231992,4.73E-06
4944,0.006329804,4.73E-06
4945,0.006427307,4.73E-06
4946,0.006524491,4.73E-06
4947,0.006621349,4.73E-06
4948,0.006717876,4.73E-06
4949,0.006814066,4.73E-06
4950,0.006909918,4.73E-06
4951,0.007005428,4.73E-06
4952,0.007100595,4.73E-06
4953,0.007195421,4.73E-06
4954,0.007289907,4.73E-06
4955,0.007384056,4.73E-06
4956,0.007477872,4.73E-06
4957,0.00757136,4.73E-06
4958,0.007664527,4.73E-06
4959,0.007757379,4.73E-06
4960,0.007849925,4.73E-06
4961,0.007942175,4.73E-06
4962,0.008034138,4.73E-06
4963,0.008125827,4.73E-06
4964,0.008217251,4.73E-06
4965,0.008308424,4.73E-06
4966,0.00839936,4.73E-06
4967,0.008490071,4.73E-06
4968,0.008580572,4.73E-06
4969,0.008670877,4.73E-06
4970,0.008761001,4.73E-06
4971,0.008850959,4.73E-06
4972,0.008940765,4.73E-06
4973,0.009030436,4.73E-06
4974,0.009119985,4.73E-06
4975,0.009209427,4.73E-06
4976,0.009298777,4.73E-06
4977,0.009388049,4.73E-06
4978,0.009477255,4.73E-06
4979,0.009566409,4.73E-06
4980,0.009655523,4.73E-06
4981,0.009744606,4.73E-06
4982,0.009833671,4.73E-06
4983,0.009922725,4.73E-06
4984,0.010011777,4.73E-06
4985,0.010100832,4.73E-06
4986,0.010189898,4.73E-06
4987,0.010278976,4.73E-06
4988,0.010368071,4.73E-06
4989,0.010457182,4.73E-06
4990,0.010546308,4.73E-06
4991,0.010635448,4.73E-06
4992,0.010724597,4.73E-06
4993,0.010813748,4.73E-06
4994,0.010902893,4.73E-06
4995,0.010992024,4.73E-06
4996,0.011081127,4.73E-06
4997,0.011170189,4.73E-06
4998,0.011259196,4.73E-06
4999,0.011348128,4.73E-06
5000,0.011436967,4.73E-06
5001,0.011525691,4.73E-06
5002,0.011614278,4.73E-06
5003,0.011702701,4.73E-06
5004,0.011790936,4.73E-06
5005,0.011878953,4.73E-06
5006,0.011966723,4.73E-06
5007,0.012054214,4.73E-06
5008,0.012141393,4.73E-06
5009,0.012228227,4.73E-06
5010,0.01231468,4.73E-06
5011,0.012400717,4.73E-06
5012,0.012486298,4.73E-06
5013,0.012571388,4.73E-06
5014,0.012655947,4.73E-06
5015,0.012739936,4.73E-06
5016,0.012823316,4.73E-06
5017,0.012906047,4.73E-06
5018,0.012988089,4.73E-06
5019,0.013069404,4.73E-06
5020,0.013149953,4.73E-06
5021,0.013229696,4.73E-06
5022,0.013308597,4.73E-06
5023,0.013386618,4.73E-06
5024,0.013463725,4.73E-06
5025,0.013539882,4.73E-06
5026,0.013615056,4.73E-06
5027,0.013689217,4.73E-06
5028,0.013762334,4.73E-06
5029,0.013834381,4.73E-06
5030,0.013905332,4.73E-06
5031,0.013975163,4.73E-06
5032,0.014043854,4.73E-06
5033,0.014111387,4.73E-06
5034,0.014177747,4.73E-06
5035,0.01424292,4.73E-06
5036,0.014306897,4.73E-06
5037,0.014369671,4.73E-06
5038,0.014431239,4.73E-06
5039,0.0144916,4.73E-06
5040,0.014550757,4.73E-06
5041,0.014608717,4.73E-06
5042,0.014665488,4.73E-06
5043,0.014721083,4.73E-06
5044,0.014775519,4.73E-06
5045,0.014828814,4.73E-06
5046,0.014880993,4.73E-06
5047,0.014932079,4.73E-06
5048,0.014982104,4.73E-06
5049,0.015031098,4.73E-06
5050,0.015079098,4.73E-06
5051,0.015126142,4.73E-06
5052,0.01517227,4.73E-06
5053,0.015217527,4.73E-06
5054,0.01526196,4.73E-06
5055,0.015305616,4.73E-06
5056,0.015348548,4.73E-06
5057,0.015390808,4.73E-06
